image_url street_wid sidewalk_wid g1q2_left g1q2_right public_art V1 diag hor vert red green blue bairro setor V3.Feminino distance.Feminino V3.Casado distance.Casado V3.Masculino distance.Masculino V3.Baixa distance.Baixa V3.CCatole distance.CCatole V3.Jovem distance.Jovem V3.NCCatole distance.NCCatole V3.Geral distance.Geral V3.Medio distance.Medio V3.Solteiro distance.Solteiro V3.Media distance.Media V3.Pos distance.Pos V3.Adulto distance.Adulto V3.NCCentro distance.NCCentro V3.CCentro distance.CCentro V3.NCLiberdade distance.NCLiberdade V3.CLiberdade distance.CLiberdade g2count mov_cars park_cars g2q2_left g2q2_right mov_ciclyst g3count debris g3q1_left g3q1_right pavement g3q2_left g3q2_right landscape g3q3_left g3q3_right g4count courtyards major_landsc g5count build_ident build_nrectan g6count prop_street_wall g6q1_left g6q1_right prop_wind g6q2_left g6q2_right g7count long_sight prop_sky_ahead prop_sky_across g7q3_left g7q3_right g8count graffiti trees g8q2_left g8q2_right small_planters g8q3_left g8q3_right g9count build_height g9q1_left g9q1_right g10count build_diff_ages diff_build prop_hist_build g11count outdoor_table g11q2_left g11q2_right street_furnit g11q3_left g11q3_right g12count basic_col lights g12q2_left g12q2_right accent_col g13count people g13q1_left g13q1_right prop_active_use g13q2_left g13q2_right area rank index diff mode
catole/Rua_Olegario_Mariano__139_0.jpg 34 7.32727829749426 8 6 0 agradavel? 2 75 2 129.873678 134.370033 132.239385 catole 250400905000060 5.49066095441 0.00815321362185869 5.02828970441 0.00537699837020319 4.85651838552 0.00234133114530176 5.5284949103 0.002021022368024 4.50830474335 0.00251649955415972 5.48468526217 0.00271807336987565 5.58555800171 0.00236548500277543 5.08755737935 0.00277125504396094 5.84363936432 0.00312572703476103 4.98423971089 0.00479101226465997 4.90899025927 0.00546090457125511 4.90915173254 0.00190412678796841 4.30549368358 0.00230408064487286 NA NA NA NA NA NA NA NA 6 1 0.333333333333333 0.333333333333333 0 0 5 3.8 4 3.8 2.7 2.75 2.6 4.2 4.25 4.2 3 0.333333333333333 0 2 0 1 5 1 NA 1 0 NA 0 3 1 0.683333333333333 0.65 0.5 0.725 1 No 3 3 NA 0 0 NA 1 10 NA 10 17 No 4 0 1 0 0 0 0 0 0 1 1 0 0 NA 1 22 0.409090909090909 0.142857142857143 0.363636363636364 0.790909090909091 0.842857142857143 0.8 oeste 27 70 -43 jovem
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 30.6666666666667 5 5.16666666666667 4.83333333333333 0 agradavel? 0 202 30 136.950221 139.703047 134.95404 centro 250400905000013 3.93947095497 0.00119767546082885 1.17115838599 0.00290614692096989 5.40612831556 0.00675943400104024 5.30710348027 0.00515686112540107 NA NA 5.34505449255 0.00618223724655621 NA NA 5.01209187796 0.00407957450800319 5.09776318705 0.00514043673742743 5.0228003733 0.00369461627923838 4.94271682293 0.0032582502588705 4.92980301956 0.0035297236538989 4.30487936662 0.00744903274924081 NA NA NA NA NA NA NA NA 4 2 1 0.5 0.5 0 115 3.75652173913043 3.14285714285714 4.25 3.22173913043478 2.92307692307692 3.42 3.44347826086957 3.20879120879121 3.59 3 0 0 1 0 3 2 1 1 1 0 0 0 1 1 0.4 0.25 0.3 0.2 1 No 5 4 1 0 0 0 2 122.5 105 140 4 No 4 0 6 0 0 0 0 0 0 3 2 0.666666666666667 0 0.666666666666667 1 3 0.666666666666667 0.666666666666667 0 0.766666666666667 0.766666666666667 1 norte 29 71 -42 jovem
liberdade/Rua_Odon_Bezerra__388__270.jpg 40 7.23194624453094 6 7.5 0 agradavel? 30 87 1 140.350703 142.799121 140.471113 liberdade 250400905000095 5.50599664306 0.00431017100892091 4.16691858656 0.00105880317021654 4.32478901994 0.00605186160066583 4.50398222731 0.00695704175117303 NA NA 4.91790230144 0.00418792728692212 NA NA 4.60715520679 0.006786170134356 5.97656259363 0.0048953333464357 4.60082744464 0.00489779145484026 4.88968786305 0.00551671031805137 4.89286624615 0.0105986487153943 3.93133248168 0.0056534908073949 NA NA NA NA 4.94077224258 0.00770323771577834 4.12900657726 0.00303880129033531 1 3 2 0 2 0 4 2.75 2.25 3.25 3 2.75 3.25 2.5 2.25 2.75 3 0 0 1 1 0 5 0.58 0.24 0.92 0.13 0 0.26 1 1 0.5 0.6 0.8 0.4 5 No 0.4 0.2 0.2 0 0 0 3 10 10 10 1 No 8 0 5 0 0 0 0 0 0 1 3 0 0 0 3 9 1.22222222222222 0.111111111111111 1.11111111111111 0.522222222222222 0.233333333333333 0.811111111111111 oeste 49 83 -34 jovem
liberdade/Rua_Odon_Bezerra__388__90.jpg 40 6.66666666666667 6.66666666666667 6.66666666666667 0 agradavel? 31 55 8 135.760153 140.683346 138.384238 liberdade 250400905000095 4.79236319979 0.00903398096390999 4.12605967037 0.0426368900381519 4.7354605378 0.00920437051489111 4.86197149301 0.00312734675341585 NA NA 5.10632471207 0.00713033830127692 NA NA 4.81178988495 0.00371530472528603 4.72725076422 0.00104150972414902 5.01551794403 0.00301278123753373 4.7755733224 0.00338258639009495 4.75503922882 0.00361496278744152 4.28619960867 0.0115885854425714 NA NA NA NA 4.86629412431 0.00390946225290764 4.19203071534 0.00201280787210383 1 5 2 1 1 2 3 3.33333333333333 3.33333333333333 3.33333333333333 3 3 3 3 3 3 3 0 0 3 2.33333333333333 1 7 0.864285714285714 0.828571428571429 0.9 0.242857142857143 0.257142857142857 0.228571428571429 4 1 0.6125 0.4625 0.2875 0.6375 1 No 0 0 0 0 0 0 1 15.5 18 13 1 No 9 0 4 0 0 0 0.75 0.5 0.25 1 3 0 0 0 3 30 2.76666666666667 0.266666666666667 2.5 0.805 0.803333333333333 0.806666666666667 oeste 40 73 -33 jovem
liberdade/Rua_Odon_Bezerra__147_90.jpg 38.1111111111111 6.38888888888889 6.77777777777778 6 0 agradavel? 1 72 2 127.87165 127.34751 121.500645 liberdade 250400905000095 5.5573316587 0.00646403566735535 4.99559343867 0.00211511473746463 4.97140266852 0.0033123539596406 5.46922907201 0.010049809704751 NA NA 5.33591658428 0.00488359134979408 NA NA 4.94716954868 0.00605985910214648 5.39622551641 0.00577829431536353 4.94021679983 0.00306296695141999 4.65869972391 0.00441537060538782 4.66083263451 0.00504372477899824 4.63861578991 0.00286458970737947 NA NA NA NA 5.38895415918 0.00360145471602566 5.00668690932 0.00312228746038291 1 2 1 0 1 2 1 3 3 3 4 4 4 3 3 3 3 0 0 1 3 2 9 0.755555555555556 0.788888888888889 0.722222222222222 0.35 0.466666666666667 0.233333333333333 1 0 0.4 0.3 0.3 0.3 2 No 1.5 0.5 1 0 0 0 3 15.5 15.3333333333333 15.6666666666667 1 yes 9 0 19 0 0 0 2.21052631578947 1.26315789473684 0.947368421052632 1 2 0 0 0 1 1 3 1 2 1 1 1 oeste 30 57 -27 jovem
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg 39 6.625 6 7.25 0 agradavel? 7 66 1 134.132959 135.887747 130.572051 liberdade 250400905000089 4.26036919629 0.00243691684190279 3.33762459958 0.00294852823865115 4.10188830005 0.00851593206452095 4.4659510117 0.00399769128466686 NA NA 4.70349170677 0.00641045375286532 NA NA 4.18050922802 0.00875590825472048 4.82764779212 0.000955762355274515 4.16179917942 0.00492649726418364 4.18861742404 0.00436656453152118 4.16762601551 0.00413086417808149 3.88993169323 0.00316954375455749 NA NA NA NA 4.14979235966 0.00435138452446185 4.61381091923 0.00106417686422579 41 1.24390243902439 4.53658536585366 0.451612903225806 4.19512195121951 2.39024390243902 120 2.93333333333333 2.57522123893805 3.48351648351648 2.59583333333333 2.25663716814159 3.10989010989011 2.45 1.98230088495575 3.13186813186813 3 0 0 1 0 0 17 0.719117647058824 0.847058823529412 0.591176470588235 0.0294117647058824 0.0352941176470588 0.0235294117647059 3 1.66666666666667 0.7 0.575 0.733333333333333 0.416666666666667 2 No 4 0 4 0 0 0 1 10 10 10 2 No 3.5 0 1 0 0 0 1 1 0 4 1.25 0.25 0 0.25 1 10 2 2 0 0.485 0.39 0.58 oeste 58 85 -27 jovem
liberdade/Rua_Severino_Pimentel__321__0.jpg 37.5 6.5 6.5 6.5 0 agradavel? 0 14 3 111.373298 110.042204 103.598262 liberdade 250400905000095 4.78704511348 0.00235421961910655 4.52451085934 0.000547473604902387 4.69342254866 0.00258940510562231 4.99076196392 0.00414054022103564 NA NA 5.10984677328 0.00368021236898978 NA NA 4.63324426609 0.0091699003846456 5.42908088956 0.004712249219934 4.58316802413 0.00813506936052657 4.59476093101 0.00795500318814305 4.57330096721 0.00672841627131552 4.49475705756 0.00796175737305153 NA NA NA NA 4.83506685775 0.00508440482027643 4.46636574803 0.00801177744990086 48 0.0625 2.04166666666667 1.02127659574468 1.04166666666667 1.08333333333333 4 4.5 4.5 4.5 3.875 3.75 4 3.875 3.75 4 3 0 0 5 0 1.8 7 0.807142857142857 0.985714285714286 0.628571428571429 0.0785714285714286 0.142857142857143 0.0142857142857143 1 2 0.2 0.075 0.1 0.05 1 No 1 0 1 0 0 0 2 20 25 15 3 No 4.33333333333333 0 1 0 0 0 1 1 0 1 2 0 0 0 2 1 2 1 1 0.7 0.4 1 oeste 38 64 -26 jovem
catole/Rua_Otacilio_Nepomuceno__76_0.jpg 42.6666666666667 6 6 6 0 agradavel? 0 47 0 115.955612 120.652204 115.367415 catole 250400905000060 5.99725293269 0.0015108021119544 5.4393349452 0.00580942043042755 5.24518773961 0.00457685437860489 5.67577361907 0.00341749925930061 5.41303555556 0.00590396271619983 5.78336981546 0.00612729527000408 5.24480524689 0.00177565563323439 5.31599154968 0.00338026558146338 5.75592668564 0.00201105808675296 5.46592396609 0.00511005424472857 5.30105401629 0.00530643938531917 5.28060176834 0.00303402856920842 5.12928156316 0.00436208621791911 NA NA NA NA NA NA NA NA 3 0 3 1 2 0 5 4.1 4 4.2 3.4 3.2 3.6 4 4 4 3 0 0 2 0 0 6 0.883333333333333 0.916666666666667 0.85 0 0 0 1 1 1 1 NA 1 1 No 6 1 5 0 0 0 1 10 NA 10 4 No 1.75 0 7 0 0 0 2.85714285714286 1.28571428571429 1.57142857142857 4 1.25 0.25 0.333333333333333 0 1.75 1 0 0 0 0.75 0.5 1 oeste 13 38 -25 jovem
centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg 27 5.58177831245381 NA 7 1 agradavel? 0 97 16 136.549798 136.973691 129.137939 centro 25040090500004 5.74102729724 0.00447189607295168 5.15517792909 0.003103573487348 5.64922423576 0.00248980346718846 5.55302026059 0.0026564021168959 NA NA 6.05582976578 0.00306556460882649 NA NA 5.50717752343 0.00487028012331138 5.77655045928 0.00190535166904214 5.88860487292 0.00440850779145552 5.7665816624 0.00326503264929942 5.74092698651 0.00487949549107472 5.3049827774 0.00474897637449226 6.79302832244 0 5.49204515942 0.00179788490175674 NA NA NA NA 1 1 2 NA 2 0 4 4.5 5 4.33333333333333 4.5 5 4.33333333333333 4.25 5 4 3 0 0 1 3 0 2 1 NA 1 0 NA 0 1 3 0.15 0.125 0.15 0.1 1 No 1 NA 1 0 NA 0 3 47 NA 47 2 No 6 0.5 39 0.0256410256410256 0 0.0256410256410256 0.871794871794872 0.333333333333333 0.82051282051282 2 2 0.5 NA 0.5 2 5 4.6 NA 4.6 0.6 NA 0.6 norte 7 31 -24 jovem
liberdade/Rua_Severino_Pimentel__511_270.jpg 34.6666666666667 5.66666666666667 5.83333333333333 5.5 0 agradavel? 2 92 1 120.636696 121.008337 116.796029 liberdade 250400905000089 5.01851902717 0.00645715870670278 4.70495821795 0.00760418984155634 4.74251154001 0.00208994093385218 4.82106055261 0.00432459305564537 NA NA 4.89646081593 0.00263377525003842 NA NA 4.57079284535 0.00406454744651158 4.24750445157 0.0116420759486329 4.58082497181 0.0104739425340657 4.7114571054 0.00348132896972649 4.72491155462 0.00554424140501403 4.21172352552 0.00948282039532096 NA NA NA NA 4.50934855836 0.00444423450418894 5.19035723494 0.00435326309820196 1 0 1 1 0 0 1 2 2 2 1.5 2 1 4 4 4 3 0 0 3 0.333333333333333 1.33333333333333 28 0.91875 0.937037037037037 0.905357142857143 0.025 0.0296296296296296 0.0178571428571429 1 0 0.5 0.4 0.4 0.4 1 No 5 2 3 0 0 0 2 10 10 10 4 No 3.25 0.0625 1 0 0 0 1 1 0 2 2 0 0 0 2 1 0 0 0 1 1 1 oeste 51 75 -24 jovem
