image_url street_wid sidewalk_wid g1q2_left g1q2_right public_art V1 diag hor vert red green blue bairro setor V3.Feminino distance.Feminino V3.Casado distance.Casado V3.Masculino distance.Masculino V3.Baixa distance.Baixa V3.CCatole distance.CCatole V3.Jovem distance.Jovem V3.NCCatole distance.NCCatole V3.Geral distance.Geral V3.Medio distance.Medio V3.Solteiro distance.Solteiro V3.Media distance.Media V3.Pos distance.Pos V3.Adulto distance.Adulto V3.NCCentro distance.NCCentro V3.CCentro distance.CCentro V3.NCLiberdade distance.NCLiberdade V3.CLiberdade distance.CLiberdade g2count mov_cars park_cars g2q2_left g2q2_right mov_ciclyst g3count debris g3q1_left g3q1_right pavement g3q2_left g3q2_right landscape g3q3_left g3q3_right g4count courtyards major_landsc g5count build_ident build_nrectan g6count prop_street_wall g6q1_left g6q1_right prop_wind g6q2_left g6q2_right g7count long_sight prop_sky_ahead prop_sky_across g7q3_left g7q3_right g8count graffiti trees g8q2_left g8q2_right small_planters g8q3_left g8q3_right g9count build_height g9q1_left g9q1_right g10count build_diff_ages diff_build prop_hist_build g11count outdoor_table g11q2_left g11q2_right street_furnit g11q3_left g11q3_right g12count basic_col lights g12q2_left g12q2_right accent_col g13count people g13q1_left g13q1_right prop_active_use g13q2_left g13q2_right area rank index diff mode
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg 38 4.81903567848964 NA 6.25 0 seguro? 6 15 19 130.496758 131.01582 121.776126 catole 250400905000060 4.5189091966 0.00614826443054493 4.5878361232 0.00356566372373147 4.47471291902 0.00537620834462066 4.79536800811 0.00562617820393507 4.21474693954 0.00270412976608948 4.34589160384 0.00596780595938037 4.6902960981 0.0015072840163737 4.47170404453 0.00371979729024329 4.62817131468 0.00566714273950361 4.5191741192 0.00350187339598734 4.26271402029 0.00431528440177894 4.26662050803 0.00420730856423252 4.24729254591 0.00684470996286523 NA NA NA NA NA NA NA NA 6 0 1.16666666666667 0 1.16666666666667 0 1 4 4 4 4 4 4 4 4 4 22 0.227272727272727 0.181818181818182 1 0 0 30 0.955 NA 0.955 0.02 NA 0.02 1 1 0.5 0.7 NA 0.7 5 No 2.8 1 2.4 0 0 0 3 10 NA 10 3 No 2.33333333333333 0 2 0 0 0 1 0 1 1 1 0 NA 0 1 1 0 NA 0 1 NA 1 oeste 50 74 -24 baixa
centro/Rua_Felix_Araujo__132__90.jpg 27.3571428571429 5.13766716367838 4.82142857142857 4.88888888888889 1.57142857142857 seguro? 25 60 8 136.618867 130.802083 127.340228 centro 25040090500004 4.37728400259 0.00107955702269155 4.64680494343 0.00178374782338927 4.16260874433 0.00380340078408002 4.40618698226 0.00215519586341864 NA NA 3.78051417393 0.00510377681659144 NA NA 4.08092059601 0.00629841870627686 3.50677017855 0.0038352972317943 4.09689472388 0.00631603692687483 3.81103347956 0.00204774831018881 3.80762906742 0.00430120367126403 4.7703438137 0.0104564233149411 7.22222222222 0 3.98390894104 0.0105819466232472 NA NA NA NA 6 0.5 9 4.33333333333333 4.66666666666667 0 7 2.71428571428571 2.71428571428571 3.33333333333333 3 3 3.33333333333333 2.57142857142857 2.57142857142857 2.33333333333333 22 0.272727272727273 0.136363636363636 19 3.05263157894737 0.368421052631579 3 1 1 1 0.25 0.233333333333333 0.266666666666667 1 1 1 1 NA 1 1 Yes 0 0 0 0 0 0 3 12 12.6666666666667 11.3333333333333 2 yes 7 0.15 32 0.15625 0 0.15625 0.78125 0.451612903225806 0.34375 1 4 0 0 0 4 3 3.33333333333333 1.5 2.33333333333333 0.8 1 0.8 norte 68 92 -24 baixa
centro/Rua_Augusto_Severo__71_90.jpg 26.6666666666667 3.66666666666667 3.66666666666667 3.66666666666667 0 seguro? 22 33 7 134.033597 132.542074 131.515316 centro 25040090500004 4.33437749035 0.00261682851263424 4.88603799004 0.00527287600361384 4.78367646634 0.00438807517576378 5.03450874336 0.00471442013758258 NA NA 4.92272239874 0.0107536364361528 NA NA 4.97081329632 0.00528092999084632 3.53918711527 0.00169603423817868 4.94324154895 0.00735560504234427 4.57338582386 0.00308831523362464 4.56974343394 0.00235110373945452 4.42242686133 0.00662117994660478 4.8809024491 0.00363411211388147 4.8525110058 0.00636204522244432 NA NA NA NA 1 1 10 4 6 0 1 4 4 4 2 2 2 2 2 2 3 0 0 1 2 0 3 0.666666666666667 0.666666666666667 0.666666666666667 0.116666666666667 0.233333333333333 0 1 3 1 0.5 1 0 5 Yes 1 1 0 0 0 0 1 17.5 20 15 1 No 7 0 1 0 0 0 0 0 0 2 2 0 0 0 2.5 9 4.22222222222222 2.66666666666667 1.55555555555556 0.783333333333333 0.788888888888889 0.777777777777778 norte 45 68 -23 baixa
liberdade/Rua_Espirito_Santo__1288__180.jpg 28 5.16666666666667 3.66666666666667 6.66666666666667 0 seguro? 8 39 5 134.407396 134.932142 129.290309 liberdade 250400905000089 3.92919225533 0.00306340592648282 3.59351145303 0.00321738383981684 4.26542340226 0.0035613386757864 4.4177835715 0.00460776221441743 NA NA 4.16920822117 0.00317441904959671 NA NA 4.26957171752 0.00494126241765539 4.14320824633 0.00207375931031785 4.24132826898 0.00454217408942559 3.93279805952 0.0171731919325846 3.98147582481 0.0080118077124428 4.14424300082 0.00664419713229027 NA NA NA NA 3.59376457209 0.00314065746053409 4.80204257116 0.00791185957242243 1 0 0 0 0 0 3 2.66666666666667 1.66666666666667 3.66666666666667 2.66666666666667 1.66666666666667 3.66666666666667 2.66666666666667 1.66666666666667 3.66666666666667 3 0 0 1 0 3 4 0.6 0.25 0.95 0 0 0 1 1 0.5 0.45 0.5 0.4 1 No 0 0 0 0 0 0 3 10.8333333333333 6.66666666666667 15 2 No 4.5 0 5 0 0 0 0 0 0 1 3 0 0 0 2 1 0 0 0 0.5 0 1 oeste 66 89 -23 baixa
liberdade/Rua_Espirito_Santo__1288__0.jpg 24.5 7.875 8.75 7 0 seguro? 19 42 10 126.334404 127.991569 123.343815 liberdade 250400905000089 4.82327152069 0.00186215288572223 3.48665176484 0.0038753946004216 4.3502827356 0.00428856828414128 4.9603242172 0.00645522986519837 NA NA 4.87942026939 0.0036027857739709 NA NA 4.39776784718 0.00610229859217335 5.40418437502 0.00136692049534093 4.51516749824 0.00610792044153728 4.56016025552 0.00391865036782172 4.54719121951 0.00284162568441846 4.56145341984 0.00810613623264391 NA NA NA NA 4.71432415661 0.00196311095628945 4.69006669475 0.00244966392651826 1 0 1 0 1 1 3 3.16666666666667 3 3.33333333333333 3.16666666666667 3 3.33333333333333 3.16666666666667 3 3.33333333333333 3 0 0 3 0 2.33333333333333 2 1 1 1 0 0 0 3 1.33333333333333 0.7 0.65 0.65 0.65 8 No 1 0.375 0.625 0 0 0 7 10.7857142857143 11.1428571428571 10.4285714285714 2 No 6.5 0 6 0 0 0 0.5 0.5 0 19 2.68421052631579 0.263157894736842 0.210526315789474 0.0555555555555556 1.73684210526316 9 0.333333333333333 0.333333333333333 0 0.761111111111111 0.744444444444444 0.777777777777778 oeste 47 69 -22 baixa
liberdade/Rua_Severino_Pimentel__439__0.jpg 30.5 6.19548521631742 5.75 6.66666666666667 0 seguro? 9 30 4 106.548639 104.993395 96.514922 liberdade 250400905000095 4.2375997646 0.0087526129990345 2.76657448487 0.00562590743639845 3.85561967971 0.00299031326178743 4.32515873496 0.00804167168113309 NA NA 3.93290854586 0.00267978832407818 NA NA 3.85392158267 0.00316198464191431 4.09055628677 0.00147482145918636 3.92052213436 0.00560082315428834 3.65819208349 0.00557556739936752 3.65140323492 0.00378849931037629 3.70788269786 0.0139482845231331 NA NA NA NA 4.10047481496 0.0018667838712418 4.0535444171 0.00152249872159795 12 0.0833333333333333 0 0 0 0 1 3.5 4 3 3.5 4 3 3.5 4 3 3 0 0 21 0.380952380952381 1.28571428571429 27 0.868518518518518 0.92962962962963 0.807407407407407 0.012962962962963 0.0259259259259259 0 1 0 0 0 0 0 2 No 5 0 5 0 0 0 1 10 10 10 2 No 4 0 1 0 0 0 1 1 0 2 2 0.5 0.5 0 1.5 1 2 0 2 1 1 1 oeste 74 96 -22 zero
centro/Rua_Joao_da_Mata__490_270.jpg 34.5 6.25 6.25 6.25 0 seguro? 2 138 4 129.334909 129.743675 125.925495 centro 250400905000013 5.02598494138 0.00156860903717751 5.23290433367 0.0117992009920439 5.45892831064 0.0109043403015821 6.16191423265 0.0040608679822894 NA NA 5.16443124924 0.00460225604416785 NA NA 5.45808516242 0.0054556012533623 5.20760648974 0.00516324778240178 5.41276494861 0.00373566502687867 5.41584818689 0.00567531554981053 5.46046488777 0.00531758468901973 5.8399964963 0.00346571746344692 5.55555555556 0 5.35433909228 0.00924946798906968 NA NA NA NA 1 0 4 4 0 0 1 4 4 4 4 4 4 4 4 4 3 0 0 1 5 0 4 0.5 0.55 0.45 0.4125 0.525 0.3 1 1 0.5 0.45 0.4 0.5 1 No 5 3 2 0 0 0 1 13.5 15 12 3 No 6.33333333333333 0 5 0 0 0 0 0 0 1 2 0 0 0 2 3 5.66666666666667 3 2.66666666666667 0.816666666666667 0.833333333333333 0.8 norte 4 24 -20 zero
centro/Rua_Felix_Araujo__48__90.jpg 33.6666666666667 6.93947678116003 5.5 5.5 0 seguro? 26 58 50 124.404134 125.012539 121.919619 centro 25040090500004 5.06429960068 0.00164974728522269 6.75829197421 0.000838960595286541 5.507063525 0.00829458114935663 5.73305112374 0.00671462415495642 NA NA 5.15873029852 0.00579964935139125 NA NA 5.43887349429 0.0040260404965797 3.95972140464 0.00183730172920511 5.26399860106 0.00736262898769439 5.19096848953 0.00316783731015449 5.18996920586 0.00360826276957361 5.80110722768 0.00422346747922375 6.03050108932 0 5.49683922042 0.00763064246007538 NA NA NA NA 47 2.38297872340426 10.6808510638298 4.8936170212766 5.91304347826087 1.23404255319149 1 4 4 4 4 4 4 4 4 4 3 0 0 3 6.33333333333333 0 7 0.9 0.985714285714286 0.814285714285714 0.342857142857143 0.285714285714286 0.4 1 1 1 1 NA 1 1 No 0 0 0 0 0 0 2 32.5 32.5 32.5 1 No 8 0 8 0 0 0 1.625 0.5 1.125 1 3 0 0 0 4 1 4 4 0 1 1 1 norte 15 35 -20 zero
catole/Rua_Doutor_Antonio_Telha__68__90.jpg 32.6666666666667 2.75700905755393 NA 5.33333333333333 0 seguro? 2 31 2 132.714385 132.563727 128.080742 catole 250400905000060 3.9513514502 0.0116497092128816 3.88892404625 0.0117602329923645 4.24527813653 0.0030225323737751 4.51676774813 0.00213048063801228 4.75601456499 0.00908932817510026 4.00664439682 0.0018187504095973 3.79602221229 0.00192354383579831 4.18272964896 0.00340782000609163 4.91963276065 0.00574685580611439 4.22696756228 0.00372576471486397 4.07679780198 0.00382615575637703 4.10225415642 0.00801836960073479 4.24383969326 0.00418908040491974 NA NA NA NA NA NA NA NA 1 1 1 1 0 0 1 4 NA 4 3 NA 3 3 NA 3 3 0 0 1 0 1 34 0.897058823529412 NA 0.897058823529412 0.0852941176470588 NA 0.0852941176470588 3 0.666666666666667 0.666666666666667 0.65 NA 0.65 1 No 3 NA 3 0 NA 0 1 10 NA 10 2 No 4 0 6 0 NA 0 1 NA 1 1 2 1 NA 1 1 4 0 NA 0 0.75 NA 0.75 oeste 61 81 -20 zero
liberdade/Rua_Sergipe__1337_0.jpg 34.5 6.125 5.5 6.75 0 seguro? 4 30 2 139.148597 140.304769 134.418161 liberdade 250400905000089 3.00280499424 0.00206042111758515 3.56127542184 0.00174348192370002 3.97136919812 0.00287416876088271 4.19374799152 0.00877420182750397 NA NA 3.8839876071 0.00204243149470324 NA NA 3.97893328538 0.00818646900061322 4.87097115018 0.00422029224677791 3.90705742721 0.00318718186404672 3.52412650031 0.00541919568630729 3.51359841363 0.00364192923750999 4.04247225965 0.00374325360580775 NA NA NA NA 3.55848458276 0.00254529926565374 4.10329615065 0.0025936445580629 1 0 2 1 1 0 1 3 3 3 3 3 3 2.5 2 3 3 0 0 21 0.523809523809524 0.333333333333333 3 1 1 1 0 0 0 2 0.5 0.75 0.7375 0.725 0.75 1 No 3 0 3 0 0 0 1 12 14 10 2 No 3 0 1 0 0 0 0 0 0 1 4 0 0 0 4 1 0 0 0 1 1 1 oeste 79 99 -20 zero
