photo1,street_wid1,mov_cars1,park_cars1,mov_ciclyst1,landscape1,build_ident1,trees1,build_height1,diff_build1,people1,graffiti1,bairro1
https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg,45,1,1,3,3.1,1,1,9.5,4,3,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__306_270.jpg,36,4,1,0,3.875,2,1,16.75,6,1,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg,40,3,4,0,3.83333333333333,5,6,62.25,7,4,No,centro
https://contribua.org/bairros/oeste/catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg,57,1,4,0,3,2,6,15,3,1,No,catole
https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__48__90.jpg,34,3,11,2,4,7,0,32.5,8,4,No,centro
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_90.jpg,38,5,7,0,2.5,4,0,22,11,9,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_180.jpg,48,2,4,0,5,3,2,10.5,5,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg,43,0,12,0,3,0,7,10,3,2,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__235_180.jpg,77,3,3,0,3.66666666666667,2,11,11.5,9,1,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,46,0,2,0,4,1,7,10,3,0,No,catole
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__370_0.jpg,27,1,3,1,1.64112903225806,1,1,13,7,11,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__68__90.jpg,33,1,1,0,3,0,3,10,4,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__0.jpg,25,0,1,1,3.16666666666667,0,1,10.7857142857143,7,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg,32,0,1,0,2,1,2,14,5,8,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__270.jpg,38,0,2,0,4,0,3,10,3,0,No,catole
