> summary(data$V2)
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max. 
    1.0    10.0    21.0    40.4    42.0   727.0 

952	43
669	158
668	38
667	12
666	44
663	84
662	34
661	11
660	21
957	17
988	9
692	60
693	50
992	15
691	60
696	16
697	78
694	47
695	72
930	22
698	101
819	18
939	9
938	10
883	42
810	8
932	13
931	15
549	31
814	28
815	20
935	10
817	13
678	101
679	32
719	11
718	20
674	103
675	24
676	49
677	48
670	102
671	58
672	21
673	19
884	11
967	686
945	36
777	7
982	10
963	15
537	95
929	10
828	13
825	11
921	3
918	32
923	14
821	2
820	12
823	1
822	18
591	4
593	22
862	36
595	83
709	4
596	11
599	447
705	29
706	23
707	21
700	16
701	23
702	51
703	102
714	17
893	3
797	6
928	4
830	7
794	9
792	16
791	12
835	6
838	21
839	16
799	12
713	11
526	70
521	10
522	11
915	7
914	168
917	16
916	27
913	17
912	6
977	113
986	42
585	54
855	59
742	23
778	1
920	10
954	10
973	10
832	10
922	33
881	6
972	8
784	27
785	6
786	28
787	21
780	4
904	10
783	31
924	7
908	33
909	10
788	6
849	24
848	12
641	159
518	95
643	37
642	38
644	11
647	108
646	150
511	123
513	50
512	74
515	139
514	31
516	85
623	9
622	69
620	74
627	37
626	16
625	21
624	25
900	3
629	101
576	16
925	22
989	13
741	11
708	20
970	10
846	10
752	45
854	9
731	102
975	10
974	35
850	3
851	22
971	34
853	16
747	43
733	6
979	10
978	10
656	67
704	51
654	178
2	17
652	11
653	26
737	31
736	11
739	100
735	21
751	1
965	24
658	21
659	42
630	31
631	31
632	100
633	11
634	50
508	4
981	10
754	16
638	200
639	135
927	10
845	19
987	40
933	10
844	5
984	27
738	70
843	4
985	6
955	34
964	19
868	4
966	60
813	10
962	45
740	2
937	58
863	24
840	15
865	5
969	7
936	62
726	11
727	11
724	21
725	11
722	21
723	11
720	21
721	21
934	68
728	21
729	71
605	100
604	1
607	30
606	175
601	24
600	38
746	69
602	415
748	31
749	41
609	35
608	11
980	10
943	25
926	11
976	23
991	28
941	53
990	49
959	20
958	11
993	15
878	2
640	18
876	18
877	10
953	20
875	7
872	5
873	8
906	82
956	63
717	21
968	11
807	6
744	113
775	12
774	7
618	41
619	20
773	1
612	47
613	6
610	60
611	35
779	17
617	727
614	22
615	40
649	22
711	18
802	1
655	46
710	21
801	1
837	4
762	17
800	6
948	10
949	29
946	4
732	26
944	12
803	9
942	15
790	65
940	31
806	5
951	9
808	10
689	14
688	233
950	12
685	7
684	41
687	39
686	180
681	60
680	11
683	31
682	30
