Avenida_Assis_Chateaubriand__1334__0.jpg 12909	1136	0	0	298	852	28	0	0	0	1	0	0	0	0	0	2638	26	0	0	6029	56423	4172	0	0	1906	9117	4	0	0	0	0	0	0	0	0	0	7128	17	0	0	15535	143927	1270	0	0	1110	3028	0	0	0	0	0	0	0	0	0	0	746	55	0	0	1429	37416	
Avenida_Assis_Chateaubriand__1334__180.jpg 14363	41	0	0	1567	70	0	0	0	0	0	0	0	0	0	0	1729	18	0	0	19943	74795	16739	0	0	3064	4860	0	0	0	0	0	0	0	0	0	4	7807	13	0	0	14452	116247	1402	0	0	1102	2384	0	0	0	0	0	0	0	0	0	0	609	13	0	0	1357	24621	
Avenida_Barao_Rio_Branco__141_270.jpg 72696	1055	0	0	3767	4300	2	0	0	0	0	0	0	0	0	0	2707	714	0	0	10534	100921	6201	0	225	1052	4862	0	0	0	0	0	241	531	0	0	381	2430	77	0	22	2708	46710	4113	0	0	871	5546	0	0	0	0	0	6	0	0	0	21	531	36	0	0	659	33281	
Avenida_Barao_Rio_Branco__141_90.jpg 74320	320	0	0	10583	289	0	0	0	0	0	0	0	0	0	0	3904	151	0	0	15878	93813	2671	0	19	883	3097	0	0	0	0	0	0	0	0	0	3	5026	73	0	44	4205	72032	612	0	0	3737	796	0	0	0	0	0	0	0	0	0	3	502	14	0	0	2676	11549	
Avenida_Dom_Pedro_II__119_270.jpg 64959	1067	0	0	3143	3207	0	0	0	0	0	0	0	0	0	0	2775	176	0	0	7186	114989	507	0	0	1020	7817	854	0	0	0	0	231	26	0	0	21	2456	67	0	0	6515	43797	3707	0	0	625	1488	0	0	0	0	0	4	2	0	0	0	395	10	0	0	624	39532	
Avenida_Dom_Pedro_II__119_90.jpg 32410	1288	0	0	2300	4155	1043	0	0	0	0	0	0	0	0	0	4946	62	0	0	11489	122410	1179	0	0	1069	3381	6	0	0	0	0	3	0	0	0	34	1909	70	0	0	2784	46355	1028	0	0	537	1593	0	0	0	0	4	10	0	0	0	17	735	87	0	0	3728	62568	
Avenida_Dom_Pedro_II__500_270.jpg 17950	416	0	0	335	904	0	0	0	0	0	0	0	0	0	0	8284	143	0	0	11561	101343	276	0	0	617	337	0	0	0	0	0	0	9	0	0	21	9449	35	0	0	8767	98241	6235	0	0	1270	10045	0	0	0	0	0	0	0	0	0	0	391	29	0	0	1024	29518	
Avenida_Dom_Pedro_II__500_90.jpg 31648	583	0	0	963	559	0	0	0	0	0	0	0	0	0	0	3978	145	0	0	5926	104890	961	0	0	330	836	0	0	0	0	0	3	1	0	0	0	6051	89	0	0	8634	68151	3457	0	0	146	4014	0	0	0	0	0	0	0	0	0	0	138	63	0	0	319	65315	
Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg 34664	232	0	0	2284	363	0	0	0	0	0	0	0	0	0	0	9190	214	0	0	52805	95896	352	0	0	472	808	0	0	0	0	0	23	0	0	0	83	13637	107	0	0	8346	42449	7107	0	0	302	4960	0	0	0	0	0	10	0	0	0	53	1532	31	0	0	2923	28357	
Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg 13786	183	0	0	1410	469	0	0	0	1	0	0	0	0	0	0	2617	28	0	0	16883	112911	596	0	1	313	10457	0	0	0	0	0	351	102	0	0	305	14206	27	0	1	10818	60751	10650	0	0	518	6726	422	183	0	0	6	1014	12	0	0	8	2262	21	0	0	4103	35059	
