task_run__calibration+task_run__created+task_run__finish_time+task_run__id+task_run__info+task_run__project_id+task_run__task_id+task_run__timeout+task_run__user_id+task_run__user_ip+task_runinfo__question+task_runinfo__theLess+task_runinfo__theMost
None+2015-11-08T20:13:36.529019+2015-11-08T20:13:36.529067+19613+"{""question"": ""agradavel""+ ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg""+ ""theMost"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg""}"+556+61265+None+516+None+agradavel+https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg+https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg
None+2015-11-08T20:15:47.402982+2015-11-08T20:15:47.403015+19614+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__0.jpg""+ ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg""}"+556+61748+None+516+None+seguro+https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__0.jpg+https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg
None+2015-11-08T20:16:02.955195+2015-11-08T20:16:02.955230+19615+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__90.jpg""+ ""theMost"": ""https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg""}"+556+61808+None+516+None+seguro+https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__90.jpg+https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg
None+2015-11-08T20:16:46.835763+2015-11-08T20:16:46.835797+19616+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_90.jpg""+ ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg""}"+556+61832+None+516+None+seguro+https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_90.jpg+https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg
None+2015-11-08T20:17:03.103046+2015-11-08T20:17:03.103079+19617+"{""question"": ""agradavel""+ ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__0.jpg""+ ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg""}"+556+61927+None+516+None+agradavel+https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__0.jpg+https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg
None+2015-11-08T20:17:11.075780+2015-11-08T20:17:11.075813+19618+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_0.jpg""+ ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg""}"+556+61594+None+516+None+seguro+https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_0.jpg+https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg
None+2015-11-08T20:17:20.267828+2015-11-08T20:17:20.267862+19619+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg""+ ""theMost"": ""https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg""}"+556+61586+None+516+None+seguro+https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg+https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg
None+2015-11-08T20:17:29.776881+2015-11-08T20:17:29.776919+19620+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg""+ ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_270.jpg""}"+556+61496+None+516+None+seguro+https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg+https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_270.jpg
None+2015-11-08T20:17:58.444490+2015-11-08T20:17:58.444525+19621+"{""question"": ""agradavel""+ ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg""+ ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_90.jpg""}"+556+61283+None+516+None+agradavel+https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg+https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_90.jpg
None+2015-11-08T20:18:53.414126+2015-11-08T20:18:53.414160+19622+"{""question"": ""seguro""+ ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_180.jpg""+ ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg""}"+556+61916+None+516+None+seguro+https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_180.jpg+https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg
