"V1" "V2" "V3" "V4" "V5"
"28" "rodrigues_1322.jpg" 3 4 0.00453857791225416 0.75
"1" "rodrigues_1422.jpg" 2 3 0.00302571860816944 0.666666666666667
"6" "rodrigues_582.jpg" 2 2 0.00302571860816944 1
"14" "rodrigues_1082.jpg" 2 2 0.00302571860816944 1
"21" "rodrigues_382.jpg" 2 2 0.00302571860816944 1
"23" "almirante_1482.jpg" 2 3 0.00302571860816944 0.666666666666667
"26" "rodrigues_622.jpg" 2 2 0.00302571860816944 1
"29" "rodrigues_182.jpg" 2 2 0.00302571860816944 1
"2" "rodrigues_482.jpg" 1 1 0.00151285930408472 1
"3" "floriano_962.jpg" 1 1 0.00151285930408472 1
"4" "almirante_1282.jpg" 1 1 0.00151285930408472 1
"5" "floriano_8602.jpg" 1 2 0.00151285930408472 0.5
"7" "almirante_1942.jpg" 1 2 0.00151285930408472 0.5
"8" "floriano_3982.jpg" 1 1 0.00151285930408472 1
"9" "floriano_2322.jpg" 1 1 0.00151285930408472 1
"10" "floriano_1722.jpg" 1 1 0.00151285930408472 1
"11" "rodrigues_1202.jpg" 1 1 0.00151285930408472 1
"12" "almirante_1142.jpg" 1 1 0.00151285930408472 1
"13" "floriano_442.jpg" 1 1 0.00151285930408472 1
"15" "floriano_42.jpg" 1 1 0.00151285930408472 1
"16" "almirante_1502.jpg" 1 1 0.00151285930408472 1
"17" "rodrigues_282.jpg" 1 1 0.00151285930408472 1
"18" "almirante_242.jpg" 1 1 0.00151285930408472 1
"19" "almirante_1922.jpg" 1 3 0.00151285930408472 0.333333333333333
"20" "almirante_1042.jpg" 1 1 0.00151285930408472 1
"22" "rodrigues_402.jpg" 1 1 0.00151285930408472 1
"24" "rodrigues_1882.jpg" 1 1 0.00151285930408472 1
"25" "rodrigues_342.jpg" 1 1 0.00151285930408472 1
"27" "rodrigues_1742.jpg" 1 2 0.00151285930408472 0.5
"30" "rodrigues_1502.jpg" 1 1 0.00151285930408472 1
