workerID	im0	im1	im2	im3	im4	im5	im6	im7	im8	im9	im10	im11	im12	im13	im14	im15	im16	im17	im18	im19	im20	im21	im22	im23	im24	im25	im26	im27	im28	im29	im30	im31	im32	im33	im34	im35	im36	im37	im38	im39	im40	im41	im42	im43	im44	im45	im46	im47	im48	im49	im50	im51	im52	im53	im54	im55	im56	im57	im58	im59	im60	im61	im62	im63	im64	im65	im66	im67	im68	im69	im70	im71	im72	im73	im74	im75	im76	im77	im78	im79	im80	im81	im82	im83	im84	im85	im86	im87	im88	im89	im90	im91	im92	im93	im94	im95	im96	im97	im98	im99	im100	im101	im102	im103	im104	im105	im106	im107	
31958194	NA	20	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	20	NA	15	NA	NA	NA	NA	NA	15	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	20	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	15	NA	NA	NA	NA	16	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	
34693557	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
11029942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
29771579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
30688710	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	10	10	NA	NA	NA	15	NA	10	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	12	15	NA	NA	15	NA	NA	NA	14	NA	17	NA	NA	NA	NA	NA	NA	NA	10	10	10	NA	NA	16	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	
30791883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
30193232	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	10	NA	20	NA	NA	NA	NA	NA	20	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	30	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	
16991059	NA	NA	NA	8	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	22	NA	NA	NA	23	19	NA	NA	NA	NA	NA	18	NA	NA	10	NA	NA	18	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	11	NA	NA	10	10	NA	14	10	NA	NA	NA	NA	NA	NA	
32258904	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	30	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
29163230	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	
29910480	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	
7165158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
27770607	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	15	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	20	NA	NA	15	20	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
34593648	NA	NA	10	10	10	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	20	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	40	30	NA	NA	NA	NA	NA	20	NA	NA	20	NA	NA	NA	NA	20	NA	NA	NA	20	NA	NA	30	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	
11003509	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
31778038	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
30487799	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	10	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	12	NA	NA	NA	15	NA	NA	13	20	NA	NA	NA	NA	10	NA	NA	NA	NA	10	10	10	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	10	
31583992	NA	10	NA	10	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	10	NA	10	NA	NA	NA	NA	NA	NA	20	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	10	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	18	23	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	13	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	10	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	
29849983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	
