"V2"	"V3.Baixa"	"V3.Media"	"residuals"	"residualsPos"
"1062"	"centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg"	4.24428030725	4.77196106123	-0.52877732204862	0.52877732204862
"305"	"catole/Rua_Doutor_Antonio_Telha__68__90.jpg"	5.17066019677	4.53889923194	0.528658368545546	0.528658368545546
"1594"	"centro/Rua_Manoel_P._de_Araujo__150_270.jpg"	4.12232767158	4.54292812971	-0.521939694619084	0.521939694619084
"2544"	"liberdade/Rua_Severino_Pimentel__321__0.jpg"	5.039362787	4.32517731611	0.517541500443543	0.517541500443543
"1038"	"centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg"	5.70467994412	5.50836634129	0.517525402480485	0.517525402480485
"1696"	"centro/Rua_Pedro_Alvares_Cabral__129_90.jpg"	3.96816978323	4.2586530686	-0.516243453390357	0.516243453390357
"2668"	"liberdade/Rua_Severino_Pimentel__511_270.jpg"	5.06270195155	4.37587425884	0.512372657218388	0.512372657218388
"1685"	"centro/Rua_Pedro_Alvares_Cabral__129_180.jpg"	4.39991002415	3.2385130167	0.48914401288991	0.48914401288991
"693"	"catole/Rua_Otacilio_Nepomuceno__76_90.jpg"	4.81529876504	5.69586533599	-0.477290592012524	0.477290592012524
"162"	"catole/Rua_Deputado_Ascendino_Moura__101__270.jpg"	4.9461418619	4.26806286411	0.456437289962041	0.456437289962041
"2688"	"liberdade/Rua_Severino_Pimentel__511_90.jpg"	4.60428987946	5.25055524587	-0.437891803522191	0.437891803522191
"2586"	"liberdade/Rua_Severino_Pimentel__321__180.jpg"	4.73610247715	5.47290530077	-0.431111540181309	0.431111540181309
"1346"	"centro/Rua_Elias_Aforas__202_0.jpg"	3.90972269965	3.98416281742	-0.420338621579347	0.420338621579347
"476"	"catole/Rua_Joao_Francisco_Mota__64__270.jpg"	5.52157007577	5.35706053941	0.419498119867331	0.419498119867331
"1904"	"liberdade/Rua_Edesio_Silva__602__180.jpg"	3.87846118478	3.87797330732	-0.391887435514042	0.391887435514042
"737"	"catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg"	4.43234376081	3.47336852856	0.389513321250941	0.389513321250941
"1214"	"centro/Rua_Capitao_Joao_de_Sa__45__180.jpg"	4.50011451262	3.63108183528	0.368598406192143	0.368598406192143
"2032"	"liberdade/Rua_Odon_Bezerra__306_270.jpg"	5.41732583541	5.3163496179	0.338146527553622	0.338146527553622
"2394"	"liberdade/Rua_Riachuelo__930__0.jpg"	5.03693157501	4.64727275099	0.333988929502887	0.333988929502887
"218"	"catole/Rua_Doutor_Antonio_Telha__235_0.jpg"	4.19943574977	4.33327212636	-0.326937426922602	0.326937426922602
"2122"	"liberdade/Rua_Odon_Bezerra__388__90.jpg"	5.56254205444	5.60888479733	0.318863770499172	0.318863770499172
"1522"	"centro/Rua_Felix_Araujo__48__90.jpg"	5.05712785856	4.77294245352	0.283518370756168	0.283518370756168
"669"	"catole/Rua_Otacilio_Nepomuceno__76_0.jpg"	4.84851207857	5.40740360238	-0.281868890722634	0.281868890722634
"2319"	"liberdade/Rua_Riachuelo__455__180.jpg"	4.37758484818	3.5763299812	0.276856915511055	0.276856915511055
"1794"	"liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg"	4.74213213759	5.2031101216	-0.27337010677622	0.27337010677622
"2004"	"liberdade/Rua_Odon_Bezerra__147_90.jpg"	5.4878575044	6.5210746693	-0.268765240531976	0.268765240531976
"2064"	"liberdade/Rua_Odon_Bezerra__306_90.jpg"	5.43313292828	5.47138856694	0.266771803795677	0.266771803795677
"2474"	"liberdade/Rua_Santa_Catarina__1231__180.jpg"	3.36117128859	2.70943205949	-0.252080844522483	0.252080844522483
"2455"	"liberdade/Rua_Santa_Catarina__1231__0.jpg"	3.7479578187	3.38556179458	-0.245496959917446	0.245496959917446
