"V2"	"V3.Masculino"	"V3.Feminino"	"residuals"	"residualsPos"
"1638"	"centro/Rua_Manoel_P._de_Araujo__370_0.jpg"	1.87452327368	3.47412606859	-2.11285243257777	2.11285243257777
"1383"	"centro/Rua_Elias_Aforas__67__0.jpg"	5.4615682755	2.52073756817	2.09160067447082	2.09160067447082
"1327"	"centro/Rua_Doutor_Severino_Cruz__411__90.jpg"	8.04545045659	7.32037658169	1.56726828425735	1.56726828425735
"1247"	"centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg"	5.677948216	4.09447963407	1.28883563199924	1.28883563199924
"1455"	"centro/Rua_Felix_Araujo__132__90.jpg"	2.36950599705	2.905773255	-1.24980817544126	1.24980817544126
"934"	"centro/Avenida_Dom_Pedro_II__500_90.jpg"	6.00414740127	4.66785292187	1.2437220575146	1.2437220575146
"1416"	"centro/Rua_Elias_Aforas__67__180.jpg"	5.52426583475	7.73297271628	-1.22111087325162	1.22111087325162
"1341"	"centro/Rua_Elias_Aforas__202_0.jpg"	4.53265522417	2.47332421224	1.19339219974771	1.19339219974771
"2576"	"liberdade/Rua_Severino_Pimentel__321__180.jpg"	5.83788374883	4.55380517488	1.1513149738749	1.1513149738749
"1496"	"centro/Rua_Felix_Araujo__48__270.jpg"	4.36274180779	5.83002600759	-1.15029916168981	1.15029916168981
"684"	"catole/Rua_Otacilio_Nepomuceno__76_0.jpg"	4.9228226035	6.66146679325	-1.12865393538092	1.12865393538092
"1813"	"liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg"	3.96138206606	5.0878042327	-1.07100097698965	1.07100097698965
"1738"	"centro/Rua_Quebra_Quilos__399__270.jpg"	6.34832093747	5.51223125197	1.04108175585788	1.04108175585788
"1661"	"centro/Rua_Manoel_P._de_Araujo__370_180.jpg"	2.13855146229	2.22280819518	-1.03847904164952	1.03847904164952
"421"	"catole/Rua_Inacio_Marques_da_Silva__434_270.jpg"	7.3965067579	7.15026773951	1.02848594988705	1.02848594988705
"213"	"catole/Rua_Doutor_Antonio_Telha__235_0.jpg"	5.17512478402	3.74097649178	1.01493850359587	1.01493850359587
"1498"	"centro/Rua_Felix_Araujo__48__90.jpg"	3.36370842096	4.05383010512	-0.99907979617836	0.99907979617836
"64"	"catole/Rua_Aluisio_Cunha_Linha__50__270.jpg"	3.91889509918	4.86418995585	-0.96867681292859	0.96867681292859
"1690"	"centro/Rua_Pedro_Alvares_Cabral__129_180.jpg"	3.88237749695	4.73882549107	-0.924009214551787	0.924009214551787
"1601"	"centro/Rua_Manoel_P._de_Araujo__150_90.jpg"	2.91573366616	3.16860826924	-0.873790728143413	0.873790728143413
"2526"	"liberdade/Rua_Sergipe__1337_90.jpg"	3.12924088343	3.47568451431	-0.859144061998016	0.859144061998016
"2051"	"liberdade/Rua_Odon_Bezerra__306_270.jpg"	4.48348520208	5.55396356968	-0.85077955325446	0.85077955325446
"1873"	"liberdade/Rua_Edesio_Silva__602__0.jpg"	5.89760596342	5.1499614478	0.82497031780144	0.82497031780144
"916"	"centro/Avenida_Dom_Pedro_II__500_270.jpg"	5.74464612682	4.92201059589	0.819629949551432	0.819629949551432
"1054"	"centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg"	4.18158744715	2.59333828716	0.764604099308162	0.764604099308162
"846"	"centro/Avenida_Barao_Rio_Branco__141_90.jpg"	5.1968949177	6.50109477928	-0.750725762595157	0.750725762595157
"975"	"centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg"	3.48836738878	3.85979521885	-0.748765115679394	0.748765115679394
"1124"	"centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg"	5.95507645868	5.38687055219	0.729020039485509	0.729020039485509
"1039"	"centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg"	3.92820698218	4.45360304265	-0.693471552780876	0.693471552780876
"2089"	"liberdade/Rua_Odon_Bezerra__388__270.jpg"	4.44773582127	5.24126671488	-0.684028513146903	0.684028513146903
"1865"	"liberdade/Rua_Acre__635_90.jpg"	5.57415909109	4.88656139916	0.672099579834608	0.672099579834608
"2317"	"liberdade/Rua_Riachuelo__455__180.jpg"	5.56199542813	4.87619728873	0.666647646437265	0.666647646437265
"712"	"catole/Rua_Otacilio_Nepomuceno__76_90.jpg"	6.83743536754	6.86161456135	0.65634445402176	0.65634445402176
"496"	"catole/Rua_Joao_Francisco_Mota__64__90.jpg"	6.22315645755	7.88343663694	-0.619659693154177	0.619659693154177
"1918"	"liberdade/Rua_Edesio_Silva__602__180.jpg"	3.27789294773	3.33089958301	-0.61673023105178	0.61673023105178
"578"	"catole/Rua_Olegario_Mariano__139_0.jpg"	4.63303056518	5.41486312976	-0.611153662636415	0.611153662636415
"401"	"catole/Rua_Honorio_de_Melo__240__90.jpg"	6.64241805769	6.64344234571	0.60261403216388	0.60261403216388
"843"	"centro/Avenida_Barao_Rio_Branco__141_270.jpg"	5.95178688446	7.42426222486	-0.593670945258688	0.593670945258688
"770"	"catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg"	4.16092667885	4.61266712733	-0.563760708314291	0.563760708314291
"2635"	"liberdade/Rua_Severino_Pimentel__439__180.jpg"	5.59423440367	5.09077980818	0.559924397563568	0.559924397563568
"1780"	"liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg"	3.68997653309	3.85771693602	-0.545810089115062	0.545810089115062
"603"	"catole/Rua_Olegario_Mariano__139_180.jpg"	4.88518535638	4.04397544785	0.528778950297749	0.528778950297749
"1549"	"centro/Rua_Joao_da_Mata__490_90.jpg"	4.08192309002	4.4117254475	-0.512635790506507	0.512635790506507
"2399"	"liberdade/Rua_Riachuelo__930__0.jpg"	5.47312703521	6.55494282289	-0.509365282996533	0.509365282996533
"23"	"catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg"	5.33254838708	6.32520072456	-0.501164463408297	0.501164463408297
"2608"	"liberdade/Rua_Severino_Pimentel__439__0.jpg"	5.82761346698	5.54796174647	0.49723545277402	0.49723545277402
"631"	"catole/Rua_Olegario_Mariano__139_270.jpg"	6.82625575966	7.09436232382	0.494438930148969	0.494438930148969
"726"	"catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg"	5.02567338669	4.32072621366	0.490045009853916	0.490045009853916
"518"	"catole/Rua_Luisa_Bezerra_Mota__246_270.jpg"	6.40351794502	6.46814437737	0.477235727692261	0.477235727692261
"2363"	"liberdade/Rua_Riachuelo__847__180.jpg"	5.51593051924	5.10148749529	0.474686285578848	0.474686285578848
"1181"	"centro/Rua_Augusto_Severo__71_90.jpg"	4.1256672318	2.95770543624	0.472722121232974	0.472722121232974
"1583"	"centro/Rua_Manoel_P._de_Araujo__150_270.jpg"	3.43192276933	3.33872010983	-0.467764931043658	0.467764931043658
"1925"	"liberdade/Rua_Espirito_Santo__1288__0.jpg"	5.41446352547	4.95960852594	0.465099176661224	0.465099176661224
"999"	"centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg"	4.75644924956	3.94775472415	0.46235474956553	0.46235474956553
"146"	"catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg"	5.72344175327	5.46047469797	0.449719774691293	0.449719774691293
"176"	"catole/Rua_Deputado_Ascendino_Moura__101__270.jpg"	5.31414852122	4.84470129878	0.439197334901303	0.439197334901303
"2352"	"liberdade/Rua_Riachuelo__847__0.jpg"	5.57727480742	5.27829820973	0.421529121162741	0.421529121162741
"377"	"catole/Rua_Honorio_de_Melo__240__270.jpg"	5.71541054816	5.49632409706	0.418472735159135	0.418472735159135
"294"	"catole/Rua_Doutor_Antonio_Telha__68__90.jpg"	5.02224155766	4.45154419686	0.401896317654541	0.401896317654541
"1133"	"centro/Rua_Augusto_Severo__71_0.jpg"	3.59716875055	3.47686337025	-0.391979614210147	0.391979614210147
"2551"	"liberdade/Rua_Severino_Pimentel__321__0.jpg"	5.00392851284	4.45466586348	0.381561702118971	0.381561702118971
"2445"	"liberdade/Rua_Santa_Catarina__1231__0.jpg"	4.42001841007	4.72354618392	-0.376473522889219	0.376473522889219
"1431"	"centro/Rua_Felix_Araujo__132__270.jpg"	3.81313174962	3.78281471483	-0.374148688126199	0.374148688126199
"2188"	"liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg"	5.70502626761	5.58992079357	0.347475851224011	0.347475851224011
"86"	"catole/Rua_Aluisio_Cunha_Linha__50__90.jpg"	5.01958349685	4.53597125474	0.344563850961994	0.344563850961994
"362"	"catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg"	5.37680038008	6.12278930851	-0.325832172287433	0.325832172287433
"541"	"catole/Rua_Luisa_Bezerra_Mota__246_90.jpg"	6.16997171079	6.34864777323	0.321074706217424	0.321074706217424
"2137"	"liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg"	4.30932969107	3.48063778572	0.317737039743934	0.317737039743934
"119"	"catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg"	4.03554111053	3.06247509105	0.314747862468973	0.314747862468973
"468"	"catole/Rua_Joao_Francisco_Mota__64__270.jpg"	5.4587751004	6.22940486744	-0.312900984795719	0.312900984795719
"2227"	"liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg"	4.04199415884	4.03678641851	-0.309756679253664	0.309756679253664
"2168"	"liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg"	5.28520691257	5.01111558046	0.302486934945594	0.302486934945594
"645"	"catole/Rua_Olegario_Mariano__139_90.jpg"	5.75860986457	6.66433029591	-0.294721059748595	0.294721059748595
"1096"	"centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg"	5.92593637391	6.01599427707	0.2924635795847	0.2924635795847
"784"	"catole/Rua_Vigario_Calixto__1201_0.jpg"	5.05744567086	4.69286783014	0.280820837483478	0.280820837483478
"274"	"catole/Rua_Doutor_Antonio_Telha__68__270.jpg"	3.68783945839	3.42458173702	-0.267451665490306	0.267451665490306
"2118"	"liberdade/Rua_Odon_Bezerra__388__90.jpg"	4.50296146951	4.68210342373	-0.266692405267189	0.266692405267189
"2074"	"liberdade/Rua_Odon_Bezerra__306_90.jpg"	4.9044311734	4.48764811074	0.260705276872915	0.260705276872915
"40"	"catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg"	5.14080267648	5.65637206334	-0.259781143959698	0.259781143959698
"1534"	"centro/Rua_Joao_da_Mata__490_270.jpg"	4.13829649979	4.10806016369	-0.259610745628426	0.259610745628426
"205"	"catole/Rua_Deputado_Ascendino_Moura__101__90.jpg"	5.30128026213	5.86807827605	-0.23640310544795	0.23640310544795
"2511"	"liberdade/Rua_Sergipe__1337_0.jpg"	4.33620344155	4.35457386521	-0.22134445120296	0.22134445120296
"258"	"catole/Rua_Doutor_Antonio_Telha__235_180.jpg"	5.39161831491	5.31209851018	0.213983776995941	0.213983776995941
"1360"	"centro/Rua_Elias_Aforas__202_180.jpg"	4.85421863306	4.49005333503	0.208935129145283	0.208935129145283
"1974"	"liberdade/Rua_Espirito_Santo__1288__180.jpg"	4.79951383777	5.04848232816	-0.207404599229412	0.207404599229412
"446"	"catole/Rua_Inacio_Marques_da_Silva__434_90.jpg"	4.28948268741	4.24750991905	-0.198731299901662	0.198731299901662
"1993"	"liberdade/Rua_Odon_Bezerra__147_270.jpg"	4.48858844685	4.55283454043	-0.197351751636664	0.197351751636664
"1065"	"centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg"	4.68122474884	4.83950122192	-0.190358901998919	0.190358901998919
"2698"	"liberdade/Rua_Severino_Pimentel__511_90.jpg"	4.91314632279	4.62525717104	0.180305706351062	0.180305706351062
"2664"	"liberdade/Rua_Severino_Pimentel__511_270.jpg"	4.75972458352	4.94481243134	-0.180057912006778	0.180057912006778
"313"	"catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg"	5.42774094646	5.9410690725	-0.157210779521126	0.157210779521126
"1693"	"centro/Rua_Pedro_Alvares_Cabral__129_90.jpg"	4.65155291211	4.73938174589	-0.155194026344692	0.155194026344692
"822"	"catole/Rua_Vigario_Calixto__1201_180.jpg"	5.42609249809	5.47246595151	0.144605062801687	0.144605062801687
"2465"	"liberdade/Rua_Santa_Catarina__1231__180.jpg"	4.30131226828	3.73941622035	0.142136409343873	0.142136409343873
"1195"	"centro/Rua_Capitao_Joao_de_Sa__45__0.jpg"	3.64827143721	3.16748980432	-0.140528646587552	0.140528646587552
"875"	"centro/Avenida_Dom_Pedro_II__119_270.jpg"	4.11047359863	3.85997478358	-0.126775190764304	0.126775190764304
"1752"	"centro/Rua_Quebra_Quilos__399__90.jpg"	5.35299490002	5.76320289043	-0.116771859488692	0.116771859488692
"1001"	"centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg"	4.40540734462	3.99228633451	0.0824744674445243	0.0824744674445243
