"V2"	"V3.Baixa"	"V3.Media"	"residuals"	"residualsPos"
"103"	"catole/Rua_Aluisio_Cunha_Linha__50__90.jpg"	4.56272466765	5.0399133683	-0.48918493116811	0.48918493116811
"281"	"catole/Rua_Doutor_Antonio_Telha__68__270.jpg"	4.31454617586	3.55728207654	0.470697404860724	0.470697404860724
"1297"	"centro/Rua_Doutor_Severino_Cruz__411__270.jpg"	5.08564086484	4.51083056433	0.464832520730989	0.464832520730989
"1045"	"centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg"	3.91635084562	4.21568427823	-0.46396974627763	0.46396974627763
"2652"	"liberdade/Rua_Severino_Pimentel__511_270.jpg"	5.11720090558	4.55462289318	0.460710192336687	0.460710192336687
"856"	"centro/Avenida_Barao_Rio_Branco__141_90.jpg"	5.16443313767	5.74191128063	-0.459470444958991	0.459470444958991
"191"	"catole/Rua_Deputado_Ascendino_Moura__101__90.jpg"	5.77660309599	5.36816451259	0.45723161955785	0.45723161955785
"142"	"catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg"	5.87511689203	5.48954750154	0.456841504066353	0.456841504066353
"1743"	"centro/Rua_Quebra_Quilos__399__90.jpg"	5.58260104222	5.1309397923	0.456522324119178	0.456522324119178
"1217"	"centro/Rua_Capitao_Joao_de_Sa__45__180.jpg"	3.32294426101	3.47786931924	-0.456198306999771	0.456198306999771
"1798"	"liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg"	4.3815049694	4.76514806879	-0.446523481740518	0.446523481740518
"397"	"catole/Rua_Honorio_de_Melo__240__90.jpg"	6.67843695161	6.54924599446	0.396710046259564	0.396710046259564
"2435"	"liberdade/Rua_Riachuelo__930__180.jpg"	3.83528226174	4.02191409015	-0.387152701330345	0.387152701330345
"1700"	"centro/Rua_Pedro_Alvares_Cabral__129_90.jpg"	4.22147300886	4.46967197912	-0.365798963261597	0.365798963261597
"1005"	"centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg"	4.3097715807	3.68858260614	0.358938000083402	0.358938000083402
