"V2"	"V3.Jovem"	"V3.Adulto"	"residuals"	"residualsPos"
"510"	"catole/Rua_Joao_Francisco_Mota__64__90.jpg"	8.20948434622	6.96708142675	2.7004196527075	2.7004196527075
"1319"	"centro/Rua_Doutor_Severino_Cruz__411__90.jpg"	8.05014351035	7.41590576465	2.40311457717691	2.40311457717691
"1043"	"centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg"	2.65493788198	4.61427834163	-2.13089800841447	2.13089800841447
"1894"	"liberdade/Rua_Edesio_Silva__602__0.jpg"	5.93976774988	1.96789647671	1.96740392642723	1.96740392642723
"1688"	"centro/Rua_Pedro_Alvares_Cabral__129_180.jpg"	3.3874468014	6.40911541654	-1.95010456305541	1.95010456305541
"1150"	"centro/Rua_Augusto_Severo__71_0.jpg"	3.14873441859	5.11118442057	-1.78984557138793	1.78984557138793
"231"	"catole/Rua_Doutor_Antonio_Telha__235_0.jpg"	2.81399477178	4.0115756441	-1.78657616663979	1.78657616663979
"1658"	"centro/Rua_Manoel_P._de_Araujo__370_180.jpg"	2.16482421333	1.73778017895	-1.73680409653072	1.73680409653072
"696"	"catole/Rua_Otacilio_Nepomuceno__76_90.jpg"	5.93975520942	2.83991584141	1.69934110780485	1.69934110780485
"885"	"centro/Avenida_Dom_Pedro_II__119_270.jpg"	3.76493041024	6.79197541424	-1.69030839675981	1.69030839675981
"374"	"catole/Rua_Honorio_de_Melo__240__270.jpg"	6.1244624139	3.5	1.68114485683062	1.68114485683062
"413"	"catole/Rua_Inacio_Marques_da_Silva__434_270.jpg"	7.29463024149	7.5	1.62175155762339	1.62175155762339
"1120"	"centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg"	6.75331009346	5.80432988076	1.60166392521567	1.60166392521567
"1725"	"centro/Rua_Quebra_Quilos__399__270.jpg"	6.53099326161	5.30247094125	1.53361365415496	1.53361365415496
"1037"	"centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg"	3.24513310867	4.44444444444	-1.48849749222514	1.48849749222514
"570"	"catole/Rua_Olegario_Mariano__139_0.jpg"	6.09001109646	4.11078199331	1.45894509041019	1.45894509041019
"640"	"catole/Rua_Olegario_Mariano__139_270.jpg"	6.91546313822	7.2469153857	1.32038020523682	1.32038020523682
"157"	"catole/Rua_Deputado_Ascendino_Moura__101__270.jpg"	5.88525209049	3.95102695253	1.30329323142844	1.30329323142844
"400"	"catole/Rua_Honorio_de_Melo__240__90.jpg"	6.50066524877	6.21437834686	1.22297416702082	1.22297416702082
"2055"	"liberdade/Rua_Odon_Bezerra__306_90.jpg"	5.19056435898	2.11625908751	1.17259531079977	1.17259531079977
"1450"	"centro/Rua_Felix_Araujo__132__90.jpg"	2.87488838751	2.20603563289	-1.17067709824458	1.17067709824458
"1906"	"liberdade/Rua_Edesio_Silva__602__180.jpg"	2.82657919488	1.89163725436	-1.12234328473243	1.12234328473243
"2216"	"liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg"	3.90283244289	5.38805032607	-1.12085343577251	1.12085343577251
"1443"	"centro/Rua_Felix_Araujo__132__270.jpg"	3.4760552251	3.72755045919	-1.03720913172061	1.03720913172061
"1840"	"liberdade/Rua_Acre__635_270.jpg"	4.37349115913	6.51851851852	-0.997689655661823	0.997689655661823
"721"	"catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg"	5.37226554675	3.33333333333	0.98017970329819	0.98017970329819
"1337"	"centro/Rua_Elias_Aforas__202_0.jpg"	4.45004628193	6.66666666667	-0.966673833854883	0.966673833854883
"451"	"catole/Rua_Inacio_Marques_da_Silva__434_90.jpg"	3.9264218385	4.87967032024	-0.940992966960132	0.940992966960132
"1510"	"centro/Rua_Felix_Araujo__48__90.jpg"	3.68892617776	4.01699671449	-0.913311145014083	0.913311145014083
"1792"	"liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg"	3.6860700109	3.96791487702	-0.90108003202786	0.90108003202786
"1989"	"liberdade/Rua_Odon_Bezerra__147_270.jpg"	5.15843302034	2.90777447451	0.897159834380507	0.897159834380507
"2083"	"liberdade/Rua_Odon_Bezerra__388__270.jpg"	4.94517100861	2.28048750727	0.876719740216714	0.876719740216714
"1597"	"centro/Rua_Manoel_P._de_Araujo__150_90.jpg"	3.49479655488	3.25720284972	-0.873887517769027	0.873887517769027
"1106"	"centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg"	5.97448957087	5.70447041221	0.853539232793595	0.853539232793595
"2169"	"liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg"	4.74781610516	7.17871359907	-0.826302261418585	0.826302261418585
"110"	"catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg"	3.84669647519	4.14848527218	-0.795959152372647	0.795959152372647
"72"	"catole/Rua_Aluisio_Cunha_Linha__50__270.jpg"	4.44282385647	6.08044950299	-0.793698800234318	0.793698800234318
"1711"	"centro/Rua_Pedro_Alvares_Cabral__129_90.jpg"	4.16403259996	5.07304785538	-0.762824580501135	0.762824580501135
"1542"	"centro/Rua_Joao_da_Mata__490_270.jpg"	4.02074666277	4.55642889428	-0.747306869707402	0.747306869707402
"351"	"catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg"	5.47470593587	4.43634337761	0.743565524189797	0.743565524189797
"564"	"catole/Rua_Luisa_Bezerra_Mota__246_90.jpg"	6.1038206671	6.51408442147	0.734002850649458	0.734002850649458
"1797"	"liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg"	5.02074439091	3	0.731121974690269	0.731121974690269
"1192"	"centro/Rua_Capitao_Joao_de_Sa__45__0.jpg"	3.74875481913	3.57742479756	-0.718362368271865	0.718362368271865
