[1] "seguro?"
[1] "0.266549855604544 0.00529575474221589 street_wid"
[1] "0.260353172177391 0.00650289239929602 sidewalk_wid"
[1] "0.35029244020876 0.000406308669437694 sidewalk_wid_left"
[1] "0.19664134925869 0.0454249264040756 sidewalk_wid_right"
[1] "-0.00898651935136603 0.926455085888761 public_art"
[1] "0.463021562688049 4.51844330173756e-07 mov_cars"
[1] "0.374506309658701 6.52363707678294e-05 park_cars"
[1] "0.340732257993792 0.000522604317676256 park_cars_left"
[1] "0.360131508682118 0.000129016327383047 park_cars_right"
[1] "0.104659580816874 0.281050835198172 mov_ciclyst"
[1] "0.482570377109915 1.2309898989038e-07 debris"
[1] "0.490094271285743 1.7107369298941e-07 debris_left"
[1] "0.544420327865543 1.93505500512003e-09 debris_right"
[1] "0.436690329764424 2.30286985281047e-06 pavement"
[1] "0.414523116194211 1.4816146876484e-05 pavement_left"
[1] "0.489187788692716 1.18864735165758e-07 pavement_right"
[1] "0.414462324703118 8.22067850991814e-06 landscape"
[1] "0.399126208863528 3.24786011458578e-05 landscape_left"
[1] "0.463991182263869 6.18833963850207e-07 landscape_right"
[1] "-0.0339426463400668 0.727285807108758 courtyards"
[1] "0.0401984688226214 0.679562138098869 major_landsc"
[1] "0.153743481784331 0.112146700035855 build_ident"
[1] "-0.0792175754529897 0.415097790031306 build_nrectan"
[1] "-0.273071201938465 0.0042447997870569 prop_street_wall"
[1] "-0.297613916111304 0.00291867942120532 prop_street_wall_left"
[1] "-0.119958327644319 0.222882208435296 prop_street_wall_right"
[1] "0.322578534760867 0.00066207554038078 prop_wind"
[1] "0.341979942760592 0.000567855799965322 prop_wind_left"
[1] "0.288580517282841 0.00283150834928558 prop_wind_right"
[1] "-0.0427075407358211 0.660758901843967 long_sight"
[1] "0.119512225225379 0.217957973084888 prop_sky_ahead"
[1] "0.112290229072333 0.247256438735961 prop_sky_across"
[1] "0.120153971711335 0.270481275748638 prop_sky_across_left"
[1] "0.153070011600295 0.134430351889098 prop_sky_across_right"
[1] "0.112307388629723 0.247183750337562 trees"
[1] "0.227295133783352 0.0236642876861617 trees_left"
[1] "0.0464422379288789 0.644670858739449 trees_right"
[1] "0.0079225362313488 0.935142430739934 small_planters"
[1] "0.0295677300188281 0.771416632389614 small_planters_left"
[1] "0.0193687297346235 0.847547604057327 small_planters_right"
[1] "0.194011505482111 0.0442278436192507 build_height"
[1] "0.177534224598301 0.0886663418918732 build_height_left"
[1] "0.147028643795249 0.138331275104127 build_height_right"
[1] "0.171023259268952 0.0767759058813857 diff_build"
[1] "-0.0362368314311844 0.709651241051171 prop_hist_build"
[1] "0.20357914933752 0.0345817958405863 outdoor_table"
[1] "-0.0321341133935935 0.750952959870597 outdoor_table_left"
[1] "0.224019560536814 0.0216006001659461 outdoor_table_right"
[1] "0.281674572276433 0.00314470671711153 street_furnit"
[1] "0.268251140677748 0.00696670925943699 street_furnit_left"
[1] "0.316152231527264 0.00101796424187484 street_furnit_right"
[1] "-0.0423112868566622 0.663714843902797 basic_col"
[1] "0.0902970119128706 0.352694727807797 lights"
[1] "0.0807596453074057 0.444105178125124 lights_left"
[1] "0.0427512048289177 0.672783917822654 lights_right"
[1] "-0.0687334263274971 0.479676135163454 accent_col"
[1] "0.202433844101204 0.0491393228225065 people"
[1] "0.109925244220199 0.32252581644221 people_left"
[1] "0.255035111979983 0.0146979362501636 people_right"
[1] "0.365783885420731 0.000267185348662213 prop_active_use"
[1] "0.254041125677836 0.020477388292631 prop_active_use_left"
[1] "0.326362959626917 0.00159297833178584 prop_active_use_right"

[1] "seguro?" - Spearman
[1] "0.409924114268773 1.05438111858145e-05 street_wid"
[1] "0.303363215345253 0.00141526294301536 sidewalk_wid"
[1] "0.369968378333901 0.000177214195615973 sidewalk_wid_left"
[1] "0.18491787981762 0.0602105154750724 sidewalk_wid_right"
[1] "0.00407317785538951 0.966628384890777 public_art"
[1] "0.47972830850329 1.49470475719969e-07 mov_cars"
[1] "0.406002186045291 1.30362357383421e-05 park_cars"
[1] "0.314849466485876 0.00142045053462804 park_cars_left"
[1] "0.390657986802603 2.91572446273883e-05 park_cars_right"
[1] "0.0576715663075888 0.553274694681253 mov_ciclyst"
[1] "0.483583696519726 1.14818678213994e-07 debris"
[1] "0.461647695496951 1.04107930307311e-06 debris_left"
[1] "0.53204996686561 5.19308580429918e-09 debris_right"
[1] "0.460268047851286 5.39201405534235e-07 pavement"
[1] "0.39775472553006 3.47658844345597e-05 pavement_left"
[1] "0.477971966778214 2.51823977964337e-07 pavement_right"
[1] "0.395939618295951 2.22001626054228e-05 landscape"
[1] "0.360553084629078 0.000197219632303101 landscape_left"
[1] "0.436073974328385 3.32137715356978e-06 landscape_right"
[1] "-0.109720609489366 0.258308317650734 courtyards"
[1] "-0.0671494061057837 0.48988177461352 major_landsc"
[1] "0.316123692091832 0.000859372883073414 build_ident"
[1] "-0.0777309373155021 0.423934075015499 build_nrectan"
[1] "-0.190417212678766 0.0483877209881684 prop_street_wall"
[1] "-0.34727682575657 0.000459261358874339 prop_street_wall_left"
[1] "-0.230388653279508 0.0180582118110612 prop_street_wall_right"
[1] "0.31871334355732 0.000774527891438411 prop_wind"
[1] "0.313279056187147 0.0016838448994867 prop_wind_left"
[1] "0.319797268340046 0.000882597745696361 prop_wind_right"
[1] "-0.04023901983832 0.6792566380327 long_sight"
[1] "0.074990776929319 0.440502099433451 prop_sky_ahead"
[1] "0.107230049345721 0.269337846513155 prop_sky_across"
[1] "0.0962172424392507 0.378170486050014 prop_sky_across_left"
