"election_id","candidate_id","city_id","post_id","city_name","city_state","full_ibge_code","total_votes","attendances","valid_votes","name","display_name"
131,114759,"61590",6,"ARAMINA","SP",3503000,116,3531,3091,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61603",6,"ITAOCA","SP",3522158,28,2169,1999,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61611",6,"ARANDU","SP",3503109,215,4395,3801,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61620",6,"TUIUTI","SP",3554953,82,4108,3631,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61638",6,"ARARAQUARA","SP",3503208,4416,128190,102375,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61646",6,"ARAPEÍ","SP",3503158,41,1847,1656,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61654",6,"ARARAS","SP",3503307,2595,78152,65661,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61662",6,"ESTIVA GERBI","SP",3557303,225,6836,5684,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61670",6,"AREALVA","SP",3503406,118,4946,4064,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61689",6,"ENGENHEIRO COELHO","SP",3515152,376,9645,8481,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61697",6,"AREIAS","SP",3503505,64,2525,2267,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61700",6,"RIBEIRÃO GRANDE","SP",3543253,98,5340,4869,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61719",6,"AREIÓPOLIS","SP",3503604,187,6889,4749,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61727",6,"HORTOLÂNDIA","SP",3519071,3843,113147,95761,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61735",6,"ARIRANHA","SP",3503703,118,5811,5024,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61743",6,"HOLAMBRA","SP",3519055,323,8794,7850,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61751",6,"ARTUR NOGUEIRA","SP",3503802,1169,26232,21941,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61760",6,"ELISIÁRIO","SP",3514924,62,2238,1957,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61778",6,"ARUJÁ","SP",3503901,2256,51307,42824,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
