"id_eleicao","id_candidato","id_cidade","id_cargo","uf","votos_do_candidato","eleitores","votes_nominais"
131,112506,"67911",6,"SP",0,2019,1807
131,112506,"67938",6,"SP",0,18304,15414
131,112506,"67954",6,"SP",0,60044,51321
131,112506,"67970",6,"SP",0,4834,4353
131,112506,"67997",6,"SP",0,6728,5935
131,112506,"68012",6,"SP",0,6579,5627
131,112506,"68039",6,"SP",0,5826,5074
131,112506,"68055",6,"SP",0,6052,5018
131,112506,"68071",6,"SP",0,13325,11568
131,112506,"68098",6,"SP",0,8214,7195
131,112506,"68110",6,"SP",0,24442,20243
131,112506,"68136",6,"SP",0,10972,9583
131,112506,"68152",6,"SP",0,4077,3357
131,112506,"68179",6,"SP",0,10562,9133
131,112506,"68195",6,"SP",0,2547,2135
131,112506,"68217",6,"SP",0,6581,5649
131,112506,"68233",6,"SP",0,3973,3475
131,112506,"68250",6,"SP",0,11109,9891
131,112506,"68276",6,"SP",0,8377,7681
131,112506,"68292",6,"SP",0,4174,3651
131,112506,"68314",6,"SP",0,52456,41327
131,112506,"68330",6,"SP",0,5094,4629
131,112506,"68357",6,"SP",0,25377,21386
131,112506,"68373",6,"SP",0,3841,3355
131,112506,"68390",6,"SP",0,1805,1365
131,112506,"68411",6,"SP",0,10128,8736
131,112506,"68438",6,"SP",0,26277,21285
131,112506,"68454",6,"SP",0,5466,4930
131,112506,"68470",6,"SP",0,35203,28988
131,112506,"68497",6,"SP",0,14981,13051
131,112506,"68519",6,"SP",0,5014,4351
131,112506,"68535",6,"SP",0,37921,32390
131,112506,"68551",6,"SP",0,3568,3027
131,112506,"68578",6,"SP",1,31564,26727
131,112506,"68594",6,"SP",0,16972,14717
131,112506,"68616",6,"SP",0,87684,72926
131,112506,"68632",6,"SP",0,9159,7689
131,112506,"68659",6,"SP",0,26144,22668
131,112506,"68675",6,"SP",0,8077,6873
131,112506,"68691",6,"SP",0,2359,2102
131,112506,"68713",6,"SP",0,8900,7654
131,112506,"68730",6,"SP",0,16513,13820
131,112506,"68756",6,"SP",2,225895,184784
131,112506,"68772",6,"SP",0,17420,14366
131,112506,"68799",6,"SP",0,11949,10316
131,112506,"68810",6,"SP",0,6432,5337
131,112506,"68837",6,"SP",0,8869,7753
131,112506,"68853",6,"SP",0,15492,13559
131,112506,"68870",6,"SP",1,43963,37355
131,112506,"68896",6,"SP",0,7346,6547
131,112506,"68918",6,"SP",0,19752,16842
131,112506,"68934",6,"SP",0,3144,2804
131,112506,"68950",6,"SP",0,2168,1930
131,112506,"68977",6,"SP",0,74798,60758
131,112506,"68993",6,"SP",0,3500,3007
131,112506,"69019",6,"SP",1,12806,11075
131,112506,"69035",6,"SP",0,2551,2350
131,112506,"69051",6,"SP",0,21337,18259
