id	mean_time	median_time	sum_time	mean_diff	median_diff	sum_diff
1200	51.3508004286	37.810406	359.455603	64.336156	30.736372	386.016936
1524	23.03085	17.403322	368.4936	35.494879	32.309403	532.423185
1525	25.2605295	13.4629685	454.689531	70.2525707647	34.059335	1194.293703
1263	153.501745333	148.610109	1381.515708	176.5794126	191.691062	882.897063
1527	31.9224115455	27.52012	351.146527	42.0652126	40.310766	420.652126
666	110.991083	110.991083	110.991083	nan	nan	0.0
1520	36.9298156667	33.2409885	221.578894	50.1084966	62.00612	250.542483
1521	82.953316	57.798607	497.719896	109.4012006	82.502333	547.006003
1399	85.2051119167	61.1438085	1022.461343	136.150411667	85.820697	1225.353705
1566	38.203969375	30.691716	611.26351	48.5292358	40.146016	727.938537
714	60.4516159231	44.955425	785.871007	94.0530012	78.496035	940.530012
713	65.8293275	42.0352125	394.975965	76.1535508	54.84563	380.767754
1158	43.8891822222	29.425143	395.00264	140.181446625	115.601389	1121.451573
618	55.1239944444	36.351035	992.2319	67.2372108571	41.134643	941.320952
1491	18.8771486957	15.01461	868.34884	57.7314028205	42.654779	2251.52471
1492	55.105286	33.973767	661.263432	60.8983050909	38.725122	669.881356
1493	60.957971	67.86125	304.789855	80.452162	78.1227795	321.808648
1494	38.2877303333	38.3211095	229.726382	36.0290082	33.91191	180.145041
1495	25.7200081667	20.938785	154.320049	22.1675412	20.945382	110.837706
1496	28.8062299615	25.3491455	748.961979	67.5961186522	33.930966	1554.710729
1497	31.8824216522	25.927029	733.295698	101.857862667	73.931086	1833.441528
1498	51.8318411667	32.6251925	310.991047	95.577032	111.653868	477.88516
1499	53.5779015143	31.715217	1875.226553	75.07916196	72.335447	1876.979049
1068	58.1139799167	23.289594	697.367759	114.288640273	131.094027	1257.175043
1567	30.7499807667	27.7420965	922.499423	58.05830025	36.5707975	1625.632407
1061	71.0402593333	39.484311	639.362334	104.721503333	63.329693	628.32902
1528	38.1009344615	28.356254	495.312148	76.3806320833	42.2857225	916.567585
1063	79.97173575	83.590343	1279.547772	176.466410909	161.894898	1941.13052
1062	35.0092100417	27.577635	840.221041	112.101776273	83.6897385	2466.239078
