[1] Diff  0.12925551974 1
[1] Diff  0.20181492106 2
[1] Diff  0.34709994075 3
[1] Diff  0.40930360581 4
[1] Diff  0.48850004973 5
[1] Diff  0.49221162482 6
[1] Diff  0.60833837502 7
[1] Diff  0.60954256357 8
[1] Diff  0.61643252354 9
[1] Diff  0.65205984177 10
[1] Diff  0.67905318222 11
[1] Diff  0.68222894337 12
[1] Diff  0.69087270429 13
[1] Diff  0.70101043088 14
[1] Diff  0.75210291298 15
[1] Diff  0.75495864869 16
[1] Diff  0.76315285178 17
[1] Diff  0.81180718202 18
[1] Diff  0.82245440529 19
[1] Diff  0.87312217575 20
[1] Diff  0.88485715594 21
[1] Diff  0.955748827 22
[1] Diff  0.96919307011 23
[1] Diff  0.97369040326 24
[1] Diff  1.01008409889 25
[1] Diff  1.02966836219 26
[1] Diff  1.0342116135 27
[1] Diff  1.05200104315 28
[1] Diff  1.07977134779 29
[1] Diff  1.09424214106 30
[1] Diff  1.09595238089 31
[1] Diff  1.13255553829 32
[1] Diff  1.15926398805 33
[1] Diff  1.17480407677 34
[1] Diff  1.18978019244 35
[1] Diff  1.20196305495 36
[1] Diff  1.21025728404 37
[1] Diff  1.22882204302 38
[1] Diff  1.2767494469 39
[1] Diff  1.28159487682 40
[1] Diff  1.29432430161 41
[1] Diff  1.29932249078 42
[1] Diff  1.31249390062 43
[1] Diff  1.31662920199 44
[1] Diff  1.32144079109 45
[1] Diff  1.35245657148 46
[1] Diff  1.36570876032 47
[1] Diff  1.37460722311 48
[1] Diff  1.40343785228 49
[1] Diff  1.40989984652 50
[1] Diff  1.42206522606 51
[1] Diff  1.4371704167 52
[1] Diff  1.43872585773 53
[1] Diff  1.4476472976 54
[1] Diff  1.45157459525 55
[1] Diff  1.45162194609 56
[1] Diff  1.4951622105 57
[1] Diff  1.49987545637 58
[1] Diff  1.52533908074 59
[1] Diff  1.53209083586 60
[1] Diff  1.54454880825 61
[1] Diff  1.56263314506 62
[1] Diff  1.57157199703 63
[1] Diff  1.57654194665 64
[1] Diff  1.58845136651 65
[1] Diff  1.59069888625 66
[1] Diff  1.61136925696 67
[1] Diff  1.63898794337 68
[1] Diff  1.64128488904 69
[1] Diff  1.64892181961 70
[1] Diff  1.66702824353 71
[1] Diff  1.66790471878 72
[1] Diff  1.66931200918 73
[1] Diff  1.67027782593 74
[1] Diff  1.69053502878 75
