foto	qscore	red	green	blue	diag	hor	vert
liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg	3.51184877034	145.898457	146.258633	142.203584	3	88	0
centro/Avenida_Barao_Rio_Branco__141_90.jpg	5.93982768335	105.501370	107.380785	99.069189	1	31	2
liberdade/Rua_Edesio_Silva__602__180.jpg	2.71612269006	138.456019	138.633796	131.623743	2	59	10
centro/Rua_Manoel_P._de_Araujo__150_90.jpg	3.11879311815	126.503086	126.464300	118.839479	29	102	3
liberdade/Rua_Odon_Bezerra__306_90.jpg	5.11896868206	133.495195	136.031426	132.174255	11	94	21
centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg	3.47843312925	121.387926	123.476393	119.806224	3	68	4
liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg	5.4122704945	144.831243	143.262380	136.474089	13	72	4
catole/Rua_Honorio_de_Melo__240__90.jpg	6.53946106657	123.291009	126.131286	121.234639	6	61	29
liberdade/Rua_Severino_Pimentel__511_270.jpg	4.79125476735	120.636696	121.008337	116.796029	2	92	1
catole/Rua_Inacio_Marques_da_Silva__434_90.jpg	4.66027476537	132.573525	132.374896	127.521784	0	59	6
liberdade/Rua_Espirito_Santo__1288__180.jpg	4.99065469618	134.407396	134.932142	129.290309	8	39	5
centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg	4.52779980363	124.261602	125.986527	121.560404	16	39	14
centro/Rua_Joao_da_Mata__490_270.jpg	4.27167524789	129.334909	129.743675	125.925495	2	138	4
liberdade/Rua_Odon_Bezerra__147_90.jpg	3.74960749594	127.871650	127.347510	121.500645	1	72	2
centro/Rua_Manoel_P._de_Araujo__150_270.jpg	4.08705344799	121.356520	124.019098	121.940479	29	84	9
centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg	5.67582420824	118.822627	120.764961	113.198887	6	174	14
catole/Rua_Doutor_Antonio_Telha__235_0.jpg	5.1772585802	126.547796	135.748786	136.771491	1	79	0
liberdade/Rua_Odon_Bezerra__306_270.jpg	4.71027504284	137.449076	137.021048	130.282982	6	119	25
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg	4.63063148308	113.870244	112.138958	102.803750	12	46	3
catole/Rua_Doutor_Antonio_Telha__235_180.jpg	6.32160105375	127.715973	132.546429	130.341491	8	80	0
centro/Rua_Augusto_Severo__71_90.jpg	3.6601143075	134.033597	132.542074	131.515316	22	33	7
centro/Rua_Felix_Araujo__132__270.jpg	3.80887317568	129.129339	131.955859	127.526146	19	36	27
centro/Rua_Elias_Aforas__202_0.jpg	5.20013056453	136.348516	138.192728	134.242767	0	127	2
centro/Rua_Elias_Aforas__67__180.jpg	5.59636215528	131.477516	135.303031	130.045641	10	62	13
centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg	5.45997399723	119.332207	120.520785	114.135911	12	102	0
centro/Rua_Felix_Araujo__48__90.jpg	3.66903555681	124.404134	125.012539	121.919619	26	58	50
centro/Rua_Pedro_Alvares_Cabral__129_90.jpg	2.3254269538	128.180508	127.131325	120.353877	2	107	2
liberdade/Rua_Sergipe__1337_90.jpg	2.60767947267	144.261178	144.537822	139.523369	3	46	1
