foto	qscore	red	green	blue	diag	hor	vert
liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg	3.5	145.898457	146.258633	142.203584	3	88	0
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg	6.27777777778	121.100449	121.865911	112.041471	2	31	3
liberdade/Rua_Severino_Pimentel__439__0.jpg	4.16666666667	106.548639	104.993395	96.514922	9	30	4
catole/Rua_Inacio_Marques_da_Silva__434_270.jpg	5.98333333333	135.427253	136.259466	129.065199	0	18	3
liberdade/Rua_Acre__635_270.jpg	3.09523809524	138.278320	138.776455	133.851165	1	144	21
catole/Rua_Olegario_Mariano__139_270.jpg	6.86507936508	135.202174	136.802829	131.889030	0	29	3
liberdade/Rua_Edesio_Silva__602__180.jpg	4.71428571429	138.456019	138.633796	131.623743	2	59	10
centro/Avenida_Dom_Pedro_II__500_90.jpg	3.33333333333	129.926787	129.633376	126.628532	3	73	41
liberdade/Rua_Espirito_Santo__1288__180.jpg	3.52777777778	134.407396	134.932142	129.290309	8	39	5
liberdade/Rua_Odon_Bezerra__306_270.jpg	4.61111111111	137.449076	137.021048	130.282982	6	119	25
liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg	1.76666666667	139.906722	141.756686	135.041647	2	47	10
liberdade/Rua_Riachuelo__930__180.jpg	5.77777777778	138.253385	138.430732	132.724137	7	59	5
centro/Rua_Manoel_P._de_Araujo__150_90.jpg	4.75	126.503086	126.464300	118.839479	29	102	3
liberdade/Rua_Odon_Bezerra__306_90.jpg	5.61882716049	133.495195	136.031426	132.174255	11	94	21
centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg	5.0	121.387926	123.476393	119.806224	3	68	4
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg	4.64867724868	130.496758	131.015820	121.776126	6	15	19
catole/Rua_Joao_Francisco_Mota__64__270.jpg	4.80952380952	126.428887	125.605205	117.998896	7	54	31
liberdade/Rua_Riachuelo__847__0.jpg	6.30555555556	130.785970	132.715016	125.540299	11	52	7
liberdade/Rua_Espirito_Santo__1288__0.jpg	4.27777777778	126.334404	127.991569	123.343815	19	42	10
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg	5.90277777778	142.402321	141.511764	134.635859	2	44	0
liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg	4.99537037037	144.831243	143.262380	136.474089	13	72	4
centro/Rua_Capitao_Joao_de_Sa__45__180.jpg	3.33333333333	128.782845	126.983011	120.457803	17	72	27
catole/Rua_Honorio_de_Melo__240__90.jpg	6.53350970018	123.291009	126.131286	121.234639	6	61	29
liberdade/Rua_Severino_Pimentel__511_270.jpg	6.29365079365	120.636696	121.008337	116.796029	2	92	1
catole/Rua_Inacio_Marques_da_Silva__434_90.jpg	6.3082010582	132.573525	132.374896	127.521784	0	59	6
catole/Rua_Otacilio_Nepomuceno__76_90.jpg	5.69047619048	129.535540	134.318838	130.701722	4	51	0
liberdade/Rua_Riachuelo__455__0.jpg	2.37433862434	143.570794	142.777637	137.516849	2	46	2
liberdade/Rua_Severino_Pimentel__321__180.jpg	2.2962962963	121.297383	121.176650	116.275986	1	17	3
centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg	3.33333333333	124.261602	125.986527	121.560404	16	39	14
liberdade/Rua_Odon_Bezerra__388__270.jpg	6.24074074074	140.350703	142.799121	140.471113	30	87	1
liberdade/Rua_Sergipe__1337_0.jpg	2.34920634921	139.148597	140.304769	134.418161	4	30	2
centro/Rua_Elias_Aforas__202_180.jpg	3.33333333333	129.606719	129.901117	123.373167	3	53	2
catole/Rua_Vigario_Calixto__1201_180.jpg	6.69345238095	131.998691	136.168203	133.692412	12	93	0
liberdade/Rua_Odon_Bezerra__147_90.jpg	5.80952380952	127.871650	127.347510	121.500645	1	72	2
catole/Rua_Aluisio_Cunha_Linha__50__90.jpg	3.9	126.398174	127.951865	119.586569	11	26	11
centro/Avenida_Dom_Pedro_II__500_270.jpg	6.66666666667	133.810905	132.219281	128.191960	18	89	16
liberdade/Rua_Odon_Bezerra__388__90.jpg	5.13888888889	135.760153	140.683346	138.384238	31	55	8
liberdade/Rua_Santa_Catarina__1231__0.jpg	3.33333333333	118.076637	120.703314	113.714915	0	40	12
catole/Rua_Otacilio_Nepomuceno__76_0.jpg	4.94497354497	115.955612	120.652204	115.367415	0	47	0
catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg	4.39583333333	125.929564	126.994183	118.131234	32	60	2
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg	4.21428571429	134.132959	135.887747	130.572051	7	66	1
liberdade/Rua_Severino_Pimentel__511_90.jpg	2.96296296296	121.049515	120.713864	117.067074	0	47	3
catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg	2.30952380952	117.703577	116.063171	106.835853	5	50	8
liberdade/Rua_Santa_Catarina__1231__180.jpg	2.54761904762	131.491341	132.571680	124.960540	5	51	4
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg	3.52777777778	129.821367	130.043005	119.405013	18	34	6
catole/Rua_Vigario_Calixto__1201_0.jpg	4.53604497354	142.369180	145.271709	141.056549	6	103	1
catole/Rua_Luisa_Bezerra_Mota__246_90.jpg	5.05608465608	140.162500	142.407031	130.632113	1	45	3
centro/Avenida_Barao_Rio_Branco__141_90.jpg	6.66666666667	105.501370	107.380785	99.069189	1	31	2
liberdade/Rua_Odon_Bezerra__147_270.jpg	5.58333333333	130.915908	132.370719	127.111458	29	93	15
liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg	2.50694444444	123.511149	125.277279	117.987002	11	44	16
liberdade/Rua_Acre__635_90.jpg	4.3253968254	122.280931	123.107865	114.472673	0	41	9
catole/Rua_Olegario_Mariano__139_0.jpg	4.26825396825	129.873678	134.370033	132.239385	2	75	2
liberdade/Rua_Riachuelo__930__0.jpg	5.55555555556	124.296901	124.997305	118.495983	2	56	1
liberdade/Rua_Severino_Pimentel__439__180.jpg	4.83333333333	124.455026	123.571846	115.850316	10	32	2
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg	5.41666666667	139.401413	138.018307	130.967428	16	56	2
liberdade/Rua_Riachuelo__847__180.jpg	5.27777777778	117.794447	119.201494	109.527542	0	19	2
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg	4.82638888889	129.055622	128.052188	122.677731	4	62	2
catole/Rua_Doutor_Antonio_Telha__68__90.jpg	5.76984126984	132.714385	132.563727	128.080742	2	31	2
liberdade/Rua_Sergipe__1337_90.jpg	2.10582010582	144.261178	144.537822	139.523369	3	46	1
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg	6.18518518519	117.162331	121.228779	115.941390	0	44	0
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg	6.66666666667	140.519632	142.964596	140.693747	0	64	0
catole/Rua_Luisa_Bezerra_Mota__246_270.jpg	5.75396825397	105.525957	109.478102	91.899622	10	15	4
centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg	3.33333333333	118.822627	120.764961	113.198887	6	174	14
catole/Rua_Olegario_Mariano__139_180.jpg	6.11111111111	132.516969	136.157663	132.903721	3	33	13
liberdade/Rua_Riachuelo__455__180.jpg	3.33333333333	131.701270	131.881937	124.783831	1	48	11
liberdade/Rua_Severino_Pimentel__321__0.jpg	5.20138888889	111.373298	110.042204	103.598262	0	14	3
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg	5.84479717813	131.291650	132.716937	128.082139	4	63	1
