foto	qscore	red	green	blue	diag	hor	vert
centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg	3.53174603175	127.195745	124.938900	118.374307	24	35	12
centro/Rua_Capitao_Joao_de_Sa__45__0.jpg	3.66431510876	122.942269	119.520684	115.176995	34	56	31
liberdade/Rua_Santa_Catarina__1231__180.jpg	4.66283716284	131.491341	132.571680	124.960540	5	51	4
centro/Rua_Quebra_Quilos__399__90.jpg	5.01169858407	137.487269	140.792083	136.576338	32	68	1
centro/Rua_Pedro_Alvares_Cabral__129_180.jpg	3.03999519	125.443968	125.744001	120.301338	10	36	5
catole/Rua_Doutor_Antonio_Telha__68__90.jpg	5.46007696008	132.714385	132.563727	128.080742	2	31	2
centro/Rua_Manoel_P._de_Araujo__370_0.jpg	2.07944868817	133.269062	129.740671	122.154857	5	64	5
liberdade/Rua_Severino_Pimentel__321__0.jpg	4.26650274677	111.373298	110.042204	103.598262	0	14	3
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg	7.83585858586	131.291650	132.716937	128.082139	4	63	1
centro/Rua_Quebra_Quilos__399__270.jpg	6.6653091061	133.286859	134.592542	128.642448	28	86	10
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg	5.56594516595	121.100449	121.865911	112.041471	2	31	3
centro/Avenida_Barao_Rio_Branco__141_270.jpg	5.28345959596	106.163711	108.740436	105.716852	6	50	0
liberdade/Rua_Riachuelo__847__0.jpg	6.80534670008	130.785970	132.715016	125.540299	11	52	7
centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg	7.08301688565	136.549798	136.973691	129.137939	0	97	16
catole/Rua_Olegario_Mariano__139_90.jpg	5.90824915825	137.880081	146.190195	145.630726	1	77	4
liberdade/Rua_Riachuelo__455__0.jpg	3.90909090909	143.570794	142.777637	137.516849	2	46	2
centro/Rua_Felix_Araujo__132__90.jpg	2.21098661687	136.618867	130.802083	127.340228	25	60	8
centro/Rua_Elias_Aforas__202_180.jpg	4.83538820898	129.606719	129.901117	123.373167	3	53	2
centro/Rua_Felix_Araujo__48__270.jpg	2.87469526358	124.100846	125.010072	121.420277	28	52	7
liberdade/Rua_Santa_Catarina__1231__0.jpg	4.90015540016	118.076637	120.703314	113.714915	0	40	12
catole/Rua_Otacilio_Nepomuceno__76_0.jpg	4.4275494887	115.955612	120.652204	115.367415	0	47	0
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg	4.46356421356	134.132959	135.887747	130.572051	7	66	1
liberdade/Rua_Odon_Bezerra__147_270.jpg	6.44029344194	130.915908	132.370719	127.111458	29	93	15
centro/Rua_Elias_Aforas__67__0.jpg	5.82663047498	125.000840	127.151543	123.736686	28	66	12
liberdade/Rua_Riachuelo__930__0.jpg	5.98644688645	124.296901	124.997305	118.495983	2	56	1
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg	5.36330409357	139.401413	138.018307	130.967428	16	56	2
centro/Rua_Doutor_Severino_Cruz__411__90.jpg	8.62917474682	128.611305	137.582194	136.705202	2	66	10
centro/Rua_Doutor_Severino_Cruz__411__270.jpg	4.99053030303	144.498691	145.224027	141.977536	0	84	0
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg	6.82098765432	140.519632	142.964596	140.693747	0	64	0
catole/Rua_Olegario_Mariano__139_180.jpg	7.42783806106	132.516969	136.157663	132.903721	3	33	13
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg	5.35045325045	129.055622	128.052188	122.677731	4	62	2
catole/Rua_Olegario_Mariano__139_270.jpg	6.83672565252	135.202174	136.802829	131.889030	0	29	3
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg	4.83910533911	130.496758	131.015820	121.776126	6	15	19
catole/Rua_Joao_Francisco_Mota__64__270.jpg	4.78198839344	126.428887	125.605205	117.998896	7	54	31
liberdade/Rua_Espirito_Santo__1288__0.jpg	6.9417570447	126.334404	127.991569	123.343815	19	42	10
liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg	5.46696636697	123.511149	125.277279	117.987002	11	44	16
centro/Avenida_Dom_Pedro_II__119_90.jpg	3.85376528234	125.609147	127.682314	123.584186	10	120	13
centro/Avenida_Dom_Pedro_II__119_270.jpg	3.54456019533	109.918890	112.234606	108.105700	0	97	2
catole/Rua_Otacilio_Nepomuceno__76_90.jpg	6.89668109668	129.535540	134.318838	130.701722	4	51	0
liberdade/Rua_Severino_Pimentel__321__180.jpg	5.49663299663	121.297383	121.176650	116.275986	1	17	3
catole/Rua_Deputado_Ascendino_Moura__101__90.jpg	5.34434390449	144.728932	149.899870	149.314124	3	60	1
centro/Rua_Manoel_P._de_Araujo__370_180.jpg	2.49801702373	120.920446	118.684710	111.464251	12	114	20
liberdade/Rua_Acre__635_270.jpg	6.88888888889	138.278320	138.776455	133.851165	1	144	21
centro/Avenida_Dom_Pedro_II__500_270.jpg	5.51709401709	133.810905	132.219281	128.191960	18	89	16
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg	6.20021205718	136.950221	139.703047	134.954040	0	202	30
catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg	7.72402597403	125.929564	126.994183	118.131234	32	60	2
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg	4.98737373737	129.821367	130.043005	119.405013	18	34	6
catole/Rua_Vigario_Calixto__1201_0.jpg	4.83650413914	142.369180	145.271709	141.056549	6	103	1
centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg	3.50863782682	128.970573	130.787113	127.437249	15	158	13
centro/Rua_Capitao_Joao_de_Sa__45__180.jpg	3.6335978836	128.782845	126.983011	120.457803	17	72	27
liberdade/Rua_Acre__635_90.jpg	5.37285553952	122.280931	123.107865	114.472673	0	41	9
centro/Rua_Augusto_Severo__71_0.jpg	4.25960761764	131.773874	132.520160	127.058906	4	162	34
catole/Rua_Doutor_Antonio_Telha__68__270.jpg	4.17100579732	125.487760	127.514404	120.395465	2	43	1
catole/Rua_Honorio_de_Melo__240__270.jpg	7.38804577775	143.184323	144.190199	138.668711	19	45	12
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg	6.20177320736	117.162331	121.228779	115.941390	0	44	0
liberdade/Rua_Riachuelo__455__180.jpg	5.82751322751	131.701270	131.881937	124.783831	1	48	11
