foto	qscore	red	green	blue	diag	hor	vert
liberdade/Rua_Severino_Pimentel__511_90.jpg	5.94902011569	121.049515	120.713864	117.067074	0	47	3
catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg	3.8911335578	117.703577	116.063171	106.835853	5	50	8
liberdade/Rua_Santa_Catarina__1231__180.jpg	3.96990311276	131.491341	132.571680	124.960540	5	51	4
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg	4.2227041477	129.821367	130.043005	119.405013	18	34	6
catole/Rua_Vigario_Calixto__1201_0.jpg	4.96904391904	142.369180	145.271709	141.056549	6	103	1
catole/Rua_Olegario_Mariano__139_0.jpg	4.507996633	129.873678	134.370033	132.239385	2	75	2
centro/Avenida_Barao_Rio_Branco__141_90.jpg	6.66666666667	105.501370	107.380785	99.069189	1	31	2
liberdade/Rua_Odon_Bezerra__147_270.jpg	4.84431216931	130.915908	132.370719	127.111458	29	93	15
liberdade/Rua_Edesio_Silva__602__180.jpg	3.86828603495	138.456019	138.633796	131.623743	2	59	10
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg	4.78851010101	140.519632	142.964596	140.693747	0	64	0
liberdade/Rua_Acre__635_90.jpg	5.34069325736	122.280931	123.107865	114.472673	0	41	9
liberdade/Rua_Odon_Bezerra__147_90.jpg	5.93282141139	127.871650	127.347510	121.500645	1	72	2
liberdade/Rua_Riachuelo__930__0.jpg	4.84432234432	124.296901	124.997305	118.495983	2	56	1
liberdade/Rua_Severino_Pimentel__439__180.jpg	4.47947731281	124.455026	123.571846	115.850316	10	32	2
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg	5.45402467902	139.401413	138.018307	130.967428	16	56	2
liberdade/Rua_Riachuelo__847__180.jpg	5.12542087542	117.794447	119.201494	109.527542	0	19	2
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg	5.18423127798	129.055622	128.052188	122.677731	4	62	2
catole/Rua_Doutor_Antonio_Telha__68__90.jpg	4.72467193301	132.714385	132.563727	128.080742	2	31	2
liberdade/Rua_Sergipe__1337_90.jpg	2.38179567346	144.261178	144.537822	139.523369	3	46	1
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg	4.97113997114	117.162331	121.228779	115.941390	0	44	0
catole/Rua_Luisa_Bezerra_Mota__246_90.jpg	5.4797979798	140.162500	142.407031	130.632113	1	45	3
catole/Rua_Luisa_Bezerra_Mota__246_270.jpg	6.4300103189	105.525957	109.478102	91.899622	10	15	4
catole/Rua_Olegario_Mariano__139_180.jpg	4.47095959596	132.516969	136.157663	132.903721	3	33	13
liberdade/Rua_Riachuelo__455__180.jpg	3.33333333333	131.701270	131.881937	124.783831	1	48	11
liberdade/Rua_Severino_Pimentel__321__0.jpg	5.76154401154	111.373298	110.042204	103.598262	0	14	3
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg	6.24466089466	131.291650	132.716937	128.082139	4	63	1
