"V1" "V2" "V3" "V4" "V5"
"107" "rodrigues_282.jpg" 13 13 0.0196671709531014 1
"143" "almirante_1942.jpg" 13 17 0.0196671709531014 0.764705882352941
"41" "almirante_1762.jpg" 11 11 0.0166414523449319 1
"34" "floriano_442.jpg" 10 12 0.0151285930408472 0.833333333333333
"60" "rodrigues_1742.jpg" 10 19 0.0151285930408472 0.526315789473684
"128" "rodrigues_1322.jpg" 10 35 0.0151285930408472 0.285714285714286
"219" "almirante_1502.jpg" 10 13 0.0151285930408472 0.769230769230769
"35" "rodrigues_1082.jpg" 9 13 0.0136157337367625 0.692307692307692
"176" "rodrigues_622.jpg" 9 10 0.0136157337367625 0.9
"49" "rodrigues_402.jpg" 8 9 0.0121028744326778 0.888888888888889
"113" "almirante_242.jpg" 8 14 0.0121028744326778 0.571428571428571
"181" "rodrigues_182.jpg" 8 13 0.0121028744326778 0.615384615384615
"86" "rodrigues_582.jpg" 7 8 0.010590015128593 0.875
"141" "almirante_622.jpg" 7 14 0.010590015128593 0.5
"166" "floriano_7122.jpg" 7 19 0.010590015128593 0.368421052631579
"187" "almirante_1282.jpg" 7 14 0.010590015128593 0.5
"209" "rodrigues_122.jpg" 7 9 0.010590015128593 0.777777777777778
"170" "rodrigues_1702.jpg" 6 11 0.00907715582450832 0.545454545454545
"236" "rodrigues_102.jpg" 6 7 0.00907715582450832 0.857142857142857
"14" "floriano_8602.jpg" 5 12 0.0075642965204236 0.416666666666667
"57" "rodrigues_82.jpg" 5 5 0.0075642965204236 1
"64" "almirante_1982.jpg" 5 9 0.0075642965204236 0.555555555555556
"69" "rodrigues_1422.jpg" 5 10 0.0075642965204236 0.5
"106" "rodrigues_442.jpg" 5 7 0.0075642965204236 0.714285714285714
"151" "rodrigues_1202.jpg" 5 6 0.0075642965204236 0.833333333333333
"157" "rodrigues_362.jpg" 5 5 0.0075642965204236 1
"226" "rodrigues_1862.jpg" 5 10 0.0075642965204236 0.5
"232" "almirante_1482.jpg" 5 10 0.0075642965204236 0.5
"10" "rodrigues_682.jpg" 4 4 0.00605143721633888 1
"44" "rodrigues_742.jpg" 4 4 0.00605143721633888 1
"61" "rodrigues_1222.jpg" 4 4 0.00605143721633888 1
"100" "rodrigues_1582.jpg" 4 5 0.00605143721633888 0.8
"103" "rodrigues_522.jpg" 4 5 0.00605143721633888 0.8
"114" "almirante_1922.jpg" 4 11 0.00605143721633888 0.363636363636364
"116" "rodrigues_382.jpg" 4 7 0.00605143721633888 0.571428571428571
"158" "rodrigues_1002.jpg" 4 4 0.00605143721633888 1
"175" "rodrigues_342.jpg" 4 4 0.00605143721633888 1
"199" "almirante_442.jpg" 4 7 0.00605143721633888 0.571428571428571
"201" "rodrigues_142.jpg" 4 4 0.00605143721633888 1
"204" "rodrigues_162.jpg" 4 4 0.00605143721633888 1
"217" "rodrigues_1942.jpg" 4 5 0.00605143721633888 0.8
"234" "rodrigues_1882.jpg" 4 4 0.00605143721633888 1
"239" "rodrigues_722.jpg" 4 5 0.00605143721633888 0.8
"240" "rodrigues_862.jpg" 4 5 0.00605143721633888 0.8
"1" "floriano_1162.jpg" 3 15 0.00453857791225416 0.2
"9" "rodrigues_482.jpg" 3 3 0.00453857791225416 1
"25" "rodrigues_962.jpg" 3 3 0.00453857791225416 1
"39" "rodrigues_2.jpg" 3 6 0.00453857791225416 0.5
"40" "floriano_7842.jpg" 3 15 0.00453857791225416 0.2
"68" "floriano_2922.jpg" 3 12 0.00453857791225416 0.25
"78" "rodrigues_202.jpg" 3 5 0.00453857791225416 0.6
"79" "almirante_1842.jpg" 3 7 0.00453857791225416 0.428571428571429
"80" "almirante_422.jpg" 3 5 0.00453857791225416 0.6
"85" "almirante_1722.jpg" 3 6 0.00453857791225416 0.5
"87" "almirante_462.jpg" 3 18 0.00453857791225416 0.166666666666667
"88" "rodrigues_1022.jpg" 3 3 0.00453857791225416 1
"104" "almirante_1742.jpg" 3 5 0.00453857791225416 0.6
"123" "floriano_8482.jpg" 3 6 0.00453857791225416 0.5
"125" "rodrigues_762.jpg" 3 6 0.00453857791225416 0.5
"127" "rodrigues_62.jpg" 3 3 0.00453857791225416 1
"139" "rodrigues_1902.jpg" 3 6 0.00453857791225416 0.5
"156" "rodrigues_822.jpg" 3 3 0.00453857791225416 1
"163" "almirante_1042.jpg" 3 7 0.00453857791225416 0.428571428571429
"169" "rodrigues_462.jpg" 3 3 0.00453857791225416 1
"193" "floriano_2202.jpg" 3 3 0.00453857791225416 1
"196" "floriano_962.jpg" 3 4 0.00453857791225416 0.75
"206" "floriano_5482.jpg" 3 3 0.00453857791225416 1
"215" "rodrigues_1262.jpg" 3 3 0.00453857791225416 1
"220" "rodrigues_1522.jpg" 3 4 0.00453857791225416 0.75
"221" "floriano_122.jpg" 3 3 0.00453857791225416 1
"5" "rodrigues_1642.jpg" 2 2 0.00302571860816944 1
"7" "almirante_342.jpg" 2 6 0.00302571860816944 0.333333333333333
"13" "rodrigues_1102.jpg" 2 2 0.00302571860816944 1
"16" "almirante_1062.jpg" 2 5 0.00302571860816944 0.4
"17" "floriano_1582.jpg" 2 4 0.00302571860816944 0.5
"19" "floriano_8422.jpg" 2 2 0.00302571860816944 1
"21" "floriano_2322.jpg" 2 2 0.00302571860816944 1
"26" "floriano_1722.jpg" 2 2 0.00302571860816944 1
"27" "almirante_2002.jpg" 2 2 0.00302571860816944 1
"51" "almirante_902.jpg" 2 8 0.00302571860816944 0.25
"55" "floriano_7662.jpg" 2 3 0.00302571860816944 0.666666666666667
"62" "rodrigues_542.jpg" 2 2 0.00302571860816944 1
"63" "floriano_7522.jpg" 2 3 0.00302571860816944 0.666666666666667
"81" "rodrigues_422.jpg" 2 3 0.00302571860816944 0.666666666666667
"82" "rodrigues_322.jpg" 2 2 0.00302571860816944 1
"83" "rodrigues_1762.jpg" 2 3 0.00302571860816944 0.666666666666667
"89" "floriano_482.jpg" 2 2 0.00302571860816944 1
"90" "floriano_8002.jpg" 2 3 0.00302571860816944 0.666666666666667
"91" "rodrigues_42.jpg" 2 2 0.00302571860816944 1
"95" "floriano_502.jpg" 2 2 0.00302571860816944 1
"102" "almirante_222.jpg" 2 3 0.00302571860816944 0.666666666666667
"117" "floriano_8202.jpg" 2 2 0.00302571860816944 1
"119" "rodrigues_922.jpg" 2 3 0.00302571860816944 0.666666666666667
"120" "almirante_2182.jpg" 2 5 0.00302571860816944 0.4
"130" "rodrigues_22.jpg" 2 3 0.00302571860816944 0.666666666666667
"133" "almirante_22.jpg" 2 5 0.00302571860816944 0.4
"135" "almirante_1802.jpg" 2 2 0.00302571860816944 1
