"V1" "V2" "V3" "V4" "V5"
"2" "almirante_442.jpg" 1 1 0.00151285930408472 1
"3" "rodrigues_1902.jpg" 1 1 0.00151285930408472 1
"7" "almirante_622.jpg" 3 3 0.00453857791225416 1
"8" "almirante_1722.jpg" 1 1 0.00151285930408472 1
"9" "rodrigues_582.jpg" 2 2 0.00302571860816944 1
"10" "almirante_1942.jpg" 4 4 0.00605143721633888 1
"11" "almirante_1762.jpg" 2 2 0.00302571860816944 1
"12" "rodrigues_122.jpg" 1 1 0.00151285930408472 1
"15" "almirante_1842.jpg" 1 1 0.00151285930408472 1
"18" "almirante_1502.jpg" 3 3 0.00453857791225416 1
"19" "rodrigues_282.jpg" 3 3 0.00453857791225416 1
"21" "almirante_1922.jpg" 2 2 0.00302571860816944 1
"22" "rodrigues_1862.jpg" 1 1 0.00151285930408472 1
"23" "rodrigues_382.jpg" 2 2 0.00302571860816944 1
"25" "rodrigues_402.jpg" 1 1 0.00151285930408472 1
"26" "almirante_902.jpg" 1 1 0.00151285930408472 1
"27" "rodrigues_1702.jpg" 3 3 0.00453857791225416 1
"28" "rodrigues_102.jpg" 1 1 0.00151285930408472 1
"13" "floriano_442.jpg" 3 4 0.00453857791225416 0.75
"14" "rodrigues_1082.jpg" 3 4 0.00453857791225416 0.75
"4" "rodrigues_622.jpg" 2 3 0.00302571860816944 0.666666666666667
"6" "floriano_8602.jpg" 2 3 0.00302571860816944 0.666666666666667
"20" "almirante_242.jpg" 2 3 0.00302571860816944 0.666666666666667
"29" "rodrigues_1742.jpg" 2 3 0.00302571860816944 0.666666666666667
"32" "almirante_1982.jpg" 2 3 0.00302571860816944 0.666666666666667
"5" "almirante_1282.jpg" 2 4 0.00302571860816944 0.5
"16" "almirante_1482.jpg" 1 2 0.00151285930408472 0.5
"1" "floriano_2922.jpg" 1 3 0.00151285930408472 0.333333333333333
"31" "rodrigues_182.jpg" 1 3 0.00151285930408472 0.333333333333333
"17" "floriano_7842.jpg" 1 4 0.00151285930408472 0.25
"24" "floriano_7122.jpg" 1 6 0.00151285930408472 0.166666666666667
"30" "rodrigues_1322.jpg" 1 10 0.00151285930408472 0.1
