"V1" "V2" "V3"
"104" 1 "floriano_3902.jpg" 0.555555555556
"235" 1 "floriano_4542.jpg" 0.833333333333
"399" 1 "floriano_6242.jpg" 0.833333333333
"59" 1 "floriano_7062.jpg" 1.11111111111
"65" 1 "floriano_8162.jpg" 1.21212121212
"67" 1 "almirante_482.jpg" 1.25
"210" 1 "floriano_6382.jpg" 1.33333333333
"401" 1 "floriano_4162.jpg" 1.42857142857
"9" 1 "floriano_6162.jpg" 1.66666666667
"23" 1 "floriano_3582.jpg" 1.66666666667
"28" 1 "floriano_202.jpg" 1.66666666667
"172" 1 "floriano_5322.jpg" 1.66666666667
"187" 1 "floriano_6702.jpg" 1.66666666667
"205" 1 "floriano_5762.jpg" 1.66666666667
"222" 1 "floriano_4942.jpg" 1.66666666667
"290" 1 "floriano_6402.jpg" 1.66666666667
"291" 1 "floriano_6742.jpg" 1.66666666667
"294" 1 "floriano_6902.jpg" 1.66666666667
"298" 1 "floriano_3722.jpg" 1.66666666667
"324" 1 "almirante_1582.jpg" 1.66666666667
"351" 1 "floriano_6562.jpg" 1.66666666667
"367" 1 "floriano_5742.jpg" 1.66666666667
"338" 1 "floriano_4362.jpg" 1.88888888889
"337" 1 "floriano_7162.jpg" 1.90476190476
"29" 1 "floriano_6102.jpg" 1.94444444444
"57" 1 "floriano_4182.jpg" 2
"277" 1 "floriano_4382.jpg" 2
"131" 1 "almirante_202.jpg" 2.22222222222
"146" 1 "floriano_6622.jpg" 2.22222222222
"180" 1 "floriano_5062.jpg" 2.22222222222
"194" 1 "floriano_6662.jpg" 2.22222222222
"242" 1 "almirante_1202.jpg" 2.22222222222
"250" 1 "almirante_762.jpg" 2.22222222222
"274" 1 "almirante_382.jpg" 2.22222222222
"315" 1 "floriano_5282.jpg" 2.22222222222
"368" 1 "almirante_182.jpg" 2.22222222222
"374" 1 "almirante_1662.jpg" 2.22222222222
"110" 1 "floriano_42.jpg" 2.25
"328" 1 "almirante_1822.jpg" 2.37037037037
"68" 1 "floriano_5242.jpg" 2.38095238095
"149" 1 "floriano_4002.jpg" 2.38095238095
"258" 1 "floriano_362.jpg" 2.38095238095
"71" 1 "almirante_62.jpg" 2.5
"176" 1 "floriano_2722.jpg" 2.5
"191" 1 "almirante_702.jpg" 2.5
"239" 1 "almirante_522.jpg" 2.5
"256" 1 "almirante_982.jpg" 2.5
"327" 1 "floriano_4442.jpg" 2.5
"362" 1 "almirante_1242.jpg" 2.5
"379" 1 "floriano_4282.jpg" 2.5
"386" 1 "floriano_2102.jpg" 2.5
"51" 1 "rodrigues_1802.jpg" 2.59259259259
"197" 1 "almirante_1382.jpg" 2.59259259259
"138" 1 "almirante_682.jpg" 2.61111111111
"161" 1 "almirante_362.jpg" 2.63888888889
"22" 1 "almirante_402.jpg" 2.66666666667
"232" 1 "floriano_4642.jpg" 2.66666666667
"268" 1 "floriano_4322.jpg" 2.66666666667
"305" 1 "floriano_3882.jpg" 2.66666666667
"325" 1 "almirante_1522.jpg" 2.66666666667
"355" 1 "almirante_722.jpg" 2.66666666667
"359" 1 "floriano_6182.jpg" 2.66666666667
"34" 1 "floriano_8582.jpg" 2.77777777778
"36" 1 "almirante_882.jpg" 2.77777777778
"72" 1 "almirante_2082.jpg" 2.77777777778
"78" 1 "almirante_1422.jpg" 2.77777777778
"92" 1 "almirante_1702.jpg" 2.77777777778
"93" 1 "floriano_6882.jpg" 2.77777777778
"254" 1 "floriano_4042.jpg" 2.77777777778
"269" 1 "floriano_4222.jpg" 2.77777777778
"280" 1 "almirante_502.jpg" 2.77777777778
"297" 1 "almirante_662.jpg" 2.77777777778
"390" 1 "floriano_3862.jpg" 2.77777777778
"94" 1 "almirante_2102.jpg" 2.79365079365
"371" 1 "floriano_3922.jpg" 2.79365079365
"129" 1 "almirante_562.jpg" 2.85714285714
"195" 1 "almirante_1322.jpg" 2.85714285714
"240" 1 "almirante_2202.jpg" 2.85714285714
"363" 1 "floriano_2882.jpg" 2.85714285714
"69" 1 "floriano_5902.jpg" 2.91666666667
"74" 1 "floriano_4242.jpg" 2.91666666667
"231" 1 "almirante_142.jpg" 2.91666666667
"225" 1 "floriano_7662.jpg" 2.93650793651
"389" 1 "rodrigues_1922.jpg" 2.95238095238
"25" 1 "almirante_1622.jpg" 2.96296296296
"63" 1 "almirante_162.jpg" 3
"99" 1 "almirante_1542.jpg" 3.05555555556
"182" 1 "almirante_2.jpg" 3.09523809524
"206" 1 "almirante_82.jpg" 3.11111111111
"272" 1 "almirante_942.jpg" 3.11111111111
"209" 1 "floriano_8602.jpg" 3.1746031746
"4" 1 "floriano_3482.jpg" 3.33333333333
"7" 1 "almirante_602.jpg" 3.33333333333
"12" 1 "almirante_802.jpg" 3.33333333333
"19" 1 "floriano_5362.jpg" 3.33333333333
"21" 1 "floriano_5842.jpg" 3.33333333333
"24" 1 "floriano_1702.jpg" 3.33333333333
"32" 1 "floriano_6442.jpg" 3.33333333333
"33" 1 "floriano_5962.jpg" 3.33333333333
"35" 1 "floriano_8922.jpg" 3.33333333333
"43" 1 "floriano_4502.jpg" 3.33333333333
"46" 1 "almirante_322.jpg" 3.33333333333
"50" 1 "almirante_1222.jpg" 3.33333333333
"56" 1 "floriano_3762.jpg" 3.33333333333
"73" 1 "almirante_122.jpg" 3.33333333333
"75" 1 "almirante_2142.jpg" 3.33333333333
"81" 1 "floriano_4062.jpg" 3.33333333333
"82" 1 "floriano_5122.jpg" 3.33333333333
"97" 1 "floriano_1522.jpg" 3.33333333333
"98" 1 "almirante_642.jpg" 3.33333333333
"101" 1 "almirante_2062.jpg" 3.33333333333
"102" 1 "almirante_2042.jpg" 3.33333333333
"105" 1 "floriano_4462.jpg" 3.33333333333
"106" 1 "floriano_5882.jpg" 3.33333333333
"114" 1 "floriano_1442.jpg" 3.33333333333
"118" 1 "almirante_102.jpg" 3.33333333333
"120" 1 "floriano_4922.jpg" 3.33333333333
"121" 1 "floriano_1842.jpg" 3.33333333333
"122" 1 "floriano_8182.jpg" 3.33333333333
"139" 1 "almirante_1602.jpg" 3.33333333333
"140" 1 "almirante_1142.jpg" 3.33333333333
"145" 1 "almirante_542.jpg" 3.33333333333
"151" 1 "rodrigues_1502.jpg" 3.33333333333
"164" 1 "floriano_5722.jpg" 3.33333333333
"167" 1 "floriano_4342.jpg" 3.33333333333
"178" 1 "floriano_5802.jpg" 3.33333333333
"186" 1 "floriano_3982.jpg" 3.33333333333
"188" 1 "floriano_7902.jpg" 3.33333333333
"198" 1 "almirante_2222.jpg" 3.33333333333
"199" 1 "floriano_6122.jpg" 3.33333333333
"200" 1 "rodrigues_1682.jpg" 3.33333333333
"202" 1 "floriano_6342.jpg" 3.33333333333
