centro/Rua_Manoel_P._de_Araujo__370_180.jpg 25 0 3 2 1.45149253731343 0.666666666666667 0 16.1904761904762 8 5 No centro
liberdade/Rua_Sergipe__1337_90.jpg 26 0.0461538461538462 3.32307692307692 0 1.35217391304348 0 0 10 3.83333333333333 0.0476190476190476 No liberdade
centro/Rua_Manoel_P._de_Araujo__370_0.jpg 26.6666666666667 0.145454545454545 2.87272727272727 0.745454545454545 1.64112903225806 1 0.0588235294117647 13 6.5 10.8181818181818 No centro
centro/Rua_Capitao_Joao_de_Sa__45__0.jpg 33.5 0.354838709677419 10.6774193548387 0.0967741935483871 2.8503937007874 0 0 37.7 5.5 0.4 No centro
centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg 18 0.3 4.7 0 3 0 0 22.5 3 0 Yes centro
liberdade/Rua_Edesio_Silva__602__180.jpg 36 0.0212765957446809 0.829787234042553 0 2.08467741935484 1.66666666666667 5.6 10.7631578947368 5.30434782608696 0.863636363636364 No liberdade
centro/Avenida_Dom_Pedro_II__119_90.jpg 36 5.46153846153846 0.0769230769230769 0 2.85714285714286 2 4 75.6 5 0 No centro
centro/Rua_Capitao_Joao_de_Sa__45__180.jpg 34.5 0.847826086956522 2.47826086956522 0 3 1 0 25 4 0 No centro
liberdade/Rua_Riachuelo__455__0.jpg 26.6666666666667 0 0 0 3 0 2.5 8.33333333333333 5.6 0 No liberdade
catole/Rua_Doutor_Antonio_Telha__68__270.jpg 30 0 2 0 1 1 1 15 2 0 No catole
liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg 43.1470588235294 5 2 2 4 0 2 10 5 2.5 No liberdade
centro/Rua_Manoel_P._de_Araujo__150_270.jpg 39.3333333333333 2 14 0 2.43577981651376 2 0 22.25 8.2 3.25 No centro
centro/Rua_Manoel_P._de_Araujo__150_90.jpg 37.5 5 7 0 2.5 3.75 0 22 10.5 8.66666666666667 No centro
catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg 19.2 0 0 0 2.33333333333333 0 4 10 3.35714285714286 0 No catole
liberdade/Rua_Santa_Catarina__1231__0.jpg 29.3809523809524 0 1 0 2.5 0 4 8.66666666666667 3.5 0 No liberdade
centro/Rua_Pedro_Alvares_Cabral__129_180.jpg 32.8 1.16666666666667 5.33333333333333 1.66666666666667 2.06422018348624 2 0 18 11 5.4 No centro
centro/Rua_Felix_Araujo__132__90.jpg 27.3571428571429 0.5 9 0 2.57142857142857 3.05263157894737 0 12 7 3.33333333333333 Yes centro
centro/Rua_Felix_Araujo__48__270.jpg 27.6 0.771428571428571 6.51428571428571 0.914285714285714 3 3.45 0 16.6666666666667 3 3 No centro
centro/Rua_Felix_Araujo__132__270.jpg 35.5 1.33333333333333 15 0 3 3 1 20 6.66666666666667 3.25 Yes centro
liberdade/Rua_Riachuelo__930__180.jpg 30.5 0 0 0 3 0 0 10 4 1.66666666666667 No liberdade
centro/Rua_Augusto_Severo__71_0.jpg 22 0 1 0 3 2 0 14 3.75 1 Yes centro
centro/Rua_Felix_Araujo__48__90.jpg 33.6666666666667 2.38297872340426 10.6808510638298 1.23404255319149 4 6.33333333333333 0 32.5 8 4 No centro
catole/Rua_Inacio_Marques_da_Silva__434_90.jpg 33.5 0 0 0 2 0 0.333333333333333 56.25 5 1.33333333333333 No catole
centro/Rua_Augusto_Severo__71_90.jpg 26.6666666666667 1 10 0 2 2 1 17.5 7 4.22222222222222 Yes centro
liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg 31.5263157894737 0 0.0909090909090909 0.272727272727273 3 1.04761904761905 3 17.5 3 4.66666666666667 No liberdade
liberdade/Rua_Santa_Catarina__1231__180.jpg 27 0 0 0 3.5 0 5 10 4.64285714285714 0.5 No liberdade
centro/Rua_Elias_Aforas__202_180.jpg 32.6666666666667 0 1 0 2.625 0 3 15 5 1.83333333333333 Yes centro
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg 39 1.24390243902439 4.53658536585366 2.39024390243902 2.45 0 4 10 3.5 2 No liberdade
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg 32 0 0.428571428571429 0 2 1 1.11764705882353 14 5 8 No liberdade
centro/Rua_Joao_da_Mata__490_270.jpg 34.5 0 4 0 4 5 5 13.5 6.33333333333333 5.66666666666667 No centro
centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg 36 2 15 1 3.5 2 2 15 6 2.28571428571429 No centro
catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg 32 1 0.4 0 3 0 6.82352941176471 15 3.66666666666667 0 No catole
centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg 34 2 7 1 3 1 2 12.5 5 0 No centro
centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg 28 1 4 0 3 0 0 10.5 2.75 0.166666666666667 Yes centro
centro/Avenida_Dom_Pedro_II__500_270.jpg 30 2 5 0 3.66666666666667 0 2 35 6 0 No centro
centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg 38.4 1.9 5.9 0 4 4 1 10 4.5 1.75 No centro
centro/Rua_Elias_Aforas__202_0.jpg 28 0 0 0 3 0 2 10 4 0 Yes centro
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg 29.3333333333333 0 0 0 3.5 0.944444444444444 3 15 4 1 No catole
centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg 15.6 3 5 1 3.2 1 0 20 3 2.6 No centro
liberdade/Rua_Odon_Bezerra__306_270.jpg 36 4 1 0 3.875 1.33333333333333 1 16.75 6 1 No liberdade
centro/Rua_Joao_da_Mata__490_90.jpg 44 4 6 0 4 0 3 16.2391304347826 5 8 No centro
liberdade/Rua_Severino_Pimentel__321__0.jpg 37.5 0.0625 2.04166666666667 1.08333333333333 3.875 0 1 20 4.33333333333333 2 No liberdade
centro/Avenida_Dom_Pedro_II__119_270.jpg 38 9 3.94444444444444 0 3.66666666666667 3 4 30 4 2.6 No centro
centro/Rua_Pedro_Alvares_Cabral__129_90.jpg 29.2 0.487179487179487 0.641025641025641 0.256410256410256 2 2 0 18.5 6 12 No centro
liberdade/Rua_Odon_Bezerra__147_90.jpg 38.1111111111111 2 1 2 3 3 1.5 15.5 9 3 No liberdade
liberdade/Rua_Sergipe__1337_0.jpg 34.5 0 2 0 2.5 0.523809523809524 3 12 3 0 No liberdade
liberdade/Rua_Severino_Pimentel__511_270.jpg 34.6666666666667 0 1 0 4 0.333333333333333 5 10 3.25 0 No liberdade
catole/Rua_Deputado_Ascendino_Moura__101__90.jpg 33.3333333333333 0 1 0 2 0 2 12 6 0 No catole
catole/Rua_Doutor_Antonio_Telha__68__90.jpg 32.6666666666667 1 1 0 3 0 3 10 4 0 No catole
liberdade/Rua_Odon_Bezerra__147_270.jpg 33.3333333333333 5 3 0 4.125 2 3 15 4.66666666666667 2 No liberdade
liberdade/Rua_Odon_Bezerra__388__90.jpg 40 5 2 2 3 2.33333333333333 0 15.5 9 2.76666666666667 No liberdade
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg 26 0 0 0.5 3 0 0 10 2.25 1 No catole
catole/Rua_Aluisio_Cunha_Linha__50__90.jpg 26.8 0.04 0.06 0.1 3.5 0.2 2 9.90909090909091 3 0 No catole
liberdade/Rua_Severino_Pimentel__439__180.jpg 37.5 0 1 0 3.83333333333333 0 4 10 3 0 No liberdade
catole/Rua_Doutor_Antonio_Telha__235_0.jpg 45.3333333333333 3 7.3 0 3.5 23 2.94117647058824 10 7 0 No catole
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg 30.4 0 2 0 3.375 0 0 20 6.5 6 No liberdade
catole/Rua_Vigario_Calixto__1201_180.jpg 48 2 4 0 5 3 1.2 10.5 5 0 No catole
liberdade/Rua_Odon_Bezerra__388__270.jpg 40 3 2 0 2.5 1 0.4 10 8 1.22222222222222 No liberdade
catole/Rua_Vigario_Calixto__1201_0.jpg 45 0.333333333333333 1 3 3.1 1 0.6 9.5 4 2.75 No catole
liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg 32 0 0.363636363636364 0 2.91525423728814 0 0 10 8 11 No liberdade
centro/Rua_Quebra_Quilos__399__90.jpg 43.25 1 12 2.2 3.36885245901639 2.33333333333333 3 17.5 5 3.33333333333333 No centro
liberdade/Rua_Acre__635_270.jpg 36 0 3 0 3.5 1 1.5 14 3.75 0.142857142857143 No liberdade
catole/Rua_Olegario_Mariano__139_0.jpg 34 1 0.333333333333333 0 4.2 0 3 10 4 0.409090909090909 No catole
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 30.6666666666667 2 1 0 3.44347826086957 0 5 122.5 4 0.666666666666667 No centro
liberdade/Rua_Espirito_Santo__1288__180.jpg 28 0 0 0 2.66666666666667 0 0 10.8333333333333 4.5 0 No liberdade
liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg 25.3333333333333 0 2 0 2.5 0.333333333333333 7 10 5 0 No liberdade
liberdade/Rua_Severino_Pimentel__511_90.jpg 25.3333333333333 0 0 0 3.68248175182482 1 3 11.8333333333333 4 0 Yes liberdade
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg 38 0 1.16666666666667 0 4 0 2.8 10 2.33333333333333 0 No catole
centro/Rua_Doutor_Severino_Cruz__411__270.jpg 40 3 4 0 3.83333333333333 5 6 62.25 7 3.875 No centro
