agrad%C3%A1vel?	centro/Rua_Doutor_Severino_Cruz__411__90.jpg	7.97405814777	7.961483133887715  7.968555799458403  7.976678158222414  7.978047182274337  7.978271284786057  7.976070017575309  7.975932649001211  7.974930890948455  7.9732206788826145  7.971858869516243  7.97543748156531  7.9763288537940715  7.976356851641112  7.975394700958307  7.9739047628571935  7.973211556246997  7.974481895781772  7.973301917017514  7.972854486151825  7.973578320639291  7.973318512847551  7.973021897222074  7.972626945193063  7.97293078562248  7.972613968564317  7.971857980895969  7.971211527689759  7.972136119979831  7.972234802055926  7.972636956808662  7.972587538952076  7.97292329552603  7.9736751475072305  7.974252866251199  7.974381888301737  7.974644607688088  7.974341406155139  7.9737447076922585  7.974204300254057  7.973976277325683  7.973931672300919  7.974306681985244  7.97462710071052  7.97409830566885  7.9741748515505275  7.974679449365189  7.9749991505018505  7.9738492771978775  7.974374772935011  7.9742102076349015  7.973719203984683  7.9734321222189966  7.972914604655547  7.973013008734764  7.9728538166450615  7.973520856000338  7.973316375002501  7.973905282580929  7.973508299027585  7.973314548149297  7.973639275740524  7.973597897448383  7.973829560353587  7.973953434702516  7.9740024570707835  7.974003321526282  7.973922842950643  7.973868770745793  7.97425465290348  7.97415596714037  7.974107103530272  7.974049670286876  7.974400780324603  7.9748123096242525  7.975010550814423  7.974994234868844  7.974990979451097  7.974722132572828  7.975206762515323  7.974774075917312  7.974721259981909  7.975198655889126  7.975323421724423  7.975180137753383  7.975376336037816  7.975316918046057  7.975400849140426  7.975255664524438  7.975271465184663  7.975015859646692  7.9751005620257  7.975112757296252  7.9750371199463945  7.974729525352693  7.975009872905907  7.974701011825184  7.974432583574078  7.974400539377102  7.974456094473587  7.974506751341123
agrad%C3%A1vel?	catole/Rua_Inacio_Marques_da_Silva__434_270.jpg	6.54499590951	6.5920245945726945  6.527774243178355  6.517910770094163  6.516603827013084  6.521354093950905  6.545185188325391  6.5332780115804425  6.533390751213957  6.543049656441782  6.540058573627782  6.541822759792584  6.5495574809720845  6.557663499527341  6.559045055476354  6.562766845298202  6.568220427573524  6.566808781288999  6.5734017567998535  6.574224170995748  6.570630056956291  6.557718397246527  6.552091758529415  6.549673783064017  6.5473952977196355  6.543794480709101  6.543510425565257  6.542381153561737  6.542755391901983  6.540236153312409  6.543583618164849  6.540290443907914  6.5418089906216  6.541137894316401  6.54250124749576  6.543248703860056  6.545212484714722  6.547064624053319  6.547747375897537  6.544361632634383  6.546456106522279  6.546545947119265  6.548601315201316  6.548704415286068  6.5492025638660865  6.548502955840705  6.547821282333966  6.5457587622792035  6.545329780402227  6.546417771986529  6.547354167486089  6.547002878818153  6.544308199979869  6.545050995086028  6.545131566863519  6.546261210545049  6.547124301968153  6.547061897964761  6.546087872901193  6.546478819771983  6.546435398001509  6.545202107928984  6.545382917524275  6.545293913568419  6.544112981686737  6.545915092954816  6.546198338272932  6.547403956606035  6.546517050342351  6.547180393043758  6.5468470232302085  6.545392697073602  6.543918904314418  6.54316361340313  6.544150933371883  6.542941170394245  6.543077800258742  6.5450902212034565  6.544093651016892  6.543612697413116  6.541708262091083  6.541710011001347  6.541331444420455  6.5398823874642815  6.540433682644972  6.5396318198404115  6.53960553151901  6.539480341221469  6.538437284442299  6.538043795120398  6.538408432155922  6.538592152457498  6.537854669991452  6.537440854543608  6.538458273697336  6.538782383548933  6.536891448309973  6.537367856789897  6.535883960949756  6.5361380411614896  6.535090242331675
agrad%C3%A1vel?	catole/Rua_Honorio_de_Melo__240__90.jpg	6.51959911763	6.2085000320534744  6.392350163942792  6.547106076795282  6.434080932255419  6.428508997133666  6.473027218559002  6.480832428157332  6.489471840241067  6.486166224060334  6.5178634997411145  6.520008574744559  6.52420391446991  6.525625878389123  6.525441634890622  6.529281364655845  6.535932014533712  6.530939368715289  6.5388251728086155  6.54379615182317  6.539868429694743  6.53419302331938  6.529464730722609  6.522213682223152  6.524440148620178  6.520270749877249  6.519562667280247  6.521616529834186  6.51362710994977  6.509859429087563  6.514301240421245  6.513396718433974  6.517369746503533  6.511364922422596  6.518332105402666  6.521618393138395  6.521800673926563  6.523908466464781  6.518394439643579  6.516706900623029  6.518345027823837  6.519663646925301  6.5198262723423195  6.521330930011842  6.5239824059313465  6.526393089327619  6.521739383046113  6.524661822980203  6.520818808705252  6.51996148796875  6.52394279935038  6.523061005258883  6.520406508623031  6.523780784294147  6.52740949642065  6.529778907470768  6.529981192259625  6.528061078935108  6.526853189680672  6.528490149721348  6.532625158474788  6.530385959737697  6.5271699083444465  6.5280250834878455  6.530206933283353  6.52860977900494  6.528692435734676  6.528741875775544  6.524945037813103  6.52299921689615  6.52332376709986  6.527010564266573  6.52837164126012  6.52943306892014  6.531268924581193  6.531431214981002  6.533617066273451  6.532608983755958  6.535380016153445  6.536182077445017  6.536500412224705  6.535211356623573  6.538124167672818  6.5366946940498645  6.5335433629309305  6.532387780720656  6.531791179567316  6.532327041588605  6.533213394759251  6.5338936742578015  6.537930082430658  6.53902507390398  6.537004355108328  6.535476788673308  6.536932349089578  6.535106489501699  6.536409451044145  6.5366121478019785  6.5367231092946705  6.535740297227967  6.535476258857113
agrad%C3%A1vel?	catole/Rua_Olegario_Mariano__139_270.jpg	6.38193204663	6.314747160978013  6.3250967265389635  6.390008160746199  6.425861753845336  6.4295217394617605  6.420094501404396  6.404099347927394  6.396375906592271  6.396754646995503  6.38767116582889  6.383250845638961  6.37411775292126  6.377396911616499  6.38593552660291  6.38203176150033  6.385921283047394  6.371527540225305  6.3711594119968264  6.366575109515405  6.370036028158163  6.365695926661328  6.3671441213057625  6.365432635366181  6.373654710448809  6.369248933645763  6.365383493962936  6.364455774103032  6.368536228345436  6.372484484810058  6.370190702719502  6.373642493429477  6.373136715739181  6.373425245109501  6.376850082120386  6.376751613595678  6.375799990791161  6.379554154795925  6.3798784343594  6.380820964926729  6.3850277274212175  6.389576786135861  6.388022060288497  6.390261610989784  6.394127434592871  6.394670264886722  6.393626596642198  6.394387918647583  6.394403554275325  6.393564364795043  6.394486112557922  6.395752096808725  6.395020375898054  6.391267929626632  6.390648659919581  6.390169931480848  6.389433566115143  6.387215548167832  6.388378046374303  6.38770066067992  6.387004129115228  6.383979672157895  6.384602700332262  6.383975016621068  6.385523607013427  6.38500971359679  6.386004609720031  6.385091476028093  6.38482203711203  6.382660618421203  6.38144742313492  6.382390414370358  6.382418319249168  6.382625943556746  6.380079319620875  6.381363941547832  6.380952517686568  6.3809530371901815  6.381292465118222  6.3809495926198325  6.380861504688893  6.37979894408505  6.379306390837872  6.380125917036903  6.38020832202302  6.378904829798303  6.380053489601528  6.382093831035495  6.380124943193909  6.379503926568654  6.38106281788947  6.381181012820796  6.381496757813723  6.379959550532524  6.379270013355643  6.380219991641069  6.3801878127818075  6.378834687777766  6.377769781980195  6.375257162577545  6.375825186355598
seguro?	centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg	6.29505982949	6.017644487124352  6.248291936678015  6.312232879193269  6.291476485610049  6.262607491369096  6.252869860728427  6.27620473428468  6.270507858538206  6.286046351509569  6.279375325397886  6.282345987156815  6.288158509165751  6.283694986658801  6.285250383151802  6.283573240885638  6.278172634239868  6.281471603615941  6.2807825198041  6.283278758103463  6.289396444364415  6.291662376850224  6.295868481369102  6.298716837173032  6.295523158651565  6.299648127297936  6.301078844760259  6.296307916471239  6.298226068379253  6.30551318433775  6.306774552812801  6.306844118743076  6.307203144072275  6.310138790226576  6.308068251577669  6.304703642332668  6.304462549778393  6.305095980023335  6.304877498239173  6.305856503910814  6.309162616357511  6.309938488509477  6.309453268483794  6.309665930240351  6.309669070468986  6.311012336466154  6.307525713338326  6.306789484071013  6.306163829272932  6.304768377481984  6.302012833901721  6.299143313757591  6.2971077703710465  6.296051753533174  6.296353881953588  6.296954459817496  6.296490522172289  6.295342529608014  6.296527510761483  6.2962191705409  6.294049439071291  6.295276296582066  6.296109387847917  6.299196422742692  6.300214384589609  6.3014941045189286  6.301706606584147  6.300969479047396  6.300433282412933  6.302145373197375  6.3015425736904485  6.301816398543528  6.301317111633741  6.301578747387706  6.300999982532366  6.301210485921018  6.30013885305213  6.300684461347978  6.299207867425895  6.297728322463848  6.297981752656685  6.298296176638506  6.299222458034434  6.3004331752694105  6.30128208207175  6.301799172554329  6.301542427006396  6.302297846317261  6.301713462124995  6.302729364011424  6.305806318989583  6.305573998047155  6.304161120087256  6.304655321513772  6.3044786420297445  6.30567978205041  6.306785657740798  6.307571879667878  6.3062444862760065  6.306033938009587  6.307568941696439
seguro?	centro/Rua_Doutor_Severino_Cruz__411__90.jpg	6.27240227992	6.632379927725656  6.452671206245829  6.353795379822803  6.299701337032019  6.271985908052606  6.247940209686558  6.239108959642329  6.251792431578964  6.250416600374042  6.25022876763828  6.257315986107929  6.264051288441235  6.260325436159904  6.271254012180405  6.27600524063852  6.277581618830418  6.284808288683432  6.281935324603861  6.292705355237612  6.2916757478116505  6.292516581700197  6.285664128735261  6.281821540816686  6.28068036770507  6.272424921873307  6.272221106422169  6.272727827321642  6.278507895702715  6.276452266289887  6.277527591973293  6.279645537733253  6.279818483443758  6.284584055813639  6.2828880929372355  6.2788136130379035  6.284238123145782  6.281985011111845  6.2769035733808085  6.27992934211875  6.275239962543461  6.272258202848479  6.273501998617547  6.269511343952054  6.268310059911326  6.267703275493682  6.265707560690417  6.262154818484666  6.263007613592116  6.263399840204276  6.266461525192462  6.269004561606412  6.269336966051238  6.268910434479433  6.266909414036195  6.266304839806973  6.266895861715056  6.265793868873795  6.267117857242474  6.266605670372338  6.26144602816367  6.261118455162728  6.259277915653288  6.258665130956051  6.2570721133527245  6.255790190436896  6.255298048170706  6.256234107755791  6.2561321046645535  6.257616168036559  6.255725461260484  6.253975889476069  6.255656120539261  6.2560952399167915  6.259079788776962  6.25806617943225  6.258251943292063  6.256853402610846  6.257526692509395  6.256845417283203  6.2563669650957285  6.256466565462896  6.257673390314815  6.257885048004682  6.258936734511844  6.258755144484533  6.25807668587806  6.258798683233139  6.257532137560448  6.258143048097209  6.259839508022117  6.258508087412848  6.257694674118736  6.256703421392783  6.257095050579975  6.25823434251762  6.2573100209262  6.257560362608584  6.256747325459632  6.256448045150635  6.257561590735231
seguro?	centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg	6.17206725952	6.055013591929872  6.1561403723153685  6.108190502511983  6.092203418028875  6.1836110618049345  6.190157896665718  6.20649614438895  6.201700512450651  6.199785599974551  6.208479233180623  6.199326721894154  6.193318016421711  6.193753501298025  6.191857598142498  6.197548902332785  6.2011709803205335  6.199576638310402  6.193747629549755  6.195402639948057  6.199335683433112  6.196510236178603  6.1962029666060205  6.191819660364492  6.190748893529542  6.194583848564365  6.197536562041255  6.200172250220535  6.195587770385464  6.197502913277222  6.193411572372506  6.195939559485835  6.191976319890919  6.192895219233171  6.1876719651824965  6.187651762979227  6.185228411707743  6.182191788837975  6.175691077568333  6.174142824669164  6.173550654922674  6.175711057783188  6.171889018384775  6.170235194952242  6.17040998245268  6.169395819485924  6.1713488737361635  6.173987441603849  6.176011193906874  6.174400451960724  6.172193892698385  6.169272470196756  6.1654292089735625  6.164767902895435  6.164772229210105  6.1635235800522175  6.164868951593801  6.162866809624668  6.160973892010577  6.159902486836994  6.15943521002002  6.159042478431193  6.158998664143626  6.157003229010247  6.155738481659563  6.154094558932131  6.154228235750964  6.155487913853243  6.157916808711639  6.1599024624654515  6.159051370741509  6.159046768691666  6.159853431970963  6.160538181808989  6.161804429497008  6.162168662372253  6.1634378119705815  6.163922706029947  6.162086096735917  6.1619414724507084  6.161354305370043  6.161958020080318  6.161922298839375  6.164035449815199  6.165703273737859  6.166883621192311  6.165592321738253  6.165613268033531  6.163877984303236  6.166486195855378  6.1671360763644785  6.166416419449206  6.165368962155304  6.16403391583447  6.163311649691087  6.162346860469841  6.16422968838092  6.16456684566408  6.164553305063555  6.163191958481559  6.162651194913277
agrad%C3%A1vel?	centro/Rua_Quebra_Quilos__399__270.jpg	6.15239890326	6.269619118554664  6.122994114484863  6.145416723036186  6.191817499437211  6.136860523652338  6.13547886961077  6.1398993299210405  6.125346081622866  6.122254574651263  6.130104497859638  6.136022085024674  6.141554659521291  6.162240891670301  6.153290990071797  6.1653952327893355  6.157576735019177  6.160525878264241  6.17015808770605  6.172916623399058  6.167597709569319  6.164583638169572  6.164232563664067  6.161558285418224  6.16485522497041  6.166393556216601  6.162658045655764  6.157183113004871  6.159640337052853  6.1641610941388105  6.158016258094922  6.164394093947051  6.165015411773463  6.165392511603105  6.159985187431776  6.159956907765604  6.160004030113135  6.153890335268231  6.147676043265699  6.149770631213745  6.1457979194292  6.144737822929871  6.1410394390467085  6.140210553954332  6.142368463361909  6.1431942761610125  6.1493747073222025  6.14759005975983  6.149016809405234  6.147293532095607  6.149919810602055  6.151348097654325  6.148859639151211  6.149567949848017  6.149541841908395  6.147143126977607  6.148700634556383  6.151357619401775  6.148422456156875  6.146714728802329  6.143209491801066  6.143212667492648  6.143575626306618  6.144976887354428  6.145608031776959  6.145145498065576  6.14476186148634  6.1464551276664405  6.147600350444232  6.146410968565653  6.146073663342583  6.146374865418064  6.1447528634769695  6.1466495719743985  6.144872015851711  6.145683763981852  6.148448704578385  6.148161097427374  6.147994307428729  6.151639086920814  6.15076326937674  6.150911242965305  6.1504100339787495  6.149513469286835  6.148460379620451  6.149236662071984  6.149842564250616  6.149135511525396  6.151488969507816  6.150889703256563  6.151587949192905  6.155534942984642  6.155089102188139  6.154669182563127  6.156899832988039  6.157475219207961  6.1575636578348885  6.156508869352733  6.157305651618098  6.1574791813689025  6.1588814964448915
agrad%C3%A1vel?	catole/Rua_Honorio_de_Melo__240__270.jpg	6.11081738338	5.862129516038893  5.914458026957931  6.061498034790067  6.168424098559547  6.201039176841193  6.108772712313494  6.127131922385951  6.136241996501103  6.122485651856383  6.115944529761497  6.107338785746299  6.102307837206876  6.10738275393724  6.097902355348953  6.085782840417078  6.1001270808466685  6.110703113993012  6.112361550581638  6.112464254376746  6.118444252919869  6.126947443807603  6.1248836097130175  6.122498146935217  6.115916743793104  6.119044877495705  6.118423670539741  6.112920802444203  6.111341477100622  6.11389267731083  6.117370020116597  6.112897738546755  6.111263809542707  6.110473641414455  6.106338469025191  6.1040233111758075  6.102584218996191  6.1009925101539535  6.104031340123465  6.110503977344087  6.107997996568929  6.110873150122373  6.111206594368547  6.111256477978229  6.111954626422789  6.116973416648547  6.115733100271328  6.113141319194883  6.1170773531987095  6.118222243632203  6.117660109919844  6.111785062389712  6.11058387345881  6.112394619557986  6.117127464388599  6.1169590798737685  6.119522665253618  6.119069725416723  6.120857792782628  6.118577473447461  6.1190060781662705  6.116520054551177  6.11760791694934  6.115293397408387  6.112769082195287  6.113478934992056  6.113641189754814  6.111552566269613  6.114652184575228  6.114651288748709  6.115817594410131  6.1175894086335845  6.117573781946162  6.117147002546125  6.114170949576977  6.114435703646565  6.113453257221531  6.11583994982193  6.116293480301146  6.116258729979483  6.116259163149648  6.114616064706114  6.113634388928244  6.114447926276453  6.116545149797156  6.116011998175642  6.1159877522380075  6.117755156627799  6.118359501493904  6.118530959871187  6.119782469298775  6.119678393200889  6.120121956776896  6.119951739297666  6.1187909989675004  6.118034331147219  6.116596905644198  6.1167435365691425  6.115194134972351  6.11421189670904  6.11446824100108
seguro?	centro/Rua_Doutor_Severino_Cruz__411__270.jpg	6.05305144347	5.837982014004789  5.843445041206956  5.986306418517454  5.988825884778423  6.044027207703186  6.045111346217302  6.038089381661872  6.022007321145878  6.02657918591453  6.046100963654896  6.057855222451815  6.06345231745883  6.088400880649944  6.100453100321761  6.094360545744621  6.092678687459247  6.0868833986935655  6.097148714134921  6.088425581476845  6.0786413268733925  6.0724490108946805  6.066409358501374  6.06020866792745  6.0615017071241875  6.059698707456464  6.060241307207445  6.059855299170275  6.0647622661595975  6.068743924953107  6.07125634437866  6.065744591227493  6.065400556463433  6.069049537232031  6.070371036477206  6.066237908934948  6.064870347257133  6.065750732318673  6.064097506386643  6.066569339823111  6.068367378073186  6.066526342770462  6.067955149131933  6.064556458471252  6.062470364033791  6.065748917128619  6.067627533883076  6.067486877764756  6.063351373120995  6.0628963056667065  6.058824015664438  6.057098275495129  6.059160909478451  6.0600857177424485  6.0591168058770775  6.055865737477296  6.059113920575897  6.06291672010978  6.058511183188324  6.05454267752604  6.05557621364068  6.0544934691592935  6.054301115072839  6.054325400522968  6.055374949821884  6.054643761052223  6.056966675599175  6.059642567409162  6.057750575546063  6.05618479810452  6.054023161284098  6.050428980087865  6.0512192054394776  6.052281024158411  6.051559058998465  6.047967833701402  6.04946973369605  6.049827898545655  6.051757171017052  6.053468189428774  6.050372403590921  6.049475932895196  6.049872911874304  6.048002098100435  6.04913333972288  6.048180585419125  6.046607743378395  6.047395596670314  6.046457151950539  6.045948381727943  6.045978431545129  6.045986778677727  6.046882454489084  6.048250062948556  6.050144985667716  6.0504098817651455  6.052440905747781  6.0499926387470495  6.050511207633096  6.049781785735528  6.0498419328494695
