3532801,114759,NOVA ALIANÇA,TIRIRICA,-0.0080456578889
3536901,114759,PEDRANÓPOLIS,TIRIRICA,-0.0127083413902
3541000,114759,PRAIA GRANDE,TIRIRICA,0.0138919830341
3545100,114759,SALMOURÃO,TIRIRICA,-0.000139500818015
3549201,114759,SÃO JOÃO DAS DUAS PONTES,TIRIRICA,-0.0097106627472
3502101,114759,ANDRADINA,TIRIRICA,-0.00175921635883
3553302,114759,TAMBAÚ,TIRIRICA,-0.0145703875189
3506201,114759,BENTO DE ABREU,TIRIRICA,-0.0289168835348
3532827,114759,NOVA CAMPINA,TIRIRICA,-0.0154206279061
3555356,114759,UBARANA,TIRIRICA,-0.00718506830773
3510302,114759,CAPELA DO ALTO,TIRIRICA,-0.0118798048988
3514403,114759,DRACENA,TIRIRICA,-0.00324288088971
3518503,114759,GUAREÍ,TIRIRICA,-0.0155432470438
3532843,114759,NOVA CANAÃ PAULISTA,TIRIRICA,-0.0147971908091
3522604,114759,ITAPIRA,TIRIRICA,-0.00873347041996
3526704,114759,LEME,TIRIRICA,0.0251806018961
3530805,114759,MOGI MIRIM,TIRIRICA,0.00141104215994
3534906,114759,PACAEMBU,TIRIRICA,-0.0204539637424
3539004,114759,PIRANGI,TIRIRICA,-0.0124831772401
3543105,114759,RIBEIRÃO CORRENTE,TIRIRICA,-0.00644207976546
3549250,114759,SÃO JOÃO DE IRACEMA,TIRIRICA,-0.0208844529007
3541059,114759,PRATÂNIA,TIRIRICA,-0.0170167233294
3532868,114759,NOVA CASTILHO,TIRIRICA,-0.0113481884332
3547205,114759,SANTANA DA PONTE PENSA,TIRIRICA,-0.0110333028249
3545159,114759,SALTINHO,TIRIRICA,-0.00936228665152
3500105,114759,ADAMANTINA,TIRIRICA,-0.0184415172649
3551306,114759,SEBASTIANÓPOLIS DO SUL,TIRIRICA,-0.010523273255
3504206,114759,AURIFLAMA,TIRIRICA,-0.0011517005705
3508306,114759,CABRÁLIA PAULISTA,TIRIRICA,-0.0226844742534
3512407,114759,CORDEIRÓPOLIS,TIRIRICA,-0.0146999806187
3516507,114759,GABRIEL MONTEIRO,TIRIRICA,-0.0107188162418
3522653,114759,ITAPIRAPUÃ PAULISTA,TIRIRICA,-0.0273233174652
3520608,114759,INDIANA,TIRIRICA,-0.0070345356905
3532900,114759,NOVA EUROPA,TIRIRICA,-0.0065970816353
3524709,114759,JAGUARIÚNA,TIRIRICA,-0.00141912383419
3528809,114759,MARACAÍ,TIRIRICA,-0.00713226672821
3537008,114759,PEDREGULHO,TIRIRICA,-0.0125783776697
3549300,114759,SÃO JOÃO DO PAU D'ALHO,TIRIRICA,-0.0159370369218
3541109,114759,PRESIDENTE ALVES,TIRIRICA,-0.015743304175
3502200,114759,ANGATUBA,TIRIRICA,-0.0195416012109
3545209,114759,SALTO,TIRIRICA,-0.00861386224243
3506300,114759,BERNARDINO DE CAMPOS,TIRIRICA,-0.0068181648845
3510401,114759,CAPIVARI,TIRIRICA,-0.0166193996722
3514502,114759,DUARTINA,TIRIRICA,-0.0169044720575
3518602,114759,GUARIBA,TIRIRICA,0.0142156071182
3522703,114759,ITÁPOLIS,TIRIRICA,0.042941951704
3526803,114759,LENÇÓIS PAULISTA,TIRIRICA,-0.00298855103223
3530904,114759,MOMBUCA,TIRIRICA,-0.00764510338697
3528858,114759,MARAPOAMA,TIRIRICA,-0.0254269740765
3521903,114759,ITAJOBI,TIRIRICA,-0.0149322166545
3539103,114759,PIRAPORA DO BOM JESUS,TIRIRICA,-0.00155141851225
3543204,114759,RIBEIRÃO DO SUL,TIRIRICA,-0.0217379461171
3547304,114759,SANTANA DE PARNAÍBA,TIRIRICA,0.00373999307508
3500204,114759,ADOLFO,TIRIRICA,-0.0105044481462
3551405,114759,SERRA AZUL,TIRIRICA,-0.0181211752885
3504305,114759,AVAÍ,TIRIRICA,-0.0184941370316
3508405,114759,CABREÚVA,TIRIRICA,-0.0084236429986
3506359,114759,BERTIOGA,TIRIRICA,-0.00500221919252
3516309,114759,FRANCISCO MORATO,TIRIRICA,0.0197413975011
3512506,114759,COROADOS,TIRIRICA,-0.0217638687119
3516606,114759,GÁLIA,TIRIRICA,-0.0144633164005
3520707,114759,INDIAPORÃ,TIRIRICA,-0.0198334387527
3543238,114759,RIBEIRÃO DOS ÍNDIOS,TIRIRICA,-0.0192072755252
3524808,114759,JALES,TIRIRICA,-0.01482266282
3555703,114759,UNIÃO PAULISTA,TIRIRICA,-0.013675929331
3528908,114759,MARIÁPOLIS,TIRIRICA,-0.0150161134235
3533007,114759,NOVA GRANADA,TIRIRICA,-0.0120992366166
3537107,114759,PEDREIRA,TIRIRICA,-0.00934941486422
3543253,114759,RIBEIRÃO GRANDE,TIRIRICA,-0.0196917932802
3541208,114759,PRESIDENTE BERNARDES,TIRIRICA,-0.00860001762015
3545308,114759,SALTO DE PIRAPORA,TIRIRICA,-0.0136321827041
3549409,114759,SÃO JOAQUIM DA BARRA,TIRIRICA,0.0152907931068
3510500,114759,CARAGUATATUBA,TIRIRICA,0.0265569923203
3502309,114759,ANHEMBI,TIRIRICA,-0.0168364108875
3506409,114759,BILAC,TIRIRICA,-0.0163824331215
3518701,114759,GUARUJÁ,TIRIRICA,0.0177498230856
3522802,114759,ITAPORANGA,TIRIRICA,-0.012004463708
3526902,114759,LIMEIRA,TIRIRICA,0.00762472864095
3531001,114759,MONÇÕES,TIRIRICA,-0.0130431384785
3535101,114759,PALMARES PAULISTA,TIRIRICA,-0.017356161332
