comparison_id,date,ip_address,voter_latitude,voter_longitude,study,question,chosen_id,chosen_latitude,chosen_longitude,chosen_pitch,chosen_heading,chosen_region_name,chosen_image_url,rejected_id,rejected_latitude,rejected_longitude,rejected_pitch,rejected_heading,rejected_region_name,rejected_image_url
36184,2013-05-16 17:21:27 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15329,33.926393,-117.32741,0,149,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.926393%2C-117.32741&heading=149&pitch=0&sensor=false,15291,33.85825,-117.325085,-6,274,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.85825%2C-117.325085&heading=274&pitch=-6&sensor=false
36187,2013-05-16 17:21:33 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15344,34.022962,-118.493639,4,288,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.022962%2C-118.493639&heading=288&pitch=4&sensor=false,15339,34.704214,-118.108907,-4,69,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.704214%2C-118.108907&heading=69&pitch=-4&sensor=false
36191,2013-05-16 17:21:37 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15235,34.432794,-119.809875,5,91,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.432794%2C-119.809875&heading=91&pitch=5&sensor=false,15351,34.129183,-116.39433,-3,188,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.129183%2C-116.39433&heading=188&pitch=-3&sensor=false
36194,2013-05-16 17:21:42 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15293,32.757813,-116.960149,3,284,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=32.757813%2C-116.960149&heading=284&pitch=3&sensor=false,15305,33.937856,-117.990151,-10,338,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.937856%2C-117.990151&heading=338&pitch=-10&sensor=false
36196,2013-05-16 17:21:48 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15348,34.0155,-117.798566,0,353,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.0155%2C-117.798566&heading=353&pitch=0&sensor=false,15229,34.125205,-118.2743,-2,157,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.125205%2C-118.2743&heading=157&pitch=-2&sensor=false
36198,2013-05-16 17:21:53 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15329,33.926393,-117.32741,0,149,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.926393%2C-117.32741&heading=149&pitch=0&sensor=false,15345,33.956303,-118.347773,0,53,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.956303%2C-118.347773&heading=53&pitch=0&sensor=false
36200,2013-05-16 17:21:59 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15307,33.694023,-117.757899,0,81,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.694023%2C-117.757899&heading=81&pitch=0&sensor=false,15235,34.432794,-119.809875,5,91,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.432794%2C-119.809875&heading=91&pitch=5&sensor=false
36201,2013-05-16 17:22:02 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15344,34.022962,-118.493639,4,288,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.022962%2C-118.493639&heading=288&pitch=4&sensor=false,15235,34.432794,-119.809875,5,91,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.432794%2C-119.809875&heading=91&pitch=5&sensor=false
36203,2013-05-16 17:22:08 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15291,33.85825,-117.325085,-6,274,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.85825%2C-117.325085&heading=274&pitch=-6&sensor=false,15230,34.020342,-117.035269,0,205,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.020342%2C-117.035269&heading=205&pitch=0&sensor=false
36205,2013-05-16 17:22:18 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15336,33.981604,-117.31366,-3,23,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.981604%2C-117.31366&heading=23&pitch=-3&sensor=false,15326,33.845921,-118.085593,-4,60,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.845921%2C-118.085593&heading=60&pitch=-4&sensor=false
36206,2013-05-16 17:22:24 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15328,33.772588,-116.474235,12,348,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=33.772588%2C-116.474235&heading=348&pitch=12&sensor=false,15287,32.652353,-116.854773,0,244,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=32.652353%2C-116.854773&heading=244&pitch=0&sensor=false
36207,2013-05-16 17:22:27 UTC,98.248.65.109,37.8047,-122.2124,aesthetics-of-southern-california-locations,Which Southern California location is more aesthetically pleasing?,15344,34.022962,-118.493639,4,288,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.022962%2C-118.493639&heading=288&pitch=4&sensor=false,15339,34.704214,-118.108907,-4,69,Southern California,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=34.704214%2C-118.108907&heading=69&pitch=-4&sensor=false
