comparison_id,date,ip_address,voter_latitude,voter_longitude,study,question,chosen_id,chosen_latitude,chosen_longitude,chosen_pitch,chosen_heading,chosen_region_name,chosen_image_url,rejected_id,rejected_latitude,rejected_longitude,rejected_pitch,rejected_heading,rejected_region_name,rejected_image_url
100295,2013-05-21 09:06:14 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43254,50.08438,14.413472,-1,330,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.08438%2C14.413472&heading=330&pitch=-1&sensor=false,43256,50.077184,14.449449,-1,198,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.077184%2C14.449449&heading=198&pitch=-1&sensor=false
100296,2013-05-21 09:06:19 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43258,50.074156,14.435626,5,168,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.074156%2C14.435626&heading=168&pitch=5&sensor=false,43245,50.075144,14.459418,-10,167,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.075144%2C14.459418&heading=167&pitch=-10&sensor=false
100297,2013-05-21 09:06:26 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43241,50.07157,14.413873,-8,343,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.07157%2C14.413873&heading=343&pitch=-8&sensor=false,43244,50.058382,14.452535,-5,57,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.058382%2C14.452535&heading=57&pitch=-5&sensor=false
100298,2013-05-21 09:06:35 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43259,50.08163,14.42687,-3,143,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.08163%2C14.42687&heading=143&pitch=-3&sensor=false,43241,50.07157,14.413873,-8,343,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.07157%2C14.413873&heading=343&pitch=-8&sensor=false
100299,2013-05-21 09:06:43 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43241,50.07157,14.413873,-8,343,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.07157%2C14.413873&heading=343&pitch=-8&sensor=false,43251,50.068305,14.470019,-3,263,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.068305%2C14.470019&heading=263&pitch=-3&sensor=false
100300,2013-05-21 09:06:48 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43247,50.087712,14.453056,1,9,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.087712%2C14.453056&heading=9&pitch=1&sensor=false,43252,50.063531,14.462757,-19,78,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.063531%2C14.462757&heading=78&pitch=-19&sensor=false
100303,2013-05-21 09:06:55 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43248,50.08619,14.42374,-4,230,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.08619%2C14.42374&heading=230&pitch=-4&sensor=false,43251,50.068305,14.470019,-3,263,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.068305%2C14.470019&heading=263&pitch=-3&sensor=false
100305,2013-05-21 09:07:01 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43259,50.08163,14.42687,-3,143,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.08163%2C14.42687&heading=143&pitch=-3&sensor=false,43249,50.079142,14.433029,0,348,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.079142%2C14.433029&heading=348&pitch=0&sensor=false
100308,2013-05-21 09:07:08 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43245,50.075144,14.459418,-10,167,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.075144%2C14.459418&heading=167&pitch=-10&sensor=false,43255,50.082618,14.459361,-10,289,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.082618%2C14.459361&heading=289&pitch=-10&sensor=false
100312,2013-05-21 09:07:16 UTC,182.64.146.216,30.7343,76.7933,street-safety--3,Which place looks safer?,43259,50.08163,14.42687,-3,143,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.08163%2C14.42687&heading=143&pitch=-3&sensor=false,43242,50.083673,14.466905,-5,110,Prague's main streets,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=50.083673%2C14.466905&heading=110&pitch=-5&sensor=false
