#,Pesquisador,Rua pesquisada,Cidade de origem,Loja:,Trabalha na área?,Quanto gastou em compras?,Em que estágio das compras o Sr./a Sra está?,Meio de transporte usado para chegar ao centro,"Se veio de carro, onde estacionou o carro?",Pedestres,Faixa de circulação de veículos,Estacionamento,Espaços Públicos,Arborização,Mobiliário Urbano,Em que ano o Sr./a Sra nasceu?,Qual sua renda familiar?,Sexo:,Start Date (UTC),Submit Date (UTC),Network ID
ba598ef0f00050fc9fae348e530ee291,Fernanda,Marquês do Herval,lapao bahia,casa do colegial,0,Não comprou,No meio,A pé,Não veio de carro,5,3,4,5,5,5,1990,Não quis informar,Masculino,2015-10-30 18:37:59,2015-10-30 18:40:19,cdb668f74b
1c00ff95f20e6bedc5d1564d82680f0a,Hanna,Marquês do Herval,Campina Grande,Ainda não,0,Não comprou,Nem começou,Ônibus,Não veio de carro,5,5,4,3,5,5,1977,"2 SM (R$1.576,00)",Feminino,2015-10-30 18:40:28,2015-10-30 18:49:09,332d8f76b6
e5ce582e95ba20feaa333272543fedae,Fernanda,Irineu Joffily,Campina Grande,taxista,0,Não comprou,Não está comprando,Carro,ponto de taxi,5,5,5,3,3,5,1953,"5 a 8 SM (R$3.941,00 - R$6.304,00)",Masculino,2015-10-30 18:40:32,2015-10-30 19:09:08,cdb668f74b
b492297204fa44b14d72f246c44e2b80,Hanna,Cardoso Vieira,Rio de janeiro,Cea,0,Não comprou,Não está comprando,Carro,Na rua zona azul,5,5,5,3,5,5,1966,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-12-11 18:54:54,2015-12-11 19:05:35,6db6bdd8a8
122d13c4acf8a0d91e81df535b244d0e,Maria Clara,Cardoso Vieira,Campina Grande,Nao,0,Não comprou,Nem começou,Carro,Na rua,5,3,3,5,5,5,1990,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-12-11 18:55:11,2015-12-11 19:05:03,8616a6d529
31e51cc2bd525b73975798fd6306801e,bia,Cardoso Vieira,Campina Grande,c&a,0,"R$51,00 - R$100,00",Já comprou tudo,Carro,Estacionamento privado,5,4,1,5,5,4,1974,Sem renda,Feminino,2015-12-11 19:00:00,2015-12-11 19:05:19,aa463a9ae4
99721de3776bdd05ae1e9d29819328f4,bia,Cardoso Vieira,Campina Grande,rutra,0,Não informou,No meio,Carro,Na rua zona azul,4,1,1,5,5,4,1961,"5 a 8 SM (R$3.941,00 - R$6.304,00)",Feminino,2015-12-11 19:05:26,2015-12-11 19:10:00,aa463a9ae4
6eec97223e916e2b8702600af6429df1,Hanna,Cardoso Vieira,Campina Grande,Nao,1,"R$201,00 - R$500,00",Nem começou,Alternativo,Não veio de carro,4,5,1,5,5,5,1981,"Até 1 SM (R$788,00)",Feminino,2015-12-11 19:05:47,2015-12-11 19:10:42,6db6bdd8a8
9a232ca4cf43043f706637eb57b5fe4c,Maria clara,Cardoso Vieira,Campina Grande,Nao,1,Não comprou,Não está comprando,Ônibus,Não veio de carro,5,3,4,5,5,5,1976,"2 SM (R$1.576,00)",Feminino,2015-12-11 19:07:02,2015-12-11 19:11:35,8616a6d529
55a0e03a636b8acf7c49c585033fc82b,Bruna P,Venâncio Neiva,Campina Grande,N,0,Não comprou,Nem começou,Carro,Na rua zona azul,5,4,5,5,5,5,1993,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-12-11 19:07:56,2015-12-11 19:09:23,f7c2a7ca12
bdc43f92af8e4eea301c87f3f5c05e4d,Bruna P,Venâncio Neiva,Campina Grande,N,1,"R$1,00 - R$50,00",No meio,Carro,Na rua zona azul,4,3,3,3,4,4,1960,Não quis informar,Masculino,2015-12-11 19:09:37,2015-12-11 19:15:09,f7c2a7ca12
24339ba14e6e60d787d0d80a3903403b,bia,Cardoso Vieira,Campina Grande,n,1,Não comprou,Não está comprando,A pé,Não veio de carro,5,3,4,5,5,5,1969,Não quis informar,Masculino,2015-12-11 19:10:10,2015-12-11 19:13:10,aa463a9ae4
49f1e946bda78559e5ee06b78fb70186,Marihana,Cardoso Vieira,Campina Grande,Sobrancelha,0,"R$1,00 - R$50,00",Não está comprando,Ônibus,Não veio de carro,5,3,5,5,5,5,1986,"Até 1 SM (R$788,00)",Feminino,2015-12-11 19:10:58,2015-12-11 19:13:55,6db6bdd8a8
2ec3bd38db7ea418506aa574117c0538,Maria clara,Cardoso Vieira,Campina Grande,Nao,1,Não comprou,Não está comprando,Moto,Na rua,5,3,5,5,5,5,1975,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-11 19:12:28,2015-12-11 19:15:53,8616a6d529
0295696439a2342b603b3d88fed817e0,Bia ,Cardoso Vieira,rio grande do norte,n,1,Não comprou,Não está comprando,Carro,Na rua zona azul,5,5,5,5,5,5,1957,"2 SM (R$1.576,00)",Masculino,2015-12-11 19:13:54,2015-12-11 19:17:38,aa463a9ae4
158e91bc75219313581ce1a3d28d45b6,Marihana,Cardoso Vieira,Campina Grande,C&A,0,Não comprou,Não está comprando,Moto,Na rua zona azul,5,4,5,5,5,5,1970,"Até 1 SM (R$788,00)",Masculino,2015-12-11 19:14:13,2015-12-11 19:16:31,6db6bdd8a8
4463fc9c991d25108dc6d0dfd97946f1,Bruna P,Venâncio Neiva,Campina Grande,Óticas rocha,1,Não comprou,Não está comprando,Moto,Na rua zona azul,5,5,5,4,5,5,1987,"2 SM (R$1.576,00)",Feminino,2015-12-11 19:15:44,2015-12-11 19:22:47,f7c2a7ca12
7110d72d26225bc544f34a5f778cf5e6,Maria Clara,Cardoso Vieira,Campina Grande,Farmácia ,0,"R$1,00 - R$50,00",No meio,Ônibus,Não veio de carro,5,1,1,5,5,5,1960,"Até 1 SM (R$788,00)",Feminino,2015-12-11 19:16:20,2015-12-11 19:19:58,8616a6d529
2f8014e3b801230ded8696094e3296ad,Marihana,Cardoso Vieira,Alagoa nova,N,0,Não comprou,Não está comprando,Ônibus,Não veio de carro,3,4,5,5,4,3,1995,"Até 1 SM (R$788,00)",Feminino,2015-12-11 19:16:43,2015-12-11 19:20:49,6db6bdd8a8
9616e0f13290b9adffdfda926169d58c,bia,Cardoso Vieira,Campina Grande,narciso,0,"R$51,00 - R$100,00",Já comprou tudo,Ônibus,Não veio de carro,5,2,1,5,4,5,1994,Não quis informar,Feminino,2015-12-11 19:17:52,2015-12-11 19:21:09,aa463a9ae4
de1e0dc5bd28f687dcbc7a8885cb04d1,Maria Clara,Cardoso Vieira,Campina Grande,Sim,0,"R$1,00 - R$50,00",Já comprou tudo,A pé,Não veio de carro,4,3,2,5,2,5,1955,"Até 1 SM (R$788,00)",Masculino,2015-12-11 19:20:19,2015-12-11 19:24:05,8616a6d529
47046567bbc9c69cd0ed69619a3e64af,bia,Cardoso Vieira,Campina Grande,n,1,Não comprou,Não está comprando,Carro,Na rua zona azul,5,5,5,4,5,5,1972,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-11 19:21:16,2015-12-11 19:25:26,aa463a9ae4
3b58af172396a15039a232274d5b072d,Bruna P,Venâncio Neiva,Campina Grande,N,0,Não comprou,Nem começou,Carro,Na rua zona azul,3,3,4,5,5,5,1987,"2 SM (R$1.576,00)",Feminino,2015-12-11 19:23:42,2015-12-11 19:28:57,f7c2a7ca12
