foto	setor
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg	250400905000089
liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg	250400905000089
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg	250400905000089
liberdade/Rua_Edesio_Silva__602__0.jpg	250400905000089
liberdade/Rua_Edesio_Silva__602__180.jpg	250400905000089
liberdade/Rua_Riachuelo__847__0.jpg	250400905000089
liberdade/Rua_Riachuelo__847__180.jpg	250400905000089
liberdade/Rua_Riachuelo__930__0.jpg	250400905000089
liberdade/Rua_Riachuelo__930__180.jpg	250400905000089
liberdade/Rua_Espirito_Santo__1288__0.jpg	250400905000089
liberdade/Rua_Espirito_Santo__1288__180.jpg	250400905000089
liberdade/Rua_Santa_Catarina__1231__0.jpg	250400905000089
liberdade/Rua_Santa_Catarina__1231__180.jpg	250400905000089
liberdade/Rua_Sergipe__1337_0.jpg	250400905000089
liberdade/Rua_Sergipe__1337_90.jpg	250400905000089
liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg	250400905000089
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg	250400905000089
