term	Estimate	Std.Error	zvalue	Pr(>|z|)	
(Intercept)                 -0.1203155  0.0299798  -4.013 5.99e-05 
d_swidth                    -0.1061109  0.0563000  -1.885  0.05947
d_mvcars                     0.4528956  0.0541943   8.357  <2e-16 
d_pcars                      0.2042169  0.0499522   4.088 4.35e-05
d_trees                      0.1584862  0.0572872   2.767  0.00567
d_mvciclyst                 -0.0186807  0.0484887  -0.385  0.70005    
d_lands                      0.4293485  0.0530192   8.098 5.59e-16
d_bid                        0.0041786  0.0478733   0.087  0.93045    
d_bheig                      0.0855219  0.0483971   1.767  0.07721  
d_dbuild                     0.0467821  0.0560742   0.834  0.40412    
d_people                     0.2124869  0.0536954   3.957 7.58e-05
d_graff                     -0.0782711  0.0486451  -1.609  0.10761    
bair_catcatole_centro        0.3797850  0.0690522   5.500 3.80e-08
bair_catcatole_liberdade     0.0386888  0.0685197   0.565  0.57232    
bair_catcentro_catole        0.3342463  0.0748477   4.466 7.98e-06
bair_catcentro_liberdade     0.1522402  0.0663664   2.294  0.02179  
bair_catliberdade_catole    -0.1488558  0.0619892  -2.401  0.01634 
bair_catliberdade_centro    -0.0857437  0.0645066  -1.329  0.18377    
d_swidth:age_catadulto       0.2018232  0.0505176   3.995 6.47e-05 
d_mvcars:age_catadulto      -0.1401757  0.0486989  -2.878  0.00400
d_pcars:age_catadulto       -0.0427034  0.0447637  -0.954  0.34010    
d_trees:age_catadulto       -0.0953095  0.0525699  -1.813  0.06983   
d_mvciclyst:age_catadulto   -0.0253775  0.0438833  -0.578  0.56307    
d_lands:age_catadulto        0.0496140  0.0494394   1.004  0.31560    
d_bid:age_catadulto         -0.0020027  0.0415126  -0.048  0.96152    
d_bheig:age_catadulto       -0.0499647  0.0444554  -1.124  0.26104    
d_dbuild:age_catadulto       0.2142158  0.0500226   4.282 1.85e-05 
d_people:age_catadulto       0.0173636  0.0480546   0.361  0.71785    
d_graff:age_catadulto       -0.0198036  0.0446288  -0.444  0.65723    
d_swidth:gendermasculino     0.0764151  0.0493930   1.547  0.12184    
d_mvcars:gendermasculino    -0.1861899  0.0462472  -4.026 5.67e-05 
d_pcars:gendermasculino      0.0001324  0.0430420   0.003  0.99755    
d_trees:gendermasculino     -0.0689107  0.0509467  -1.353  0.17618    
d_mvciclyst:gendermasculino  0.0756724  0.0425275   1.779  0.07518  
d_lands:gendermasculino      0.1391346  0.0474114   2.935  0.00334 
d_bid:gendermasculino       -0.0244321  0.0448421  -0.545  0.58586    
d_bheig:gendermasculino     -0.0603414  0.0419995  -1.437  0.15080    
d_dbuild:gendermasculino     0.0305284  0.0488442   0.625  0.53196    
d_people:gendermasculino    -0.0620109  0.0477155  -1.300  0.19374    
d_graff:gendermasculino      0.0149037  0.0414633   0.359  0.71926    
d_swidth:inc_catmedia       -0.0331243  0.0486933  -0.680  0.49634    
d_mvcars:inc_catmedia       -0.0497403  0.0453385  -1.097  0.27260    
d_pcars:inc_catmedia         0.0492702  0.0429260   1.148  0.25105    
d_trees:inc_catmedia         0.1075030  0.0504152   2.132  0.03298  
d_mvciclyst:inc_catmedia    -0.0300216  0.0415376  -0.723  0.46983    
d_lands:inc_catmedia         0.1255525  0.0472840   2.655  0.00792 
d_bid:inc_catmedia          -0.0415016  0.0432752  -0.959  0.33755    
d_bheig:inc_catmedia         0.0257598  0.0423157   0.609  0.54269    
d_dbuild:inc_catmedia       -0.1558758  0.0477892  -3.262  0.00111  
d_people:inc_catmedia        0.1930568  0.0462998   4.170 3.05e-05 
d_graff:inc_catmedia        -0.0118668  0.0420590  -0.282  0.77783    
