n_answers,question,url_a,url_c
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4742.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1262.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6602.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_922.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_862.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1362.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_802.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1922.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5742.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1142.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6702.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2202.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_342.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_342.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_62.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1202.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2122.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_762.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_9002.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_282.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2222.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1402.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1322.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_962.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1142.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1262.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1702.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5602.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1042.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2262.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_982.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1502.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1342.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1742.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7162.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_802.jpg
30,Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1242.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8822.jpg
