street,qscore,num
Av._Mal._Floriano_Peixoto,5.40259218358,445
Av._Mal._Floriano_Peixoto,5.4000257159,445
Av._Mal._Floriano_Peixoto,4.84977386252,445
Av._Mal._Floriano_Peixoto,4.70646188109,445
Av._Mal._Floriano_Peixoto,4.937478726,549
Av._Mal._Floriano_Peixoto,5.24130764728,549
Av._Mal._Floriano_Peixoto,5.62212346934,549
Av._Mal._Floriano_Peixoto,4.72032254695,549
Av._Mal._Floriano_Peixoto,5.52271057652,691
Av._Mal._Floriano_Peixoto,5.32052271788,691
Av._Mal._Floriano_Peixoto,5.17683606969,691
Av._Mal._Floriano_Peixoto,5.29925743631,691
Av._Mal._Floriano_Peixoto,4.85555097102,813
Av._Mal._Floriano_Peixoto,5.18781908232,813
Av._Mal._Floriano_Peixoto,4.88345461666,813
Av._Mal._Floriano_Peixoto,5.04752479474,813
Av._Mal._Floriano_Peixoto,4.46421608157,913
Av._Mal._Floriano_Peixoto,5.020493093,913
Av._Mal._Floriano_Peixoto,5.08464050669,913
Av._Mal._Floriano_Peixoto,4.24690568773,913
R._Maciel_Pinheiro,5.16715569677,130
R._Maciel_Pinheiro,5.02456096177,130
R._Maciel_Pinheiro,4.75477013295,130
R._Maciel_Pinheiro,4.67089761211,130
R._Maciel_Pinheiro,5.05671055773,190
R._Maciel_Pinheiro,4.23428310436,190
R._Maciel_Pinheiro,5.1321870182,190
R._Maciel_Pinheiro,5.14033175073,190
R._Maciel_Pinheiro,5.14329019912,248
R._Maciel_Pinheiro,5.2323097756,248
R._Maciel_Pinheiro,4.74585214262,248
R._Maciel_Pinheiro,4.41300823985,248
R._Maciel_Pinheiro,4.8411571051,284
R._Maciel_Pinheiro,5.01771022209,284
R._Maciel_Pinheiro,4.52958225807,284
R._Maciel_Pinheiro,4.92501811679,284
R._Maciel_Pinheiro,4.69543343823,360
R._Maciel_Pinheiro,4.58301394407,360
R._Maciel_Pinheiro,4.49435329029,360
R._Maciel_Pinheiro,5.0017445116,360
R._Manoel_Pereira_de_Araújo,3.83952016031,188
R._Manoel_Pereira_de_Araújo,3.63803366981,188
R._Manoel_Pereira_de_Araújo,3.28383409715,188
R._Manoel_Pereira_de_Araújo,3.62809905385,188
R._Manoel_Pereira_de_Araújo,3.49759148719,222
R._Manoel_Pereira_de_Araújo,3.67695076937,222
R._Manoel_Pereira_de_Araújo,3.99277272847,222
R._Manoel_Pereira_de_Araújo,3.59270187837,222
R._Manoel_Pereira_de_Araújo,3.61471750822,300
R._Manoel_Pereira_de_Araújo,3.30577893249,300
R._Manoel_Pereira_de_Araújo,3.74625367393,300
R._Manoel_Pereira_de_Araújo,3.70012373833,300
R._Manoel_Pereira_de_Araújo,3.36766604826,370
R._Manoel_Pereira_de_Araújo,3.97815711862,370
R._Manoel_Pereira_de_Araújo,3.67695534258,370
R._Manoel_Pereira_de_Araújo,3.62711163163,370
R._Manoel_Pereira_de_Araújo,3.67702361946,392
R._Manoel_Pereira_de_Araújo,3.8626030699,392
R._Manoel_Pereira_de_Araújo,3.56058459115,392
R._Manoel_Pereira_de_Araújo,3.87370170803,392
R._Cristina_Procópio_Silva,4.79474588664,2
R._Cristina_Procópio_Silva,5.07543716655,2
R._Cristina_Procópio_Silva,5.09369033701,2
R._Cristina_Procópio_Silva,4.52164900963,2
R._Cristina_Procópio_Silva,5.49858669728,66
R._Cristina_Procópio_Silva,4.75386740789,66
R._Cristina_Procópio_Silva,5.59778070367,66
R._Cristina_Procópio_Silva,5.44551106092,66
R._Cristina_Procópio_Silva,5.14689801938,261
R._Cristina_Procópio_Silva,4.81495493012,261
R._Cristina_Procópio_Silva,5.24310945332,261
R._Cristina_Procópio_Silva,5.43642303638,261
R._Cristina_Procópio_Silva,4.79436954196,305
R._Cristina_Procópio_Silva,3.04297046159,305
R._Cristina_Procópio_Silva,3.83535939271,305
R._Cristina_Procópio_Silva,5.24887300208,305
R._Cristina_Procópio_Silva,5.19489965527,436
R._Cristina_Procópio_Silva,5.39081116885,436
R._Cristina_Procópio_Silva,4.1217352807,436
R._Cristina_Procópio_Silva,5.4273033283,436
R._Inácio_Marquês_da_Silva,5.22580983257,54
R._Inácio_Marquês_da_Silva,5.05652088185,54
R._Inácio_Marquês_da_Silva,4.39556892924,54
R._Inácio_Marquês_da_Silva,3.96805316765,54
R._Inácio_Marquês_da_Silva,5.33733630837,120
R._Inácio_Marquês_da_Silva,5.18148974229,120
R._Inácio_Marquês_da_Silva,4.14881706653,120
R._Inácio_Marquês_da_Silva,5.39903971807,120
R._Inácio_Marquês_da_Silva,5.3254902439,239
R._Inácio_Marquês_da_Silva,5.40429365474,239
R._Inácio_Marquês_da_Silva,5.15598925939,239
R._Inácio_Marquês_da_Silva,5.25382417266,239
R._Inácio_Marquês_da_Silva,5.16557554088,360
R._Inácio_Marquês_da_Silva,4.50627027012,360
R._Inácio_Marquês_da_Silva,4.68142947627,360
R._Inácio_Marquês_da_Silva,5.10587891882,360
R._Inácio_Marquês_da_Silva,4.34308137544,500
R._Inácio_Marquês_da_Silva,4.42588243993,500
R._Inácio_Marquês_da_Silva,4.34067720057,500
R._Inácio_Marquês_da_Silva,4.42534813135,500
R._Edésio_Silva,5.45956908573,70
R._Edésio_Silva,3.88173603658,70
R._Edésio_Silva,4.44484545749,70
