Rua Joaquim Criolo - Liberdade, Patos - PB, Brazil	-7.02569387439,-37.2927114812
Rua Natália Figueiredo, 701 - Liberdade, Patos - PB, Brazil	-7.02719689055,-37.293165675
Rua Felizardo Leite, 1330 - Centro, Patos - PB, 58700-030, Brazil	-7.02977319881,-37.2889313476
Rua Zé Batista, Patos - PB, Brazil	-7.02588474219,-37.2828095216
Rua Antônio José Leite, 120 - Belo Horizonte, Patos - PB, Brazil	-7.02519737741,-37.282326822
Rua Doutor José Genuíno, 1503-1533 - Liberdade, Patos - PB, Brazil	-7.02885084831,-37.2826056115
Rua Santos Dumont, 101 - Liberdade, Patos - PB, 58703-010, Brazil	-7.02830168863,-37.2826248385
Rua do Prado, 612 - Centro, Patos - PB, Brazil	-7.03026556357,-37.2827774551
Rua Pedro Firmino, 555 - Liberdade, Patos - PB, Brazil	-7.02897918393,-37.2822945827
Rua Odon Bezerra, 306-316 - Liberdade, Campina Grande - PB, Brazil	
Rua Odon Bezerra, 147-197 - Liberdade, Campina Grande - PB, 58414-160, Brazil	
Rua Riachuelo, 455 - Jardim Paulistano, Campina Grande - PB, 58415-275, Brazil	
Rua Acre, 635-717 - Liberdade, Campina Grande - PB, 58414-260, Brazil	
Rua Odon Bezerra, 388 - Liberdade, Campina Grande - PB, 58414-160, Brazil	
Rua Padre Pedro Serrão, 336 - Liberdade, Campina Grande - PB, 58414-265, Brazil	
Rua Severino Pímentel, 321 - Liberdade, Campina Grande - PB, 58414-150, Brazil	
Rua Severino Pímentel, 439 - Liberdade, Campina Grande - PB, 58414-150, Brazil	
Rua Riachuelo, 930 - Jardim Paulistano, Campina Grande - PB, 58415-275, Brazil	
Rua Sergipe, 1337-1449 - Liberdade, Campina Grande - PB, Brazil	
Rua Riachuelo, 847 - Jardim Paulistano, Campina Grande - PB, 58415-275, Brazil	
Avenida Assis Chateaubriand, 1334 - Estacao Velha, Campina Grande - PB, Brazil	
Rua Espírito Santo, 1288 - Liberdade, Campina Grande - PB, 58414-030, Brazil	
Rua Santa Catarina, 1231 - Jardim Paulistano, Campina Grande - PB, 58415-260, Brazil	
Rua Edésio Silva, 602 - Liberdade, Campina Grande - PB, 58414-255, Brazil	
Rua Severino Pímentel, 511-623 - Liberdade, Campina Grande - PB, 58414-150, Brazil	
Rua Padre Pedro Serrão, 353 - Liberdade, Campina Grande - PB, 58414-265, Brazil	
Rua Padre Pedro Serrão, 207 - Liberdade, Campina Grande - PB, 58414-265, Brazil	
Rua Odon Bezerra, 306-316 - Liberdade, Campina Grande - PB, Brazil	
Rua Odon Bezerra, 147-197 - Liberdade, Campina Grande - PB, 58414-160, Brazil	
Rua Riachuelo, 455 - Jardim Paulistano, Campina Grande - PB, 58415-275, Brazil	
Rua Acre, 635-717 - Liberdade, Campina Grande - PB, 58414-260, Brazil	
Rua Odon Bezerra, 388 - Liberdade, Campina Grande - PB, 58414-160, Brazil	
Rua Padre Pedro Serrão, 336 - Liberdade, Campina Grande - PB, 58414-265, Brazil	
Rua Severino Pímentel, 321 - Liberdade, Campina Grande - PB, 58414-150, Brazil	
Rua Severino Pímentel, 439 - Liberdade, Campina Grande - PB, 58414-150, Brazil	
Rua Riachuelo, 930 - Jardim Paulistano, Campina Grande - PB, 58415-275, Brazil	
Rua Sergipe, 1337-1449 - Liberdade, Campina Grande - PB, Brazil	
Rua Riachuelo, 847 - Jardim Paulistano, Campina Grande - PB, 58415-275, Brazil	
Avenida Assis Chateaubriand, 1334 - Estacao Velha, Campina Grande - PB, Brazil	
Rua Espírito Santo, 1288 - Liberdade, Campina Grande - PB, 58414-030, Brazil	
Rua Santa Catarina, 1231 - Jardim Paulistano, Campina Grande - PB, 58415-260, Brazil	
Rua Edésio Silva, 602 - Liberdade, Campina Grande - PB, 58414-255, Brazil	
Rua Severino Pímentel, 511-623 - Liberdade, Campina Grande - PB, 58414-150, Brazil	
Rua Padre Pedro Serrão, 353 - Liberdade, Campina Grande - PB, 58414-265, Brazil	
Rua Padre Pedro Serrão, 207 - Liberdade, Campina Grande - PB, 58414-265, Brazil	
