Rua João Quirino, 550 - Tambor, Campina Grande - PB, 58414-403, Brazil	-7.23486901708,-35.880631335
Rua Joselita Réis Brasileiro, 67-221 - Catolé, Campina Grande - PB, Brazil	-7.23361668693,-35.8815977525
Rua Anísio R Souza Campos, 20 - Catolé, Campina Grande - PB, 58410-165, Brazil	-7.2356304496,-35.8765418066
Rua João Quirino, 819-845 - Tambor, Campina Grande - PB, 58414-403, Brazil	-7.23490468004,-35.877522373
Rua Vigário Calixto, 1308-1322 - Catolé, Campina Grande - PB, Brazil	-7.23869807744,-35.8794541116
Rua Severino Cândido Fernandes, 109 - Catolé, Campina Grande - PB, Brazil	-7.23899244353,-35.8801572865
Rua Guilhermino Barbosa, 638 - Estacao Velha, Campina Grande - PB, 58410-097, Brazil	-7.2397711072,-35.8863072218
Rua 24 DE MAIO CATOLE, 982 - Tambor, Campina Grande - PB, Brazil	-7.24240611006,-35.8862134001
Avenida Conselheiro Joseph Noujaim Habib Mouacad, 60 - Catolé, Campina Grande - PB, Brazil	-7.24243161733,-35.8843807655
Rua João Bezerra Paz, 155 - Catolé, Campina Grande - PB, 58410-425, Brazil	-7.24315719555,-35.8850521154
Rua Inácio Marquês da Silva, 434-576 - Catolé, Campina Grande - PB, Brazil	
Rua Doutor Antônio Telha, 235-361 - José Pinheiro, Campina Grande - PB, 58407-480, Brazil	
Rua Otacílio Nepomuceno, 76-100 - Catolé, Campina Grande - PB, 58410-160, Brazil	
Rua Doutor Antônio Telha, 235-361 - José Pinheiro, Campina Grande - PB, 58407-480, Brazil	
Rua Honório de Melo, 240 - José Pinheiro, Campina Grande - PB, 58407-497, Brazil	
Rua Doutor Antônio Telha - Catolé, Campina Grande - PB, Brazil	
Avenida Prefeito Severino Bezerra Cabral, 218-268 - José Pinheiro, Campina Grande - PB, 58407-475, Brazil	
Rua Olegário Mariano, 139-267 - Catolé, Campina Grande - PB, 58410-124, Brazil	
Rua Doutor Antônio Telha, 68 - José Pinheiro, Campina Grande - PB, Brazil	
Rua Deputado Ascendino Moura, 101 - Catolé, Campina Grande - PB, 58410-127, Brazil	
Rua Aluísio Cunha Linha, 50 - Catolé, Campina Grande - PB, 58410-258, Brazil	
Rua Vigário Calixto, 1201-1235 - Catolé, Campina Grande - PB, Brazil	
Rua João Francisco Mota, 64 - Catolé, Campina Grande - PB, 58410-253, Brazil	
Rua Luísa Bezerra Mota, 246-400 - Sandra Cavalcante, Campina Grande - PB, Brazil	
Rua Cristina Procópio da Silva, 62 - Catolé, Campina Grande - PB, 58410-255, Brazil	
Rua Sebastião Viêira da Silva, 1273 - Sandra Cavalcante, Campina Grande - PB, 58410-612, Brazil	
Rua Inácio Marquês da Silva, 434-576 - Catolé, Campina Grande - PB, Brazil	
Rua Doutor Antônio Telha, 235-361 - José Pinheiro, Campina Grande - PB, 58407-480, Brazil	
Rua Otacílio Nepomuceno, 76-100 - Catolé, Campina Grande - PB, 58410-160, Brazil	
Rua Doutor Antônio Telha, 235-361 - José Pinheiro, Campina Grande - PB, 58407-480, Brazil	
Rua Honório de Melo, 240 - José Pinheiro, Campina Grande - PB, 58407-497, Brazil	
Rua Doutor Antônio Telha - Catolé, Campina Grande - PB, Brazil	
Avenida Prefeito Severino Bezerra Cabral, 218-268 - José Pinheiro, Campina Grande - PB, 58407-475, Brazil	
Rua Olegário Mariano, 139-267 - Catolé, Campina Grande - PB, 58410-124, Brazil	
Rua Doutor Antônio Telha, 68 - José Pinheiro, Campina Grande - PB, Brazil	
Rua Deputado Ascendino Moura, 101 - Catolé, Campina Grande - PB, 58410-127, Brazil	
Rua Aluísio Cunha Linha, 50 - Catolé, Campina Grande - PB, 58410-258, Brazil	
Rua Vigário Calixto, 1201-1235 - Catolé, Campina Grande - PB, Brazil	
Rua João Francisco Mota, 64 - Catolé, Campina Grande - PB, 58410-253, Brazil	
Rua Luísa Bezerra Mota, 246-400 - Sandra Cavalcante, Campina Grande - PB, Brazil	
Rua Cristina Procópio da Silva, 62 - Catolé, Campina Grande - PB, 58410-255, Brazil	
Rua Sebastião Viêira da Silva, 1273 - Sandra Cavalcante, Campina Grande - PB, 58410-612, Brazil	
