2-135,0
2-225,0
2-45,-1
2-293,-1
66-225,1
66-315,1
66-45,0
66-135,0
105-45,0
105-135,1
105-225,1
105-315,0
160-135,1
160-225,1
160-45,0
160-315,0
210-45,0
210-135,0
210-225,0
210-315,0
261-22,-1
261-135,-1
261-225,-1
261-315,-1
305-293,-1
305-22,-1
305-135,-1
305-225,-1
350-45,-1
350-315,-1
350-135,-1
350-203,-1
390-135,-1
390-203,-1
390-45,-1
390-315,-1
436-22,1
436-135,1
436-203,-1
436-315,-1
max,66-225
min,305-135
reg,66
disp,het
nota,mediana
2-45,1
2-135,1
2-225,1
2-293,1
66-45,-1
66-225,1
66-315,1
66-135,1
105-45,-1
105-135,1
105-225,1
105-315,1
160-45,1
160-135,1
160-225,1
160-315,1
210-45,1
210-135,1
210-225,1
210-315,1
261-22,-1
261-135,1
261-225,-1
261-315,-1
305-45,1
305-135,1
305-225,1
305-293,1
350-45,1
350-135,1
350-203,1
350-315,1
390-45,1
390-135,1
390-225,1
390-315,1
436-22,1
436-135,1
436-203,1
436-315,1
