foto	qscore	red	green	blue	diag	hor	vert
liberdade/Rua_Riachuelo__930__180.jpg	3.89010989011	138.253385	138.430732	132.724137	7	59	5
centro/Rua_Joao_da_Mata__490_90.jpg	3.17863247863	131.744518	133.567744	129.142728	0	71	3
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg	5.15205128205	142.402321	141.511764	134.635859	2	44	0
catole/Rua_Joao_Francisco_Mota__64__90.jpg	6.06974358974	125.234837	129.274645	124.010358	1	69	0
liberdade/Rua_Edesio_Silva__602__0.jpg	5.68909148465	131.971644	132.108809	125.799980	3	42	2
catole/Rua_Luisa_Bezerra_Mota__246_270.jpg	5.49313186813	105.525957	109.478102	91.899622	10	15	4
liberdade/Rua_Sergipe__1337_0.jpg	3.68005698006	139.148597	140.304769	134.418161	4	30	2
liberdade/Rua_Severino_Pimentel__511_90.jpg	4.9258382643	121.049515	120.713864	117.067074	0	47	3
centro/Rua_Elias_Aforas__67__180.jpg	4.14126305793	131.477516	135.303031	130.045641	10	62	13
catole/Rua_Aluisio_Cunha_Linha__50__90.jpg	4.29102564103	126.398174	127.951865	119.586569	11	26	11
liberdade/Rua_Odon_Bezerra__388__90.jpg	5.97008547009	135.760153	140.683346	138.384238	31	55	8
catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg	3.03162393162	118.328799	119.472708	108.207113	9	27	3
centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg	4.3336996337	123.860758	125.609870	124.661169	30	17	17
centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg	4.41777777778	127.195745	124.938900	118.374307	24	35	12
centro/Rua_Capitao_Joao_de_Sa__45__0.jpg	4.69971509972	122.942269	119.520684	115.176995	34	56	31
liberdade/Rua_Santa_Catarina__1231__180.jpg	3.92724189391	131.491341	132.571680	124.960540	5	51	4
catole/Rua_Olegario_Mariano__139_90.jpg	5.35299145299	137.880081	146.190195	145.630726	1	77	4
centro/Rua_Pedro_Alvares_Cabral__129_180.jpg	2.92538964304	125.443968	125.744001	120.301338	10	36	5
catole/Rua_Doutor_Antonio_Telha__68__90.jpg	4.93935693936	132.714385	132.563727	128.080742	2	31	2
centro/Rua_Manoel_P._de_Araujo__370_0.jpg	4.01106612686	133.269062	129.740671	122.154857	5	64	5
liberdade/Rua_Severino_Pimentel__321__0.jpg	5.22769230769	111.373298	110.042204	103.598262	0	14	3
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg	5.47794871795	131.291650	132.716937	128.082139	4	63	1
centro/Rua_Quebra_Quilos__399__270.jpg	6.09050332384	133.286859	134.592542	128.642448	28	86	10
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg	3.47130104463	121.100449	121.865911	112.041471	2	31	3
centro/Avenida_Barao_Rio_Branco__141_270.jpg	5.65760683761	106.163711	108.740436	105.716852	6	50	0
liberdade/Rua_Riachuelo__847__0.jpg	5.62615384615	130.785970	132.715016	125.540299	11	52	7
centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg	5.43736263736	136.549798	136.973691	129.137939	0	97	16
centro/Rua_Quebra_Quilos__399__90.jpg	5.85538461538	137.487269	140.792083	136.576338	32	68	1
