Avenida_Assis_Chateaubriand__1334__0.jpg 145.898457 146.258633 142.203584
Avenida_Assis_Chateaubriand__1334__180.jpg 134.132959 135.887747 130.572051
Avenida_Barao_Rio_Branco__141_270.jpg 106.163711 108.740436 105.716852
Avenida_Barao_Rio_Branco__141_90.jpg 105.501370 107.380785 99.069189
Avenida_Dom_Pedro_II__119_270.jpg 109.918890 112.234606 108.105700
Avenida_Dom_Pedro_II__119_90.jpg 125.609147 127.682314 123.584186
Avenida_Dom_Pedro_II__500_270.jpg 133.810905 132.219281 128.191960
Avenida_Dom_Pedro_II__500_90.jpg 129.926787 129.633376 126.628532
Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg 113.870244 112.138958 102.803750
Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg 129.055622 128.052188 122.677731
Avenida_Presidente_Getulio_Vargas__210__0.jpg 123.860758 125.609870 124.661169
Avenida_Presidente_Getulio_Vargas__210__180.jpg 127.195745 124.938900 118.374307
Avenida_Presidente_Getulio_Vargas__271__270.jpg 121.387926 123.476393 119.806224
Avenida_Presidente_Getulio_Vargas__271__90.jpg 128.970573 130.787113 127.437249
Avenida_Presidente_Getulio_Vargas__395__270.jpg 124.261602 125.986527 121.560404
Avenida_Presidente_Getulio_Vargas__395__90.jpg 119.332207 120.520785 114.135911
Avenida_Presidente_Joao_Pessoa__128__180.jpg 118.822627 120.764961 113.198887
Avenida_Presidente_Joao_Pessoa__128__90.jpg 136.549798 136.973691 129.137939
Rua_Acre__635_270.jpg 138.278320 138.776455 133.851165
Rua_Acre__635_90.jpg 122.280931 123.107865 114.472673
Rua_Aluisio_Cunha_Linha__50__270.jpg 129.821367 130.043005 119.405013
Rua_Aluisio_Cunha_Linha__50__90.jpg 126.398174 127.951865 119.586569
Rua_Augusto_Severo__71_0.jpg 131.773874 132.520160 127.058906
Rua_Augusto_Severo__71_90.jpg 134.033597 132.542074 131.515316
Rua_Capitao_Joao_de_Sa__45__0.jpg 122.942269 119.520684 115.176995
Rua_Capitao_Joao_de_Sa__45__180.jpg 128.782845 126.983011 120.457803
Rua_Coronel_Salvino_Figueiredo__251_270.jpg 136.950221 139.703047 134.954040
Rua_Coronel_Salvino_Figueiredo__251_90.jpg 131.728418 134.418421 131.609941
Rua_Cristina_Procopio_da_Silva__62__270.jpg 118.328799 119.472708 108.207113
Rua_Cristina_Procopio_da_Silva__62__90.jpg 125.929564 126.994183 118.131234
Rua_Deputado_Ascendino_Moura__101__270.jpg 130.496758 131.015820 121.776126
Rua_Deputado_Ascendino_Moura__101__90.jpg 144.728932 149.899870 149.314124
Rua_Doutor_Antonio_Telha__235_0.jpg 126.547796 135.748786 136.771491
Rua_Doutor_Antonio_Telha__235_180.jpg 127.715973 132.546429 130.341491
Rua_Doutor_Antonio_Telha__68__270.jpg 125.487760 127.514404 120.395465
Rua_Doutor_Antonio_Telha__68__90.jpg 132.714385 132.563727 128.080742
Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg 140.519632 142.964596 140.693747
Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg 117.162331 121.228779 115.941390
Rua_Doutor_Severino_Cruz__411__270.jpg 144.498691 145.224027 141.977536
Rua_Doutor_Severino_Cruz__411__90.jpg 128.611305 137.582194 136.705202
Rua_Edesio_Silva__602__0.jpg 131.971644 132.108809 125.799980
Rua_Edesio_Silva__602__180.jpg 138.456019 138.633796 131.623743
Rua_Elias_Aforas__202_0.jpg 136.348516 138.192728 134.242767
Rua_Elias_Aforas__202_180.jpg 129.606719 129.901117 123.373167
Rua_Elias_Aforas__67__0.jpg 125.000840 127.151543 123.736686
Rua_Elias_Aforas__67__180.jpg 131.477516 135.303031 130.045641
Rua_Espirito_Santo__1288__0.jpg 126.334404 127.991569 123.343815
Rua_Espirito_Santo__1288__180.jpg 134.407396 134.932142 129.290309
Rua_Felix_Araujo__132__270.jpg 129.129339 131.955859 127.526146
Rua_Felix_Araujo__132__90.jpg 136.618867 130.802083 127.340228
Rua_Felix_Araujo__48__270.jpg 124.100846 125.010072 121.420277
Rua_Felix_Araujo__48__90.jpg 124.404134 125.012539 121.919619
Rua_Honorio_de_Melo__240__270.jpg 143.184323 144.190199 138.668711
Rua_Honorio_de_Melo__240__90.jpg 123.291009 126.131286 121.234639
Rua_Inacio_Marques_da_Silva__434_270.jpg 135.427253 136.259466 129.065199
Rua_Inacio_Marques_da_Silva__434_90.jpg 132.573525 132.374896 127.521784
Rua_Joao_da_Mata__490_270.jpg 129.334909 129.743675 125.925495
Rua_Joao_da_Mata__490_90.jpg 131.744518 133.567744 129.142728
Rua_Joao_Francisco_Mota__64__270.jpg 126.428887 125.605205 117.998896
Rua_Joao_Francisco_Mota__64__90.jpg 125.234837 129.274645 124.010358
Rua_Luisa_Bezerra_Mota__246_270.jpg 105.525957 109.478102 91.899622
Rua_Luisa_Bezerra_Mota__246_90.jpg 140.162500 142.407031 130.632113
Rua_Manoel_P._de_Araujo__150_270.jpg 121.356520 124.019098 121.940479
Rua_Manoel_P._de_Araujo__150_90.jpg 126.503086 126.464300 118.839479
Rua_Manoel_P._de_Araujo__370_0.jpg 133.269062 129.740671 122.154857
Rua_Manoel_P._de_Araujo__370_180.jpg 120.920446 118.684710 111.464251
Rua_Odon_Bezerra__147_270.jpg 130.915908 132.370719 127.111458
Rua_Odon_Bezerra__147_90.jpg 127.871650 127.347510 121.500645
Rua_Odon_Bezerra__306_270.jpg 137.449076 137.021048 130.282982
Rua_Odon_Bezerra__306_90.jpg 133.495195 136.031426 132.174255
Rua_Odon_Bezerra__388__270.jpg 140.350703 142.799121 140.471113
Rua_Odon_Bezerra__388__90.jpg 135.760153 140.683346 138.384238
Rua_Olegario_Mariano__139_0.jpg 129.873678 134.370033 132.239385
Rua_Olegario_Mariano__139_180.jpg 132.516969 136.157663 132.903721
Rua_Olegario_Mariano__139_270.jpg 135.202174 136.802829 131.889030
Rua_Olegario_Mariano__139_90.jpg 137.880081 146.190195 145.630726
Rua_Otacilio_Nepomuceno__76_0.jpg 115.955612 120.652204 115.367415
Rua_Otacilio_Nepomuceno__76_90.jpg 129.535540 134.318838 130.701722
Rua_Padre_Pedro_Serrao__207__270.jpg 139.906722 141.756686 135.041647
Rua_Padre_Pedro_Serrao__207__90.jpg 139.401413 138.018307 130.967428
Rua_Padre_Pedro_Serrao__336__270.jpg 131.291650 132.716937 128.082139
Rua_Padre_Pedro_Serrao__336__90.jpg 142.402321 141.511764 134.635859
Rua_Padre_Pedro_Serrao__353__270.jpg 123.511149 125.277279 117.987002
Rua_Padre_Pedro_Serrao__353__90.jpg 144.831243 143.262380 136.474089
Rua_Pedro_Alvares_Cabral__129_180.jpg 125.443968 125.744001 120.301338
Rua_Pedro_Alvares_Cabral__129_90.jpg 128.180508 127.131325 120.353877
Rua_Quebra_Quilos__399__270.jpg 133.286859 134.592542 128.642448
Rua_Quebra_Quilos__399__90.jpg 137.487269 140.792083 136.576338
Rua_Riachuelo__455__0.jpg 143.570794 142.777637 137.516849
Rua_Riachuelo__455__180.jpg 131.701270 131.881937 124.783831
Rua_Riachuelo__847__0.jpg 130.785970 132.715016 125.540299
Rua_Riachuelo__847__180.jpg 117.794447 119.201494 109.527542
Rua_Riachuelo__930__0.jpg 124.296901 124.997305 118.495983
Rua_Riachuelo__930__180.jpg 138.253385 138.430732 132.724137
Rua_Santa_Catarina__1231__0.jpg 118.076637 120.703314 113.714915
Rua_Santa_Catarina__1231__180.jpg 131.491341 132.571680 124.960540
Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg 121.100449 121.865911 112.041471
Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg 117.703577 116.063171 106.835853
Rua_Sergipe__1337_0.jpg 139.148597 140.304769 134.418161
Rua_Sergipe__1337_90.jpg 144.261178 144.537822 139.523369
Rua_Severino_Pimentel__321__0.jpg 111.373298 110.042204 103.598262
Rua_Severino_Pimentel__321__180.jpg 121.297383 121.176650 116.275986
Rua_Severino_Pimentel__439__0.jpg 106.548639 104.993395 96.514922
Rua_Severino_Pimentel__439__180.jpg 124.455026 123.571846 115.850316
Rua_Severino_Pimentel__511_270.jpg 120.636696 121.008337 116.796029
Rua_Severino_Pimentel__511_90.jpg 121.049515 120.713864 117.067074
Rua_Vigario_Calixto__1201_0.jpg 142.369180 145.271709 141.056549
Rua_Vigario_Calixto__1201_180.jpg 131.998691 136.168203 133.692412
