 [65] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.618553132571824" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.621322256836275"
 [67] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.567324333679474" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.566632052613361"
 [69] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.471789546555902" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.501211491865697"
 [71] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.609207338179301" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.573554863274489"
 [73] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.548286604361371" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.61024575977847" 
 [75] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.530287296642437" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.574939425406715"
 [77] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.554517133956386" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.589477327795085"
 [79] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.625475943232953" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.575977847005884"
 [81] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.556940117687781" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.557286258220838"
 [83] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.610938040844583" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.52994115610938" 
 [85] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.580823814468674" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.598476981654552"
 [87] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.588438906195915" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.439944617514711"
 [89] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.609207338179301" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.623052959501557"
 [91] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.57736240913811"  [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.57736240913811" 
 [93] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.565939771547248" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.612322602976809"
 [95] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.479058497750086" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.485289027345102"
 [97] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.581169955001731" [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.551055728625822"
 [99] [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.61024575977847"  [1] ">>>>>>>> Correlation Seg: Random Masculino x Feminino 0.409138110072689"
