choice	age_cat	gender	income	d_swidth	d_mvcars	d_pcars	d_trees	d_mvciclyst	d_lands	d_bid	d_bheig	d_dbuild	d_people	d_graff	bair_cat
1	jovem	masculino	media	5.4666666667	-0.487179487179	0.358974358974	5	-0.25641025641	2	-1.666666666667	-0.825970600224951	-2.75	-12	0	lib_cen
1	jovem	masculino	media	10.8	-0.487179487179	2.358974358974	2.2	-0.25641025641	3	-2	-0.285402218862249	-0.5	-12	0	cat_cen
1	jovem	masculino	media	12.5333333333	1.83333333333	1.96666666667	2.94117647059	-1.66666666667	1.43577981651	21	-0.788495894806288	-4	-5.4	0	cat_cen
1	jovem	masculino	media	5.5	3	-2	-4.6	0	-1.5	-4	-0.398549376490275	1.66666666667	-4.44444444445	0	lib_cen
1	jovem	masculino	media	6	1	-6.7	2.94117647059	0	1.06422018349	21	-1.07972719247073	-1.2	-3.25	0	cat_cen
1	jovem	masculino	media	-7.9166666667	0	-11	3	-2.2	0.63114754098	-1.666666666663	-0.454565863465481	-1	-3.33333333333	0	cat_cen
1	jovem	masculino	media	8.3	-0.487179487179	0.358974358974	4	-0.25641025641	1.83333333333	-2	-0.825970600224951	-3	-12	0	lib_cen
1	jovem	masculino	media	-1.3333333334	-0.145454545455	-0.87272727273	6.9411764705882	-0.745454545455	0.85887096774	-0.666666666667	-0.347923303420307	-1.5	-10.8181818182	0	lib_cen
1	jovem	masculino	media	-6	-3.5	-6	-1	0	-0.66666666667	0	-0.107615099648421	-2	-8	0	cat_cen
1	jovem	masculino	media	-4	1	-4	-3	2	-1	2.33333333333	-0.0632209802899677	4	-5.23333333333	0	lib_cen
1	jovem	masculino	media	-15.3333333333	-2.05555555556	-6	-11	0	-3	0.111111111111	0.422126924063742	-1	0	0	mesmo
1	jovem	masculino	media	8.3333333333	5	0	3	-2	2.67350746269	1.333333333333	-0.103537604110409	-3.33333333333	-3	0	lib_cen
0	jovem	masculino	media	-0.102941176500003	4	-10	-1	-0.2	0.63114754098	-2.33333333333	-0.750021746991653	0	-0.83333333333	0	lib_cen
1	jovem	masculino	media	3.3333333333	-0.145454545455	-0.87272727273	0.9411764705882	-0.745454545455	-0.64112903226	0	0.192645077942396	-4.5	-10.8181818182	0	cat_cen
0	jovem	masculino	media	-17.9761904762	-1.55555555556	1	-12	0	-1.42857142857	2.163742690061	0.122566642204834	4	3.33333333333	1	cen_cat
1	jovem	masculino	media	12.8	0	0	-2	0	0.91666666667	0	0.876851769227135	4.64285714286	0	1	mesmo
1	jovem	masculino	media	2.8	-0.771428571429	-4.51428571429	0	-0.914285714286	0.375	-3.45	0.249359468933996	3.5	3	0	lib_cen
0	jovem	masculino	media	-11.5945945946	-4	0	-4.27777777778	0	-1.84102564102	-0.333333333333	3.56478461877946	4.5	0	0	lib_cen
1	jovem	masculino	media	-0.799999999999997	-0.16666666667	-4.93333333333	6.82352941176	-1.66666666667	0.93577981651	-2	-0.247927513443585	-7.33333333333	-5.4	0	cat_cen
1	jovem	masculino	media	-3.8666666667	-0.487179487179	1.358974358974	7	-0.25641025641	0.5	-1.666666666667	-0.825970600224951	-1	-12	0	lib_cen
1	jovem	masculino	media	11.3	0.0833333333333	0	1	0	1.16666666667	0.380952380952	0	0.64285714286	2	0	lib_cat
1	jovem	masculino	media	-18.6666666667	-4	-4	4	0	-1.5	0.333333333333	-0.648183481011124	0	-8	0	lib_cen
1	jovem	masculino	media	-2.66666666659999	-2.05555555556	-5	-6	0	0	-0.888888888889	-0.118441457298961	-1.25	0	0	mesmo
1	jovem	masculino	media	9.6666666667	0	-2	5	-2	2.54850746269	-0.333333333334	-0.644105985473112	-4.75	-5	0	lib_cen
1	jovem	masculino	media	0	0	-2	-2	0	-1.5	-4.47619047619	-0.15754127698648	-3.33333333333	-5.66666666667	0	lib_cen
1	jovem	masculino	media	11.5	0.5	-3	6.5	-2	2.04850746269	5.333333333333	-0.644105985473112	-2	-5	0	lib_cen
1	jovem	masculino	media	-9.9166666667	-1	-11	-1	-2.2	-1.36885245902	-2.33333333333	-0.509013647487858	1	-3.33333333333	0	cat_cen
0	jovem	masculino	media	-1.5945945946	-4	2	0.57222222222	0	-1.00769230769	-0.333333333333	3.5077946401987	4	0	0	lib_cen
1	jovem	masculino	media	1	-3.666666666667	-5	-2.4	3	-0.9	1	-0.715297676869661	-1	-5.25	0	cat_cen
1	jovem	masculino	media	0.833333333299997	1	-3	1	0	0	-4.333333333333	-0.103093492964104	-2.33333333333	-5.66666666667	0	cat_cen
1	jovem	masculino	media	30.3333333333	0.854545454545	0.62727272727	5.9411764705882	-0.745454545455	1.35887096774	1	0.192645077942396	-3.5	-10.675324675343	0	cat_cen
1	jovem	masculino	media	20.6428571429	1.5	-5	1.2	0	2.42857142857	-0.0526315789499998	-0.176877762084079	-2	-3.33333333333	-1	cat_cen
1	jovem	masculino	media	33	-1	-3	8	0	-0.33333333333	2	-0.463758909873696	3.68421052632	-7	0	cat_cen
1	jovem	masculino	media	18.4	-0.771428571429	-4.95873015873	7	-0.914285714286	1	-2.45	-0.683526335207468	-0.5	-3	0	cat_cen
0	jovem	masculino	media	-0.933333333300002	-0.625974025974	-3.64155844156	0.0588235294118	-0.168831168831	-1.35887096774	-2.45	-0.335603031787161	3.5	7.8181818182	0	mesmo
0	jovem	masculino	media	-15.0945945946	-4	1	-3.27777777778	1	-1.34102564102	-0.333333333333	3.55896729218646	6.5	0.333333333333	0	lib_cen
1	jovem	masculino	media	-9.9166666667	4	-9	0	-2.2	0.75614754098	-0.33333333333	-0.20945336562895	-0.33333333333	-1.33333333333	0	lib_cen
1	jovem	masculino	media	12.5	0.0625	-0.95833333333	1	-0.91666666667	2.42350746269	-0.666666666667	0.288779818668352	-3.66666666667	-3	0	lib_cen
1	jovem	masculino	media	52	3	0	11	-2	2.21517412936	1.333333333333	-0.459681414335684	0.684210526319999	-4	0	cat_cen
1	jovem	masculino	media	13	0	-1	4.85	-2	2.04850746269	-0.666666666667	-0.595742963911713	-4	-5	0	lib_cen
1	jovem	masculino	media	6.6666666667	-2	-12.44444444444	7	0	1.56422018349	-1	-1.07972719247073	-5.7	-3.25	0	cat_cen
1	jovem	masculino	media	12.4	-0.771428571429	-3.51428571429	2.2	-0.914285714286	2	-3.45	-0.142957953844765	2.5	-3	0	cat_cen
0	jovem	masculino	media	-6.9	0.771428571429	2.51428571429	-5	0.914285714286	-1	-1.55	0.284976958717193	-3.33333333333	-2.66666666667	0	mesmo
1	jovem	masculino	media	2.8166666667	-0.271428571429	-6.01428571429	6	-0.914285714286	0.625	-3.45	-0.683526335207468	1.5	-3	0	lib_cen
0	jovem	masculino	media	-13.25	-1	-10	-2	-2.2	-2.36885245902	-1.33333333333	-0.20945336562895	-3	-3.33333333333	0	cat_cen
1	jovem	masculino	media	-6	-4	-4.83333333333	-0.2	0	0	0	-0.648183481011124	-2.66666666667	-8	0	cat_cen
1	jovem	masculino	media	7.1428571429	-0.5	-7	3	0	-0.0714285714299998	-2.52882205514	0	-4	-3.33333333333	-1	lib_cen
1	jovem	masculino	media	-18.75	-1	-11	-2	-1.2	-0.20218579235	-2.33333333333	-0.650486073442487	1.5	-2.999999999997	0	lib_cen
1	jovem	masculino	media	0.642857142899999	-0.5	-9	0	0	0.09523809524	-3.05263157895	-0.13565509936163	-2.5	-3.33333333333	-1	lib_cen
1	jovem	masculino	media	5.9761904762	-0.5	-8	2	0	-0.57142857143	-3.05263157895	0	-1	-3.33333333333	-1	cat_cen
1	jovem	masculino	media	11.4444444444	1.854545454545	-1.87272727273	1.4411764705882	1.254545454545	1.35887096774	2	0.237039197300849	2.5	-7.8181818182	0	lib_cen
1	jovem	masculino	media	8.3	-0.424679487179	1.400641025644	1	0.82692307692	1.875	-2	0.106915203916512	-1.66666666667	-10	0	lib_cen
1	jovem	masculino	media	5.3333333333	-0.145454545455	-2.444155844159	1.0588235294082	-0.745454545455	0.35887096774	0	0.0995356735509145	-1.5	-2.8181818182	0	lib_cen
1	jovem	masculino	media	18.8787878788	-0.145454545455	-2.62272727273	6.9411764705882	-0.745454545455	2.35887096774	0	-0.0197632548239173	-2.5	-9.8181818182	0	cat_cen
1	jovem	masculino	media	8.8	0.012820512821	-0.641025641026	2	-0.25641025641	1.33333333333	-2	-0.285402218862249	-3	-12	0	cat_cen
1	jovem	masculino	media	-17.3333333333	-2.05555555556	-8	-12	0	-1.33333333333	-0.888888888889	-0.0130884571567962	1.5	0	0	lib_cat
1	jovem	masculino	media	5.9761904762	4.5	-6	3	0	1.55357142857	-1.05263157895	0.299560281858908	-2.33333333333	-1.33333333333	-1	lib_cen
1	jovem	masculino	media	-7.3333333333	-2	-13.636363636364	0	0	0.47947442078	-2	-1.07972719247073	-0.199999999999999	7.75	0	lib_cen
0	jovem	masculino	media	-9.5833333333	1.3829787234	-1.3191489362	-3	-0.96595744681	0.63114754098	4	0.856635824828822	3	0.66666666667	0	mesmo
0	jovem	masculino	media	16.1333333333	1	1	2	0	1.66666666667	0.666666666667	0.295455883526171	0.64285714286	0	0	mesmo
1	jovem	masculino	media	6.6666666666	-0.145454545455	-1.87272727273	3.9411764705882	-0.745454545455	1.60887096774	2	0.893084796083488	-2.5	-9.62587412589	0	lib_cen
1	jovem	masculino	media	6.4	0.228571428571	-6.180952380957	3	-0.914285714286	1.2	-3.45	-0.683526335207468	1	-2.590909090909	0	cat_cen
