[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.4"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.4"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.2"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.4"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.2"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.666666666666667"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.4"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.6"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.8"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.666666666666667"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.666666666666667"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.0666666666666667"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.0666666666666667"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.2"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino -0.8"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0.333333333333333"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 1"
[1] ">>>>>>>> Correlation Top10_Seg: Random Masculino x Feminino 0"
