"V1" "V2" "V3" "V4" "V5"
"13" "almirante_1502.jpg" 5 5 0.0075642965204236 1
"14" "rodrigues_282.jpg" 5 5 0.0075642965204236 1
"10" "almirante_622.jpg" 4 5 0.00605143721633888 0.8
"11" "floriano_442.jpg" 3 3 0.00453857791225416 1
"16" "almirante_242.jpg" 3 3 0.00453857791225416 1
"2" "rodrigues_622.jpg" 2 2 0.00302571860816944 1
"4" "almirante_1282.jpg" 2 2 0.00302571860816944 1
"19" "rodrigues_1702.jpg" 2 4 0.00302571860816944 0.5
"22" "rodrigues_1322.jpg" 2 8 0.00302571860816944 0.25
"1" "almirante_342.jpg" 1 1 0.00151285930408472 1
"3" "almirante_1082.jpg" 1 1 0.00151285930408472 1
"5" "almirante_442.jpg" 1 1 0.00151285930408472 1
"6" "almirante_1062.jpg" 1 1 0.00151285930408472 1
"7" "almirante_1942.jpg" 1 1 0.00151285930408472 1
"8" "almirante_462.jpg" 1 2 0.00151285930408472 0.5
"9" "almirante_1762.jpg" 1 1 0.00151285930408472 1
"12" "rodrigues_1082.jpg" 1 2 0.00151285930408472 0.5
"15" "floriano_4442.jpg" 1 4 0.00151285930408472 0.25
"17" "floriano_7122.jpg" 1 5 0.00151285930408472 0.2
"18" "rodrigues_402.jpg" 1 1 0.00151285930408472 1
"20" "rodrigues_762.jpg" 1 1 0.00151285930408472 1
"21" "rodrigues_1742.jpg" 1 5 0.00151285930408472 0.2
